datetime,height,port
2024-09-01 04:26:00-03:00,1.12,PUERTO LA PLATA
2024-09-01 12:00:00-03:00,0.41,PUERTO LA PLATA
2024-09-01 17:27:00-03:00,0.75,PUERTO LA PLATA
2024-09-01 23:11:00-03:00,0.53,PUERTO LA PLATA
2024-09-02 05:39:00-03:00,1.13,PUERTO LA PLATA
2024-09-02 12:49:00-03:00,0.52,PUERTO LA PLATA
2024-09-02 17:46:00-03:00,0.81,PUERTO LA PLATA
2024-09-03 00:03:00-03:00,0.48,PUERTO LA PLATA
2024-09-03 06:30:00-03:00,1.13,PUERTO LA PLATA
2024-09-03 13:28:00-03:00,0.62,PUERTO LA PLATA
2024-09-03 18:01:00-03:00,0.86,PUERTO LA PLATA
2024-09-04 00:39:00-03:00,0.46,PUERTO LA PLATA
2024-09-04 07:04:00-03:00,1.12,PUERTO LA PLATA
2024-09-04 13:58:00-03:00,0.67,PUERTO LA PLATA
2024-09-04 18:20:00-03:00,0.88,PUERTO LA PLATA
2024-09-05 01:07:00-03:00,0.46,PUERTO LA PLATA
2024-09-05 07:28:00-03:00,1.12,PUERTO LA PLATA
2024-09-05 14:21:00-03:00,0.66,PUERTO LA PLATA
2024-09-05 18:50:00-03:00,0.88,PUERTO LA PLATA
2024-09-06 01:32:00-03:00,0.47,PUERTO LA PLATA
2024-09-06 07:51:00-03:00,1.12,PUERTO LA PLATA
2024-09-06 14:42:00-03:00,0.6,PUERTO LA PLATA
2024-09-06 19:27:00-03:00,0.85,PUERTO LA PLATA
2024-09-07 02:00:00-03:00,0.48,PUERTO LA PLATA
2024-09-07 08:18:00-03:00,1.09,PUERTO LA PLATA
2024-09-07 15:07:00-03:00,0.51,PUERTO LA PLATA
2024-09-07 20:08:00-03:00,0.81,PUERTO LA PLATA
2024-09-08 02:34:00-03:00,0.49,PUERTO LA PLATA
2024-09-08 08:50:00-03:00,1.04,PUERTO LA PLATA
2024-09-08 15:35:00-03:00,0.44,PUERTO LA PLATA
2024-09-08 20:47:00-03:00,0.79,PUERTO LA PLATA
2024-09-09 03:14:00-03:00,0.48,PUERTO LA PLATA
2024-09-09 09:23:00-03:00,0.95,PUERTO LA PLATA
2024-09-09 16:02:00-03:00,0.4,PUERTO LA PLATA
2024-09-09 21:19:00-03:00,0.79,PUERTO LA PLATA
2024-09-10 04:00:00-03:00,0.46,PUERTO LA PLATA
2024-09-10 09:55:00-03:00,0.84,PUERTO LA PLATA
2024-09-10 16:29:00-03:00,0.38,PUERTO LA PLATA
2024-09-10 21:49:00-03:00,0.84,PUERTO LA PLATA
2024-09-11 04:51:00-03:00,0.43,PUERTO LA PLATA
2024-09-11 10:22:00-03:00,0.74,PUERTO LA PLATA
2024-09-11 16:54:00-03:00,0.37,PUERTO LA PLATA
2024-09-11 22:24:00-03:00,0.9,PUERTO LA PLATA
2024-09-12 05:42:00-03:00,0.4,PUERTO LA PLATA
2024-09-12 10:51:00-03:00,0.67,PUERTO LA PLATA
2024-09-12 17:20:00-03:00,0.37,PUERTO LA PLATA
2024-09-12 23:10:00-03:00,0.97,PUERTO LA PLATA
2024-09-13 06:32:00-03:00,0.39,PUERTO LA PLATA
2024-09-13 11:31:00-03:00,0.64,PUERTO LA PLATA
2024-09-13 17:54:00-03:00,0.37,PUERTO LA PLATA
2024-09-14 00:09:00-03:00,1.03,PUERTO LA PLATA
2024-09-14 07:24:00-03:00,0.41,PUERTO LA PLATA
2024-09-14 12:23:00-03:00,0.65,PUERTO LA PLATA
2024-09-14 18:40:00-03:00,0.37,PUERTO LA PLATA
2024-09-15 01:14:00-03:00,1.09,PUERTO LA PLATA
2024-09-15 08:25:00-03:00,0.47,PUERTO LA PLATA
2024-09-15 13:19:00-03:00,0.68,PUERTO LA PLATA
2024-09-15 19:39:00-03:00,0.38,PUERTO LA PLATA
2024-09-16 02:23:00-03:00,1.15,PUERTO LA PLATA
2024-09-16 10:04:00-03:00,0.53,PUERTO LA PLATA
2024-09-16 14:16:00-03:00,0.73,PUERTO LA PLATA
2024-09-16 20:47:00-03:00,0.39,PUERTO LA PLATA
2024-09-17 03:35:00-03:00,1.23,PUERTO LA PLATA
2024-09-17 11:35:00-03:00,0.54,PUERTO LA PLATA
2024-09-17 15:16:00-03:00,0.77,PUERTO LA PLATA
2024-09-17 22:22:00-03:00,0.39,PUERTO LA PLATA
2024-09-18 04:45:00-03:00,1.31,PUERTO LA PLATA
2024-09-18 12:33:00-03:00,0.52,PUERTO LA PLATA
2024-09-18 16:20:00-03:00,0.8,PUERTO LA PLATA
2024-09-18 23:46:00-03:00,0.38,PUERTO LA PLATA
2024-09-19 05:48:00-03:00,1.38,PUERTO LA PLATA
2024-09-19 13:21:00-03:00,0.49,PUERTO LA PLATA
2024-09-19 17:28:00-03:00,0.85,PUERTO LA PLATA
2024-09-20 00:47:00-03:00,0.37,PUERTO LA PLATA
2024-09-20 06:42:00-03:00,1.41,PUERTO LA PLATA
2024-09-20 14:03:00-03:00,0.46,PUERTO LA PLATA
2024-09-20 18:33:00-03:00,0.91,PUERTO LA PLATA
2024-09-21 01:43:00-03:00,0.37,PUERTO LA PLATA
2024-09-21 07:33:00-03:00,1.37,PUERTO LA PLATA
2024-09-21 14:42:00-03:00,0.44,PUERTO LA PLATA
2024-09-21 19:31:00-03:00,1.0,PUERTO LA PLATA
2024-09-22 02:41:00-03:00,0.36,PUERTO LA PLATA
2024-09-22 08:26:00-03:00,1.27,PUERTO LA PLATA
2024-09-22 15:17:00-03:00,0.43,PUERTO LA PLATA
2024-09-22 20:26:00-03:00,1.1,PUERTO LA PLATA
2024-09-23 03:44:00-03:00,0.35,PUERTO LA PLATA
2024-09-23 09:24:00-03:00,1.12,PUERTO LA PLATA
2024-09-23 15:51:00-03:00,0.43,PUERTO LA PLATA
2024-09-23 21:19:00-03:00,1.19,PUERTO LA PLATA
2024-09-24 04:51:00-03:00,0.32,PUERTO LA PLATA
2024-09-24 10:30:00-03:00,0.96,PUERTO LA PLATA
2024-09-24 16:24:00-03:00,0.46,PUERTO LA PLATA
2024-09-24 22:16:00-03:00,1.24,PUERTO LA PLATA
2024-09-25 06:03:00-03:00,0.29,PUERTO LA PLATA
2024-09-25 11:41:00-03:00,0.81,PUERTO LA PLATA
2024-09-25 16:58:00-03:00,0.49,PUERTO LA PLATA
2024-09-25 23:19:00-03:00,1.25,PUERTO LA PLATA
2024-09-26 07:16:00-03:00,0.27,PUERTO LA PLATA
2024-09-26 12:55:00-03:00,0.71,PUERTO LA PLATA
2024-09-26 17:40:00-03:00,0.52,PUERTO LA PLATA
2024-09-27 00:34:00-03:00,1.21,PUERTO LA PLATA
2024-09-27 08:34:00-03:00,0.3,PUERTO LA PLATA
2024-09-27 14:10:00-03:00,0.66,PUERTO LA PLATA
2024-09-27 18:41:00-03:00,0.54,PUERTO LA PLATA
2024-09-28 02:00:00-03:00,1.16,PUERTO LA PLATA
2024-09-28 09:53:00-03:00,0.35,PUERTO LA PLATA
2024-09-28 15:18:00-03:00,0.66,PUERTO LA PLATA
2024-09-28 20:10:00-03:00,0.53,PUERTO LA PLATA
2024-09-29 03:32:00-03:00,1.13,PUERTO LA PLATA
2024-09-29 11:03:00-03:00,0.42,PUERTO LA PLATA
2024-09-29 16:05:00-03:00,0.68,PUERTO LA PLATA
2024-09-29 21:45:00-03:00,0.49,PUERTO LA PLATA
2024-09-30 04:48:00-03:00,1.13,PUERTO LA PLATA
2024-09-30 11:59:00-03:00,0.5,PUERTO LA PLATA
