datetime,height,port
2024-11-01 02:17:00-03:00,1.04,PUERTO MADRYN
2024-11-01 07:49:00-03:00,4.95,PUERTO MADRYN
2024-11-01 14:28:00-03:00,1.19,PUERTO MADRYN
2024-11-01 20:03:00-03:00,5.36,PUERTO MADRYN
2024-11-02 02:53:00-03:00,0.95,PUERTO MADRYN
2024-11-02 08:28:00-03:00,5.09,PUERTO MADRYN
2024-11-02 14:57:00-03:00,1.15,PUERTO MADRYN
2024-11-02 20:29:00-03:00,5.37,PUERTO MADRYN
2024-11-03 03:29:00-03:00,0.94,PUERTO MADRYN
2024-11-03 09:04:00-03:00,5.16,PUERTO MADRYN
2024-11-03 15:28:00-03:00,1.16,PUERTO MADRYN
2024-11-03 20:54:00-03:00,5.34,PUERTO MADRYN
2024-11-04 04:05:00-03:00,0.99,PUERTO MADRYN
2024-11-04 09:38:00-03:00,5.17,PUERTO MADRYN
2024-11-04 15:59:00-03:00,1.22,PUERTO MADRYN
2024-11-04 21:19:00-03:00,5.3,PUERTO MADRYN
2024-11-05 04:42:00-03:00,1.06,PUERTO MADRYN
2024-11-05 10:11:00-03:00,5.12,PUERTO MADRYN
2024-11-05 16:33:00-03:00,1.32,PUERTO MADRYN
2024-11-05 21:48:00-03:00,5.26,PUERTO MADRYN
2024-11-06 05:19:00-03:00,1.14,PUERTO MADRYN
2024-11-06 10:46:00-03:00,5.03,PUERTO MADRYN
2024-11-06 17:11:00-03:00,1.44,PUERTO MADRYN
2024-11-06 22:23:00-03:00,5.19,PUERTO MADRYN
2024-11-07 05:58:00-03:00,1.22,PUERTO MADRYN
2024-11-07 11:25:00-03:00,4.9,PUERTO MADRYN
2024-11-07 17:54:00-03:00,1.57,PUERTO MADRYN
2024-11-07 23:05:00-03:00,5.08,PUERTO MADRYN
2024-11-08 06:41:00-03:00,1.29,PUERTO MADRYN
2024-11-08 12:12:00-03:00,4.76,PUERTO MADRYN
2024-11-08 18:44:00-03:00,1.69,PUERTO MADRYN
2024-11-08 23:56:00-03:00,4.91,PUERTO MADRYN
2024-11-09 07:29:00-03:00,1.35,PUERTO MADRYN
2024-11-09 13:10:00-03:00,4.63,PUERTO MADRYN
2024-11-09 19:44:00-03:00,1.77,PUERTO MADRYN
2024-11-10 01:00:00-03:00,4.73,PUERTO MADRYN
2024-11-10 08:25:00-03:00,1.4,PUERTO MADRYN
2024-11-10 14:21:00-03:00,4.6,PUERTO MADRYN
2024-11-10 20:52:00-03:00,1.74,PUERTO MADRYN
2024-11-11 02:16:00-03:00,4.65,PUERTO MADRYN
2024-11-11 09:29:00-03:00,1.39,PUERTO MADRYN
2024-11-11 15:33:00-03:00,4.73,PUERTO MADRYN
2024-11-11 22:04:00-03:00,1.57,PUERTO MADRYN
2024-11-12 03:33:00-03:00,4.73,PUERTO MADRYN
