datetime,height,port
2024-02-01 06:29:00-03:00,1.13,PUERTO MADRYN
2024-02-01 12:03:00-03:00,5.19,PUERTO MADRYN
2024-02-01 18:44:00-03:00,1.6,PUERTO MADRYN
2024-02-02 00:16:00-03:00,4.92,PUERTO MADRYN
2024-02-02 07:02:00-03:00,1.28,PUERTO MADRYN
2024-02-02 12:35:00-03:00,5.06,PUERTO MADRYN
2024-02-02 19:28:00-03:00,1.72,PUERTO MADRYN
2024-02-03 00:58:00-03:00,4.71,PUERTO MADRYN
2024-02-03 07:41:00-03:00,1.46,PUERTO MADRYN
2024-02-03 13:11:00-03:00,4.93,PUERTO MADRYN
2024-02-03 20:17:00-03:00,1.86,PUERTO MADRYN
2024-02-04 01:49:00-03:00,4.49,PUERTO MADRYN
2024-02-04 08:26:00-03:00,1.66,PUERTO MADRYN
2024-02-04 13:57:00-03:00,4.81,PUERTO MADRYN
2024-02-04 21:12:00-03:00,1.97,PUERTO MADRYN
2024-02-05 02:59:00-03:00,4.32,PUERTO MADRYN
2024-02-05 09:21:00-03:00,1.82,PUERTO MADRYN
2024-02-05 14:56:00-03:00,4.72,PUERTO MADRYN
2024-02-05 22:17:00-03:00,2.0,PUERTO MADRYN
2024-02-06 04:20:00-03:00,4.32,PUERTO MADRYN
2024-02-06 10:24:00-03:00,1.89,PUERTO MADRYN
2024-02-06 16:02:00-03:00,4.74,PUERTO MADRYN
2024-02-06 23:31:00-03:00,1.91,PUERTO MADRYN
2024-02-07 05:32:00-03:00,4.52,PUERTO MADRYN
2024-02-07 11:31:00-03:00,1.82,PUERTO MADRYN
2024-02-07 17:06:00-03:00,4.86,PUERTO MADRYN
2024-02-08 00:45:00-03:00,1.65,PUERTO MADRYN
2024-02-08 06:31:00-03:00,4.84,PUERTO MADRYN
2024-02-08 12:36:00-03:00,1.62,PUERTO MADRYN
2024-02-08 18:04:00-03:00,5.06,PUERTO MADRYN
2024-02-09 01:48:00-03:00,1.28,PUERTO MADRYN
2024-02-09 07:21:00-03:00,5.2,PUERTO MADRYN
2024-02-09 13:35:00-03:00,1.36,PUERTO MADRYN
2024-02-09 18:59:00-03:00,5.29,PUERTO MADRYN
2024-02-10 02:41:00-03:00,0.88,PUERTO MADRYN
2024-02-10 08:07:00-03:00,5.54,PUERTO MADRYN
2024-02-10 14:29:00-03:00,1.09,PUERTO MADRYN
2024-02-10 19:51:00-03:00,5.51,PUERTO MADRYN
2024-02-11 03:30:00-03:00,0.54,PUERTO MADRYN
2024-02-11 08:51:00-03:00,5.8,PUERTO MADRYN
2024-02-11 15:21:00-03:00,0.88,PUERTO MADRYN
2024-02-11 20:42:00-03:00,5.71,PUERTO MADRYN
2024-02-12 04:17:00-03:00,0.28,PUERTO MADRYN
2024-02-12 09:34:00-03:00,5.96,PUERTO MADRYN
2024-02-12 16:13:00-03:00,0.75,PUERTO MADRYN
2024-02-12 21:33:00-03:00,5.85,PUERTO MADRYN
2024-02-13 05:01:00-03:00,0.16,PUERTO MADRYN
2024-02-13 10:17:00-03:00,6.02,PUERTO MADRYN
2024-02-13 17:05:00-03:00,0.68,PUERTO MADRYN
2024-02-13 22:22:00-03:00,5.9,PUERTO MADRYN
2024-02-14 05:45:00-03:00,0.17,PUERTO MADRYN
2024-02-14 10:59:00-03:00,5.97,PUERTO MADRYN
2024-02-14 17:57:00-03:00,0.7,PUERTO MADRYN
2024-02-14 23:12:00-03:00,5.83,PUERTO MADRYN
