datetime,height,port
2024-08-01 04:32:00-03:00,4.79,PUERTO MADRYN
2024-08-01 11:54:00-03:00,1.17,PUERTO MADRYN
2024-08-01 17:36:00-03:00,4.63,PUERTO MADRYN
2024-08-01 23:53:00-03:00,1.57,PUERTO MADRYN
2024-08-02 05:34:00-03:00,4.77,PUERTO MADRYN
2024-08-02 13:05:00-03:00,1.07,PUERTO MADRYN
2024-08-02 18:38:00-03:00,4.77,PUERTO MADRYN
2024-08-03 00:55:00-03:00,1.56,PUERTO MADRYN
2024-08-03 06:29:00-03:00,4.8,PUERTO MADRYN
2024-08-03 14:06:00-03:00,0.92,PUERTO MADRYN
2024-08-03 19:30:00-03:00,4.94,PUERTO MADRYN
2024-08-04 01:48:00-03:00,1.49,PUERTO MADRYN
2024-08-04 07:18:00-03:00,4.84,PUERTO MADRYN
2024-08-04 14:56:00-03:00,0.81,PUERTO MADRYN
2024-08-04 20:13:00-03:00,5.1,PUERTO MADRYN
2024-08-05 02:34:00-03:00,1.42,PUERTO MADRYN
2024-08-05 08:03:00-03:00,4.88,PUERTO MADRYN
2024-08-05 15:38:00-03:00,0.77,PUERTO MADRYN
2024-08-05 20:53:00-03:00,5.21,PUERTO MADRYN
2024-08-06 03:15:00-03:00,1.37,PUERTO MADRYN
2024-08-06 08:46:00-03:00,4.93,PUERTO MADRYN
2024-08-06 16:14:00-03:00,0.77,PUERTO MADRYN
2024-08-06 21:31:00-03:00,5.28,PUERTO MADRYN
2024-08-07 03:53:00-03:00,1.33,PUERTO MADRYN
2024-08-07 09:27:00-03:00,4.99,PUERTO MADRYN
2024-08-07 16:45:00-03:00,0.81,PUERTO MADRYN
2024-08-07 22:07:00-03:00,5.29,PUERTO MADRYN
2024-08-08 04:31:00-03:00,1.32,PUERTO MADRYN
2024-08-08 10:07:00-03:00,5.02,PUERTO MADRYN
2024-08-08 17:15:00-03:00,0.86,PUERTO MADRYN
2024-08-08 22:42:00-03:00,5.26,PUERTO MADRYN
2024-08-09 05:09:00-03:00,1.33,PUERTO MADRYN
2024-08-09 10:46:00-03:00,5.01,PUERTO MADRYN
2024-08-09 17:45:00-03:00,0.94,PUERTO MADRYN
2024-08-09 23:15:00-03:00,5.17,PUERTO MADRYN
2024-08-10 05:49:00-03:00,1.37,PUERTO MADRYN
2024-08-10 11:25:00-03:00,4.93,PUERTO MADRYN
2024-08-10 18:15:00-03:00,1.04,PUERTO MADRYN
2024-08-10 23:48:00-03:00,5.05,PUERTO MADRYN
2024-08-11 06:31:00-03:00,1.46,PUERTO MADRYN
2024-08-11 12:05:00-03:00,4.77,PUERTO MADRYN
2024-08-11 18:48:00-03:00,1.19,PUERTO MADRYN
2024-08-12 00:20:00-03:00,4.9,PUERTO MADRYN
2024-08-12 07:15:00-03:00,1.59,PUERTO MADRYN
2024-08-12 12:47:00-03:00,4.55,PUERTO MADRYN
2024-08-12 19:25:00-03:00,1.37,PUERTO MADRYN
2024-08-13 00:55:00-03:00,4.74,PUERTO MADRYN
2024-08-13 08:03:00-03:00,1.74,PUERTO MADRYN
2024-08-13 13:39:00-03:00,4.31,PUERTO MADRYN
2024-08-13 20:09:00-03:00,1.57,PUERTO MADRYN
2024-08-14 01:38:00-03:00,4.58,PUERTO MADRYN
