datetime,height,port
2024-09-01 00:48:00-03:00,1.71,PUERTO MADRYN
2024-09-01 06:21:00-03:00,4.6,PUERTO MADRYN
2024-09-01 13:55:00-03:00,1.06,PUERTO MADRYN
2024-09-01 19:17:00-03:00,4.94,PUERTO MADRYN
2024-09-02 01:40:00-03:00,1.53,PUERTO MADRYN
2024-09-02 07:08:00-03:00,4.7,PUERTO MADRYN
2024-09-02 14:39:00-03:00,0.94,PUERTO MADRYN
2024-09-02 19:55:00-03:00,5.13,PUERTO MADRYN
2024-09-03 02:21:00-03:00,1.36,PUERTO MADRYN
2024-09-03 07:49:00-03:00,4.82,PUERTO MADRYN
2024-09-03 15:14:00-03:00,0.89,PUERTO MADRYN
2024-09-03 20:30:00-03:00,5.28,PUERTO MADRYN
2024-09-04 02:58:00-03:00,1.24,PUERTO MADRYN
2024-09-04 08:28:00-03:00,4.94,PUERTO MADRYN
2024-09-04 15:44:00-03:00,0.88,PUERTO MADRYN
2024-09-04 21:04:00-03:00,5.37,PUERTO MADRYN
2024-09-05 03:34:00-03:00,1.16,PUERTO MADRYN
2024-09-05 09:06:00-03:00,5.05,PUERTO MADRYN
2024-09-05 16:11:00-03:00,0.9,PUERTO MADRYN
2024-09-05 21:36:00-03:00,5.4,PUERTO MADRYN
2024-09-06 04:09:00-03:00,1.13,PUERTO MADRYN
2024-09-06 09:43:00-03:00,5.11,PUERTO MADRYN
2024-09-06 16:39:00-03:00,0.93,PUERTO MADRYN
2024-09-06 22:07:00-03:00,5.37,PUERTO MADRYN
2024-09-07 04:45:00-03:00,1.15,PUERTO MADRYN
2024-09-07 10:19:00-03:00,5.12,PUERTO MADRYN
2024-09-07 17:07:00-03:00,1.0,PUERTO MADRYN
2024-09-07 22:35:00-03:00,5.3,PUERTO MADRYN
2024-09-08 05:22:00-03:00,1.22,PUERTO MADRYN
2024-09-08 10:54:00-03:00,5.05,PUERTO MADRYN
2024-09-08 17:36:00-03:00,1.1,PUERTO MADRYN
2024-09-08 23:01:00-03:00,5.19,PUERTO MADRYN
2024-09-09 06:00:00-03:00,1.34,PUERTO MADRYN
2024-09-09 11:29:00-03:00,4.9,PUERTO MADRYN
2024-09-09 18:08:00-03:00,1.26,PUERTO MADRYN
2024-09-09 23:29:00-03:00,5.07,PUERTO MADRYN
2024-09-10 06:39:00-03:00,1.5,PUERTO MADRYN
