datetime,height,port
2024-10-01 01:58:00-03:00,0.28,PUERTO MAR DEL PLATA
2024-10-01 07:13:00-03:00,0.98,PUERTO MAR DEL PLATA
2024-10-01 12:55:00-03:00,0.64,PUERTO MAR DEL PLATA
2024-10-01 18:28:00-03:00,1.38,PUERTO MAR DEL PLATA
2024-10-02 02:38:00-03:00,0.31,PUERTO MAR DEL PLATA
2024-10-02 07:47:00-03:00,1.02,PUERTO MAR DEL PLATA
2024-10-02 13:33:00-03:00,0.59,PUERTO MAR DEL PLATA
2024-10-02 19:06:00-03:00,1.36,PUERTO MAR DEL PLATA
2024-10-03 03:13:00-03:00,0.36,PUERTO MAR DEL PLATA
2024-10-03 08:15:00-03:00,1.07,PUERTO MAR DEL PLATA
2024-10-03 14:06:00-03:00,0.55,PUERTO MAR DEL PLATA
2024-10-03 19:41:00-03:00,1.32,PUERTO MAR DEL PLATA
2024-10-04 03:42:00-03:00,0.41,PUERTO MAR DEL PLATA
2024-10-04 08:40:00-03:00,1.12,PUERTO MAR DEL PLATA
2024-10-04 14:39:00-03:00,0.5,PUERTO MAR DEL PLATA
2024-10-04 20:13:00-03:00,1.27,PUERTO MAR DEL PLATA
2024-10-05 04:07:00-03:00,0.45,PUERTO MAR DEL PLATA
2024-10-05 09:03:00-03:00,1.18,PUERTO MAR DEL PLATA
2024-10-05 15:15:00-03:00,0.47,PUERTO MAR DEL PLATA
2024-10-05 20:44:00-03:00,1.21,PUERTO MAR DEL PLATA
2024-10-06 04:30:00-03:00,0.49,PUERTO MAR DEL PLATA
2024-10-06 09:25:00-03:00,1.23,PUERTO MAR DEL PLATA
2024-10-06 15:53:00-03:00,0.45,PUERTO MAR DEL PLATA
2024-10-06 21:15:00-03:00,1.15,PUERTO MAR DEL PLATA
2024-10-07 04:52:00-03:00,0.53,PUERTO MAR DEL PLATA
2024-10-07 09:48:00-03:00,1.28,PUERTO MAR DEL PLATA
2024-10-07 16:37:00-03:00,0.44,PUERTO MAR DEL PLATA
2024-10-07 21:49:00-03:00,1.09,PUERTO MAR DEL PLATA
2024-10-08 05:11:00-03:00,0.57,PUERTO MAR DEL PLATA
2024-10-08 10:15:00-03:00,1.33,PUERTO MAR DEL PLATA
2024-10-08 17:30:00-03:00,0.44,PUERTO MAR DEL PLATA
2024-10-08 22:29:00-03:00,1.03,PUERTO MAR DEL PLATA
2024-10-09 05:18:00-03:00,0.6,PUERTO MAR DEL PLATA
2024-10-09 10:49:00-03:00,1.37,PUERTO MAR DEL PLATA
2024-10-09 18:32:00-03:00,0.43,PUERTO MAR DEL PLATA
2024-10-09 23:17:00-03:00,0.97,PUERTO MAR DEL PLATA
2024-10-10 05:21:00-03:00,0.61,PUERTO MAR DEL PLATA
2024-10-10 11:29:00-03:00,1.4,PUERTO MAR DEL PLATA
2024-10-10 19:35:00-03:00,0.41,PUERTO MAR DEL PLATA
2024-10-11 00:16:00-03:00,0.92,PUERTO MAR DEL PLATA
2024-10-11 05:42:00-03:00,0.62,PUERTO MAR DEL PLATA
2024-10-11 12:19:00-03:00,1.42,PUERTO MAR DEL PLATA
2024-10-11 20:35:00-03:00,0.39,PUERTO MAR DEL PLATA
