datetime,height,port
2024-11-01 02:23:00-03:00,0.5,PUERTO MAR DEL PLATA
2024-11-01 07:30:00-03:00,1.22,PUERTO MAR DEL PLATA
2024-11-01 13:50:00-03:00,0.54,PUERTO MAR DEL PLATA
2024-11-01 19:17:00-03:00,1.23,PUERTO MAR DEL PLATA
2024-11-02 02:51:00-03:00,0.55,PUERTO MAR DEL PLATA
2024-11-02 07:57:00-03:00,1.28,PUERTO MAR DEL PLATA
2024-11-02 14:29:00-03:00,0.5,PUERTO MAR DEL PLATA
2024-11-02 19:50:00-03:00,1.18,PUERTO MAR DEL PLATA
2024-11-03 03:17:00-03:00,0.59,PUERTO MAR DEL PLATA
2024-11-03 08:20:00-03:00,1.35,PUERTO MAR DEL PLATA
2024-11-03 15:10:00-03:00,0.47,PUERTO MAR DEL PLATA
2024-11-03 20:20:00-03:00,1.14,PUERTO MAR DEL PLATA
2024-11-04 03:42:00-03:00,0.63,PUERTO MAR DEL PLATA
2024-11-04 08:44:00-03:00,1.41,PUERTO MAR DEL PLATA
2024-11-04 15:54:00-03:00,0.45,PUERTO MAR DEL PLATA
2024-11-04 20:53:00-03:00,1.09,PUERTO MAR DEL PLATA
2024-11-05 04:03:00-03:00,0.67,PUERTO MAR DEL PLATA
2024-11-05 09:10:00-03:00,1.47,PUERTO MAR DEL PLATA
2024-11-05 16:44:00-03:00,0.44,PUERTO MAR DEL PLATA
2024-11-05 21:30:00-03:00,1.04,PUERTO MAR DEL PLATA
2024-11-06 04:09:00-03:00,0.69,PUERTO MAR DEL PLATA
2024-11-06 09:41:00-03:00,1.52,PUERTO MAR DEL PLATA
2024-11-06 17:38:00-03:00,0.42,PUERTO MAR DEL PLATA
2024-11-06 22:14:00-03:00,1.0,PUERTO MAR DEL PLATA
2024-11-07 04:09:00-03:00,0.7,PUERTO MAR DEL PLATA
2024-11-07 10:18:00-03:00,1.55,PUERTO MAR DEL PLATA
2024-11-07 18:34:00-03:00,0.4,PUERTO MAR DEL PLATA
2024-11-07 23:04:00-03:00,0.96,PUERTO MAR DEL PLATA
2024-11-08 04:30:00-03:00,0.69,PUERTO MAR DEL PLATA
2024-11-08 11:01:00-03:00,1.56,PUERTO MAR DEL PLATA
2024-11-08 19:29:00-03:00,0.37,PUERTO MAR DEL PLATA
2024-11-09 00:03:00-03:00,0.93,PUERTO MAR DEL PLATA
2024-11-09 05:04:00-03:00,0.68,PUERTO MAR DEL PLATA
2024-11-09 11:53:00-03:00,1.55,PUERTO MAR DEL PLATA
2024-11-09 20:22:00-03:00,0.35,PUERTO MAR DEL PLATA
2024-11-10 01:09:00-03:00,0.92,PUERTO MAR DEL PLATA
