datetime,height,port
2024-03-01 04:52:00-03:00,0.6,PUERTO MAR DEL PLATA
2024-03-01 10:26:00-03:00,1.33,PUERTO MAR DEL PLATA
2024-03-01 18:20:00-03:00,0.61,PUERTO MAR DEL PLATA
2024-03-01 23:09:00-03:00,1.3,PUERTO MAR DEL PLATA
2024-03-02 05:39:00-03:00,0.59,PUERTO MAR DEL PLATA
2024-03-02 11:10:00-03:00,1.26,PUERTO MAR DEL PLATA
2024-03-02 18:43:00-03:00,0.66,PUERTO MAR DEL PLATA
2024-03-02 23:44:00-03:00,1.34,PUERTO MAR DEL PLATA
2024-03-03 06:41:00-03:00,0.59,PUERTO MAR DEL PLATA
2024-03-03 12:02:00-03:00,1.19,PUERTO MAR DEL PLATA
2024-03-03 18:58:00-03:00,0.7,PUERTO MAR DEL PLATA
2024-03-04 00:27:00-03:00,1.39,PUERTO MAR DEL PLATA
2024-03-04 07:53:00-03:00,0.58,PUERTO MAR DEL PLATA
2024-03-04 13:08:00-03:00,1.13,PUERTO MAR DEL PLATA
2024-03-04 19:10:00-03:00,0.74,PUERTO MAR DEL PLATA
2024-03-05 01:22:00-03:00,1.43,PUERTO MAR DEL PLATA
2024-03-05 09:03:00-03:00,0.55,PUERTO MAR DEL PLATA
2024-03-05 14:23:00-03:00,1.09,PUERTO MAR DEL PLATA
2024-03-05 19:36:00-03:00,0.77,PUERTO MAR DEL PLATA
2024-03-06 02:29:00-03:00,1.48,PUERTO MAR DEL PLATA
2024-03-06 10:10:00-03:00,0.52,PUERTO MAR DEL PLATA
2024-03-06 15:30:00-03:00,1.07,PUERTO MAR DEL PLATA
2024-03-06 20:21:00-03:00,0.8,PUERTO MAR DEL PLATA
2024-03-07 03:38:00-03:00,1.57,PUERTO MAR DEL PLATA
2024-03-07 11:18:00-03:00,0.47,PUERTO MAR DEL PLATA
2024-03-07 16:30:00-03:00,1.07,PUERTO MAR DEL PLATA
2024-03-07 21:33:00-03:00,0.82,PUERTO MAR DEL PLATA
2024-03-08 04:40:00-03:00,1.67,PUERTO MAR DEL PLATA
2024-03-08 12:29:00-03:00,0.43,PUERTO MAR DEL PLATA
2024-03-08 17:27:00-03:00,1.09,PUERTO MAR DEL PLATA
2024-03-08 22:59:00-03:00,0.79,PUERTO MAR DEL PLATA
2024-03-09 05:37:00-03:00,1.76,PUERTO MAR DEL PLATA
2024-03-09 13:37:00-03:00,0.39,PUERTO MAR DEL PLATA
2024-03-09 18:21:00-03:00,1.13,PUERTO MAR DEL PLATA
2024-03-10 00:20:00-03:00,0.73,PUERTO MAR DEL PLATA
2024-03-10 06:31:00-03:00,1.83,PUERTO MAR DEL PLATA
2024-03-10 14:38:00-03:00,0.37,PUERTO MAR DEL PLATA
2024-03-10 19:12:00-03:00,1.19,PUERTO MAR DEL PLATA
2024-03-11 01:34:00-03:00,0.63,PUERTO MAR DEL PLATA
2024-03-11 07:24:00-03:00,1.85,PUERTO MAR DEL PLATA
