datetime,height,port
2024-07-01 02:36:00-03:00,1.41,PUERTO MAR DEL PLATA
2024-07-01 09:42:00-03:00,0.42,PUERTO MAR DEL PLATA
2024-07-01 15:02:00-03:00,1.21,PUERTO MAR DEL PLATA
2024-07-01 22:13:00-03:00,0.52,PUERTO MAR DEL PLATA
2024-07-02 03:43:00-03:00,1.32,PUERTO MAR DEL PLATA
2024-07-02 10:25:00-03:00,0.51,PUERTO MAR DEL PLATA
2024-07-02 15:58:00-03:00,1.33,PUERTO MAR DEL PLATA
2024-07-02 23:37:00-03:00,0.44,PUERTO MAR DEL PLATA
2024-07-03 04:43:00-03:00,1.24,PUERTO MAR DEL PLATA
2024-07-03 11:07:00-03:00,0.59,PUERTO MAR DEL PLATA
2024-07-03 16:52:00-03:00,1.45,PUERTO MAR DEL PLATA
2024-07-04 00:50:00-03:00,0.35,PUERTO MAR DEL PLATA
2024-07-04 05:39:00-03:00,1.16,PUERTO MAR DEL PLATA
2024-07-04 11:49:00-03:00,0.66,PUERTO MAR DEL PLATA
2024-07-04 17:43:00-03:00,1.56,PUERTO MAR DEL PLATA
2024-07-05 01:55:00-03:00,0.29,PUERTO MAR DEL PLATA
2024-07-05 06:36:00-03:00,1.08,PUERTO MAR DEL PLATA
2024-07-05 12:30:00-03:00,0.7,PUERTO MAR DEL PLATA
2024-07-05 18:30:00-03:00,1.65,PUERTO MAR DEL PLATA
2024-07-06 02:52:00-03:00,0.25,PUERTO MAR DEL PLATA
2024-07-06 07:36:00-03:00,1.02,PUERTO MAR DEL PLATA
2024-07-06 13:09:00-03:00,0.72,PUERTO MAR DEL PLATA
2024-07-06 19:15:00-03:00,1.7,PUERTO MAR DEL PLATA
2024-07-07 03:45:00-03:00,0.23,PUERTO MAR DEL PLATA
2024-07-07 08:45:00-03:00,0.98,PUERTO MAR DEL PLATA
2024-07-07 13:47:00-03:00,0.72,PUERTO MAR DEL PLATA
2024-07-07 19:58:00-03:00,1.71,PUERTO MAR DEL PLATA
2024-07-08 04:34:00-03:00,0.23,PUERTO MAR DEL PLATA
2024-07-08 09:54:00-03:00,0.96,PUERTO MAR DEL PLATA
2024-07-08 14:25:00-03:00,0.71,PUERTO MAR DEL PLATA
2024-07-08 20:39:00-03:00,1.68,PUERTO MAR DEL PLATA
2024-07-09 05:19:00-03:00,0.24,PUERTO MAR DEL PLATA
2024-07-09 10:45:00-03:00,0.96,PUERTO MAR DEL PLATA
2024-07-09 15:04:00-03:00,0.69,PUERTO MAR DEL PLATA
2024-07-09 21:18:00-03:00,1.62,PUERTO MAR DEL PLATA
2024-07-10 05:59:00-03:00,0.26,PUERTO MAR DEL PLATA
2024-07-10 11:27:00-03:00,0.96,PUERTO MAR DEL PLATA
