datetime,height,port
2024-01-01 04:06:00-03:00,0.79,PUERTO QUEQUÉN
2024-01-01 10:03:00-03:00,1.76,PUERTO QUEQUÉN
2024-01-01 17:13:00-03:00,0.4,PUERTO QUEQUÉN
2024-01-01 23:10:00-03:00,1.41,PUERTO QUEQUÉN
2024-01-02 04:46:00-03:00,0.72,PUERTO QUEQUÉN
2024-01-02 10:41:00-03:00,1.68,PUERTO QUEQUÉN
2024-01-02 17:50:00-03:00,0.39,PUERTO QUEQUÉN
2024-01-02 23:48:00-03:00,1.39,PUERTO QUEQUÉN
2024-01-03 05:30:00-03:00,0.66,PUERTO QUEQUÉN
2024-01-03 11:22:00-03:00,1.59,PUERTO QUEQUÉN
2024-01-03 18:29:00-03:00,0.4,PUERTO QUEQUÉN
2024-01-04 00:27:00-03:00,1.38,PUERTO QUEQUÉN
2024-01-04 06:18:00-03:00,0.61,PUERTO QUEQUÉN
2024-01-04 12:08:00-03:00,1.48,PUERTO QUEQUÉN
2024-01-04 19:11:00-03:00,0.44,PUERTO QUEQUÉN
2024-01-05 01:08:00-03:00,1.38,PUERTO QUEQUÉN
2024-01-05 07:14:00-03:00,0.58,PUERTO QUEQUÉN
2024-01-05 13:05:00-03:00,1.37,PUERTO QUEQUÉN
2024-01-05 19:56:00-03:00,0.5,PUERTO QUEQUÉN
2024-01-06 01:53:00-03:00,1.39,PUERTO QUEQUÉN
2024-01-06 08:19:00-03:00,0.55,PUERTO QUEQUÉN
2024-01-06 14:14:00-03:00,1.28,PUERTO QUEQUÉN
2024-01-06 20:43:00-03:00,0.57,PUERTO QUEQUÉN
2024-01-07 02:39:00-03:00,1.42,PUERTO QUEQUÉN
2024-01-07 09:29:00-03:00,0.5,PUERTO QUEQUÉN
2024-01-07 15:24:00-03:00,1.23,PUERTO QUEQUÉN
2024-01-07 21:34:00-03:00,0.65,PUERTO QUEQUÉN
2024-01-08 03:27:00-03:00,1.47,PUERTO QUEQUÉN
2024-01-08 10:36:00-03:00,0.42,PUERTO QUEQUÉN
2024-01-08 16:29:00-03:00,1.23,PUERTO QUEQUÉN
2024-01-08 22:27:00-03:00,0.73,PUERTO QUEQUÉN
2024-01-09 04:16:00-03:00,1.54,PUERTO QUEQUÉN
2024-01-09 11:36:00-03:00,0.33,PUERTO QUEQUÉN
2024-01-09 17:31:00-03:00,1.26,PUERTO QUEQUÉN
2024-01-09 23:23:00-03:00,0.79,PUERTO QUEQUÉN
2024-01-10 05:08:00-03:00,1.61,PUERTO QUEQUÉN
2024-01-10 12:31:00-03:00,0.24,PUERTO QUEQUÉN
2024-01-10 18:28:00-03:00,1.3,PUERTO QUEQUÉN
2024-01-11 00:21:00-03:00,0.83,PUERTO QUEQUÉN
2024-01-11 06:01:00-03:00,1.69,PUERTO QUEQUÉN
2024-01-11 13:21:00-03:00,0.17,PUERTO QUEQUÉN
2024-01-11 19:19:00-03:00,1.35,PUERTO QUEQUÉN
2024-01-12 01:18:00-03:00,0.85,PUERTO QUEQUÉN
2024-01-12 06:54:00-03:00,1.76,PUERTO QUEQUÉN
2024-01-12 14:12:00-03:00,0.13,PUERTO QUEQUÉN
2024-01-12 20:06:00-03:00,1.38,PUERTO QUEQUÉN
2024-01-13 02:12:00-03:00,0.84,PUERTO QUEQUÉN
2024-01-13 07:46:00-03:00,1.82,PUERTO QUEQUÉN
2024-01-13 15:04:00-03:00,0.14,PUERTO QUEQUÉN
2024-01-13 20:50:00-03:00,1.4,PUERTO QUEQUÉN
2024-01-14 03:05:00-03:00,0.8,PUERTO QUEQUÉN
2024-01-14 08:36:00-03:00,1.86,PUERTO QUEQUÉN
2024-01-14 15:58:00-03:00,0.16,PUERTO QUEQUÉN
2024-01-14 21:32:00-03:00,1.41,PUERTO QUEQUÉN
2024-01-15 03:56:00-03:00,0.73,PUERTO QUEQUÉN
2024-01-15 09:25:00-03:00,1.86,PUERTO QUEQUÉN
2024-01-15 16:54:00-03:00,0.21,PUERTO QUEQUÉN
2024-01-15 22:14:00-03:00,1.42,PUERTO QUEQUÉN
2024-01-16 04:46:00-03:00,0.65,PUERTO QUEQUÉN
2024-01-16 10:15:00-03:00,1.83,PUERTO QUEQUÉN
2024-01-16 17:47:00-03:00,0.27,PUERTO QUEQUÉN
2024-01-16 22:56:00-03:00,1.44,PUERTO QUEQUÉN
2024-01-17 05:37:00-03:00,0.57,PUERTO QUEQUÉN
2024-01-17 11:06:00-03:00,1.77,PUERTO QUEQUÉN
2024-01-17 18:36:00-03:00,0.33,PUERTO QUEQUÉN
2024-01-17 23:41:00-03:00,1.47,PUERTO QUEQUÉN
2024-01-18 06:30:00-03:00,0.5,PUERTO QUEQUÉN
2024-01-18 12:01:00-03:00,1.67,PUERTO QUEQUÉN
2024-01-18 19:20:00-03:00,0.41,PUERTO QUEQUÉN
2024-01-19 00:28:00-03:00,1.52,PUERTO QUEQUÉN
2024-01-19 07:28:00-03:00,0.45,PUERTO QUEQUÉN
2024-01-19 13:03:00-03:00,1.55,PUERTO QUEQUÉN
2024-01-19 20:02:00-03:00,0.49,PUERTO QUEQUÉN
2024-01-20 01:19:00-03:00,1.57,PUERTO QUEQUÉN
2024-01-20 08:31:00-03:00,0.42,PUERTO QUEQUÉN
2024-01-20 14:11:00-03:00,1.45,PUERTO QUEQUÉN
2024-01-20 20:44:00-03:00,0.58,PUERTO QUEQUÉN
2024-01-21 02:13:00-03:00,1.63,PUERTO QUEQUÉN
2024-01-21 09:42:00-03:00,0.4,PUERTO QUEQUÉN
2024-01-21 15:22:00-03:00,1.37,PUERTO QUEQUÉN
2024-01-21 21:29:00-03:00,0.67,PUERTO QUEQUÉN
2024-01-22 03:11:00-03:00,1.67,PUERTO QUEQUÉN
2024-01-22 10:55:00-03:00,0.37,PUERTO QUEQUÉN
2024-01-22 16:35:00-03:00,1.32,PUERTO QUEQUÉN
2024-01-22 22:19:00-03:00,0.75,PUERTO QUEQUÉN
2024-01-23 04:12:00-03:00,1.7,PUERTO QUEQUÉN
2024-01-23 12:04:00-03:00,0.33,PUERTO QUEQUÉN
2024-01-23 17:47:00-03:00,1.32,PUERTO QUEQUÉN
2024-01-23 23:18:00-03:00,0.83,PUERTO QUEQUÉN
2024-01-24 05:15:00-03:00,1.72,PUERTO QUEQUÉN
2024-01-24 13:03:00-03:00,0.31,PUERTO QUEQUÉN
2024-01-24 18:51:00-03:00,1.36,PUERTO QUEQUÉN
2024-01-25 00:23:00-03:00,0.87,PUERTO QUEQUÉN
2024-01-25 06:17:00-03:00,1.74,PUERTO QUEQUÉN
2024-01-25 13:54:00-03:00,0.3,PUERTO QUEQUÉN
2024-01-25 19:43:00-03:00,1.4,PUERTO QUEQUÉN
2024-01-26 01:23:00-03:00,0.89,PUERTO QUEQUÉN
2024-01-26 07:11:00-03:00,1.76,PUERTO QUEQUÉN
2024-01-26 14:39:00-03:00,0.33,PUERTO QUEQUÉN
2024-01-26 20:26:00-03:00,1.44,PUERTO QUEQUÉN
2024-01-27 02:12:00-03:00,0.87,PUERTO QUEQUÉN
2024-01-27 07:56:00-03:00,1.76,PUERTO QUEQUÉN
2024-01-27 15:18:00-03:00,0.36,PUERTO QUEQUÉN
2024-01-27 21:02:00-03:00,1.46,PUERTO QUEQUÉN
2024-01-28 02:53:00-03:00,0.83,PUERTO QUEQUÉN
2024-01-28 08:36:00-03:00,1.75,PUERTO QUEQUÉN
2024-01-28 15:52:00-03:00,0.4,PUERTO QUEQUÉN
2024-01-28 21:35:00-03:00,1.47,PUERTO QUEQUÉN
2024-01-29 03:27:00-03:00,0.78,PUERTO QUEQUÉN
2024-01-29 09:12:00-03:00,1.74,PUERTO QUEQUÉN
2024-01-29 16:22:00-03:00,0.42,PUERTO QUEQUÉN
2024-01-29 22:05:00-03:00,1.48,PUERTO QUEQUÉN
2024-01-30 04:00:00-03:00,0.71,PUERTO QUEQUÉN
2024-01-30 09:47:00-03:00,1.71,PUERTO QUEQUÉN
2024-01-30 16:52:00-03:00,0.44,PUERTO QUEQUÉN
2024-01-30 22:34:00-03:00,1.49,PUERTO QUEQUÉN
2024-01-31 04:36:00-03:00,0.64,PUERTO QUEQUÉN
2024-01-31 10:21:00-03:00,1.65,PUERTO QUEQUÉN
