datetime,height,port
2024-12-01 01:09:00-03:00,0.77,PUERTO QUEQUÉN
2024-12-01 06:43:00-03:00,1.67,PUERTO QUEQUÉN
2024-12-01 13:49:00-03:00,0.33,PUERTO QUEQUÉN
2024-12-01 19:40:00-03:00,1.38,PUERTO QUEQUÉN
2024-12-02 01:47:00-03:00,0.81,PUERTO QUEQUÉN
2024-12-02 07:20:00-03:00,1.73,PUERTO QUEQUÉN
2024-12-02 14:27:00-03:00,0.31,PUERTO QUEQUÉN
2024-12-02 20:17:00-03:00,1.36,PUERTO QUEQUÉN
2024-12-03 02:24:00-03:00,0.83,PUERTO QUEQUÉN
2024-12-03 07:57:00-03:00,1.77,PUERTO QUEQUÉN
2024-12-03 15:05:00-03:00,0.3,PUERTO QUEQUÉN
2024-12-03 20:52:00-03:00,1.34,PUERTO QUEQUÉN
2024-12-04 03:02:00-03:00,0.83,PUERTO QUEQUÉN
2024-12-04 08:34:00-03:00,1.78,PUERTO QUEQUÉN
2024-12-04 15:43:00-03:00,0.29,PUERTO QUEQUÉN
2024-12-04 21:28:00-03:00,1.33,PUERTO QUEQUÉN
2024-12-05 03:38:00-03:00,0.81,PUERTO QUEQUÉN
2024-12-05 09:11:00-03:00,1.78,PUERTO QUEQUÉN
2024-12-05 16:23:00-03:00,0.27,PUERTO QUEQUÉN
2024-12-05 22:05:00-03:00,1.32,PUERTO QUEQUÉN
2024-12-06 04:14:00-03:00,0.78,PUERTO QUEQUÉN
2024-12-06 09:50:00-03:00,1.77,PUERTO QUEQUÉN
2024-12-06 17:05:00-03:00,0.24,PUERTO QUEQUÉN
2024-12-06 22:45:00-03:00,1.3,PUERTO QUEQUÉN
2024-12-07 04:49:00-03:00,0.73,PUERTO QUEQUÉN
2024-12-07 10:32:00-03:00,1.74,PUERTO QUEQUÉN
2024-12-07 17:52:00-03:00,0.23,PUERTO QUEQUÉN
2024-12-07 23:29:00-03:00,1.29,PUERTO QUEQUÉN
2024-12-08 05:26:00-03:00,0.67,PUERTO QUEQUÉN
2024-12-08 11:19:00-03:00,1.7,PUERTO QUEQUÉN
2024-12-08 18:44:00-03:00,0.23,PUERTO QUEQUÉN
2024-12-09 00:18:00-03:00,1.28,PUERTO QUEQUÉN
2024-12-09 06:08:00-03:00,0.6,PUERTO QUEQUÉN
2024-12-09 12:14:00-03:00,1.63,PUERTO QUEQUÉN
2024-12-09 19:41:00-03:00,0.26,PUERTO QUEQUÉN
2024-12-10 01:13:00-03:00,1.3,PUERTO QUEQUÉN
2024-12-10 07:04:00-03:00,0.54,PUERTO QUEQUÉN
2024-12-10 13:24:00-03:00,1.57,PUERTO QUEQUÉN
2024-12-10 20:39:00-03:00,0.32,PUERTO QUEQUÉN
2024-12-11 02:11:00-03:00,1.36,PUERTO QUEQUÉN
2024-12-11 08:23:00-03:00,0.48,PUERTO QUEQUÉN
2024-12-11 14:43:00-03:00,1.54,PUERTO QUEQUÉN
2024-12-11 21:36:00-03:00,0.41,PUERTO QUEQUÉN
2024-12-12 03:08:00-03:00,1.45,PUERTO QUEQUÉN
