datetime,height,port
2024-02-01 05:14:00-03:00,0.59,PUERTO QUEQUÉN
2024-02-01 10:57:00-03:00,1.57,PUERTO QUEQUÉN
2024-02-01 17:56:00-03:00,0.46,PUERTO QUEQUÉN
2024-02-01 23:37:00-03:00,1.5,PUERTO QUEQUÉN
2024-02-02 05:57:00-03:00,0.56,PUERTO QUEQUÉN
2024-02-02 11:37:00-03:00,1.47,PUERTO QUEQUÉN
2024-02-02 18:31:00-03:00,0.5,PUERTO QUEQUÉN
2024-02-03 00:13:00-03:00,1.5,PUERTO QUEQUÉN
2024-02-03 06:46:00-03:00,0.54,PUERTO QUEQUÉN
2024-02-03 12:24:00-03:00,1.35,PUERTO QUEQUÉN
2024-02-03 19:07:00-03:00,0.55,PUERTO QUEQUÉN
2024-02-04 00:52:00-03:00,1.51,PUERTO QUEQUÉN
2024-02-04 07:43:00-03:00,0.51,PUERTO QUEQUÉN
2024-02-04 13:23:00-03:00,1.24,PUERTO QUEQUÉN
2024-02-04 19:46:00-03:00,0.63,PUERTO QUEQUÉN
2024-02-05 01:36:00-03:00,1.51,PUERTO QUEQUÉN
2024-02-05 08:47:00-03:00,0.46,PUERTO QUEQUÉN
2024-02-05 14:36:00-03:00,1.17,PUERTO QUEQUÉN
2024-02-05 20:28:00-03:00,0.71,PUERTO QUEQUÉN
2024-02-06 02:26:00-03:00,1.53,PUERTO QUEQUÉN
2024-02-06 09:55:00-03:00,0.38,PUERTO QUEQUÉN
2024-02-06 15:55:00-03:00,1.15,PUERTO QUEQUÉN
2024-02-06 21:17:00-03:00,0.79,PUERTO QUEQUÉN
2024-02-07 03:24:00-03:00,1.56,PUERTO QUEQUÉN
2024-02-07 11:01:00-03:00,0.29,PUERTO QUEQUÉN
2024-02-07 17:09:00-03:00,1.19,PUERTO QUEQUÉN
2024-02-07 22:17:00-03:00,0.84,PUERTO QUEQUÉN
2024-02-08 04:28:00-03:00,1.61,PUERTO QUEQUÉN
2024-02-08 12:03:00-03:00,0.2,PUERTO QUEQUÉN
2024-02-08 18:11:00-03:00,1.26,PUERTO QUEQUÉN
2024-02-08 23:35:00-03:00,0.87,PUERTO QUEQUÉN
2024-02-09 05:35:00-03:00,1.67,PUERTO QUEQUÉN
2024-02-09 13:02:00-03:00,0.14,PUERTO QUEQUÉN
2024-02-09 19:03:00-03:00,1.34,PUERTO QUEQUÉN
2024-02-10 00:57:00-03:00,0.84,PUERTO QUEQUÉN
2024-02-10 06:39:00-03:00,1.75,PUERTO QUEQUÉN
2024-02-10 13:59:00-03:00,0.14,PUERTO QUEQUÉN
2024-02-10 19:49:00-03:00,1.41,PUERTO QUEQUÉN
2024-02-11 02:03:00-03:00,0.78,PUERTO QUEQUÉN
2024-02-11 07:36:00-03:00,1.82,PUERTO QUEQUÉN
2024-02-11 14:55:00-03:00,0.17,PUERTO QUEQUÉN
2024-02-11 20:31:00-03:00,1.46,PUERTO QUEQUÉN
2024-02-12 03:00:00-03:00,0.7,PUERTO QUEQUÉN
2024-02-12 08:29:00-03:00,1.87,PUERTO QUEQUÉN
2024-02-12 15:50:00-03:00,0.24,PUERTO QUEQUÉN
2024-02-12 21:12:00-03:00,1.51,PUERTO QUEQUÉN
2024-02-13 03:53:00-03:00,0.61,PUERTO QUEQUÉN
2024-02-13 09:19:00-03:00,1.88,PUERTO QUEQUÉN
2024-02-13 16:41:00-03:00,0.32,PUERTO QUEQUÉN
2024-02-13 21:51:00-03:00,1.56,PUERTO QUEQUÉN
2024-02-14 04:42:00-03:00,0.53,PUERTO QUEQUÉN
