datetime,height,port
2024-03-01 05:00:00-03:00,0.57,PUERTO QUEQUÉN
2024-03-01 10:33:00-03:00,1.55,PUERTO QUEQUÉN
2024-03-01 17:25:00-03:00,0.57,PUERTO QUEQUÉN
2024-03-01 22:57:00-03:00,1.65,PUERTO QUEQUÉN
2024-03-02 05:40:00-03:00,0.54,PUERTO QUEQUÉN
2024-03-02 11:09:00-03:00,1.45,PUERTO QUEQUÉN
2024-03-02 17:55:00-03:00,0.6,PUERTO QUEQUÉN
2024-03-02 23:30:00-03:00,1.65,PUERTO QUEQUÉN
2024-03-03 06:23:00-03:00,0.52,PUERTO QUEQUÉN
2024-03-03 11:52:00-03:00,1.34,PUERTO QUEQUÉN
2024-03-03 18:26:00-03:00,0.65,PUERTO QUEQUÉN
2024-03-04 00:06:00-03:00,1.64,PUERTO QUEQUÉN
2024-03-04 07:12:00-03:00,0.48,PUERTO QUEQUÉN
2024-03-04 12:46:00-03:00,1.23,PUERTO QUEQUÉN
2024-03-04 18:56:00-03:00,0.71,PUERTO QUEQUÉN
2024-03-05 00:47:00-03:00,1.63,PUERTO QUEQUÉN
2024-03-05 08:10:00-03:00,0.42,PUERTO QUEQUÉN
2024-03-05 13:58:00-03:00,1.15,PUERTO QUEQUÉN
2024-03-05 19:31:00-03:00,0.77,PUERTO QUEQUÉN
2024-03-06 01:37:00-03:00,1.61,PUERTO QUEQUÉN
2024-03-06 09:17:00-03:00,0.34,PUERTO QUEQUÉN
2024-03-06 15:28:00-03:00,1.13,PUERTO QUEQUÉN
2024-03-06 20:18:00-03:00,0.82,PUERTO QUEQUÉN
2024-03-07 02:41:00-03:00,1.6,PUERTO QUEQUÉN
2024-03-07 10:29:00-03:00,0.27,PUERTO QUEQUÉN
2024-03-07 16:48:00-03:00,1.19,PUERTO QUEQUÉN
2024-03-07 21:18:00-03:00,0.85,PUERTO QUEQUÉN
2024-03-08 04:00:00-03:00,1.61,PUERTO QUEQUÉN
2024-03-08 11:40:00-03:00,0.21,PUERTO QUEQUÉN
2024-03-08 17:48:00-03:00,1.28,PUERTO QUEQUÉN
2024-03-08 22:58:00-03:00,0.85,PUERTO QUEQUÉN
2024-03-09 05:20:00-03:00,1.67,PUERTO QUEQUÉN
2024-03-09 12:45:00-03:00,0.2,PUERTO QUEQUÉN
2024-03-09 18:37:00-03:00,1.38,PUERTO QUEQUÉN
2024-03-10 00:47:00-03:00,0.77,PUERTO QUEQUÉN
2024-03-10 06:29:00-03:00,1.77,PUERTO QUEQUÉN
2024-03-10 13:45:00-03:00,0.23,PUERTO QUEQUÉN
2024-03-10 19:22:00-03:00,1.47,PUERTO QUEQUÉN
2024-03-11 01:53:00-03:00,0.67,PUERTO QUEQUÉN
2024-03-11 07:27:00-03:00,1.85,PUERTO QUEQUÉN
2024-03-11 14:40:00-03:00,0.31,PUERTO QUEQUÉN
2024-03-11 20:04:00-03:00,1.57,PUERTO QUEQUÉN
2024-03-12 02:48:00-03:00,0.56,PUERTO QUEQUÉN
2024-03-12 08:19:00-03:00,1.89,PUERTO QUEQUÉN
2024-03-12 15:30:00-03:00,0.41,PUERTO QUEQUÉN
2024-03-12 20:44:00-03:00,1.66,PUERTO QUEQUÉN
2024-03-13 03:38:00-03:00,0.49,PUERTO QUEQUÉN
