datetime,height,port
2024-06-01 00:43:00-03:00,1.61,PUERTO QUEQUÉN
2024-06-01 08:15:00-03:00,0.27,PUERTO QUEQUÉN
2024-06-01 13:53:00-03:00,1.31,PUERTO QUEQUÉN
2024-06-01 19:52:00-03:00,0.59,PUERTO QUEQUÉN
2024-06-02 02:02:00-03:00,1.55,PUERTO QUEQUÉN
2024-06-02 09:16:00-03:00,0.34,PUERTO QUEQUÉN
2024-06-02 14:53:00-03:00,1.39,PUERTO QUEQUÉN
2024-06-02 21:25:00-03:00,0.51,PUERTO QUEQUÉN
2024-06-03 03:25:00-03:00,1.53,PUERTO QUEQUÉN
2024-06-03 10:15:00-03:00,0.44,PUERTO QUEQUÉN
2024-06-03 15:49:00-03:00,1.5,PUERTO QUEQUÉN
2024-06-03 22:46:00-03:00,0.42,PUERTO QUEQUÉN
2024-06-04 04:36:00-03:00,1.54,PUERTO QUEQUÉN
2024-06-04 11:10:00-03:00,0.55,PUERTO QUEQUÉN
2024-06-04 16:42:00-03:00,1.62,PUERTO QUEQUÉN
2024-06-04 23:55:00-03:00,0.33,PUERTO QUEQUÉN
2024-06-05 05:39:00-03:00,1.54,PUERTO QUEQUÉN
2024-06-05 12:01:00-03:00,0.66,PUERTO QUEQUÉN
2024-06-05 17:33:00-03:00,1.74,PUERTO QUEQUÉN
2024-06-06 00:54:00-03:00,0.28,PUERTO QUEQUÉN
2024-06-06 06:37:00-03:00,1.53,PUERTO QUEQUÉN
2024-06-06 12:47:00-03:00,0.77,PUERTO QUEQUÉN
2024-06-06 18:23:00-03:00,1.85,PUERTO QUEQUÉN
2024-06-07 01:48:00-03:00,0.26,PUERTO QUEQUÉN
2024-06-07 07:31:00-03:00,1.5,PUERTO QUEQUÉN
2024-06-07 13:29:00-03:00,0.86,PUERTO QUEQUÉN
2024-06-07 19:12:00-03:00,1.92,PUERTO QUEQUÉN
2024-06-08 02:37:00-03:00,0.28,PUERTO QUEQUÉN
2024-06-08 08:21:00-03:00,1.47,PUERTO QUEQUÉN
2024-06-08 14:06:00-03:00,0.92,PUERTO QUEQUÉN
2024-06-08 19:58:00-03:00,1.96,PUERTO QUEQUÉN
2024-06-09 03:22:00-03:00,0.31,PUERTO QUEQUÉN
2024-06-09 09:07:00-03:00,1.44,PUERTO QUEQUÉN
2024-06-09 14:42:00-03:00,0.94,PUERTO QUEQUÉN
2024-06-09 20:41:00-03:00,1.95,PUERTO QUEQUÉN
2024-06-10 04:06:00-03:00,0.34,PUERTO QUEQUÉN
2024-06-10 09:53:00-03:00,1.41,PUERTO QUEQUÉN
2024-06-10 15:19:00-03:00,0.93,PUERTO QUEQUÉN
2024-06-10 21:23:00-03:00,1.91,PUERTO QUEQUÉN
2024-06-11 04:47:00-03:00,0.36,PUERTO QUEQUÉN
2024-06-11 10:38:00-03:00,1.4,PUERTO QUEQUÉN
2024-06-11 16:01:00-03:00,0.9,PUERTO QUEQUÉN
2024-06-11 22:03:00-03:00,1.84,PUERTO QUEQUÉN
2024-06-12 05:28:00-03:00,0.35,PUERTO QUEQUÉN
2024-06-12 11:25:00-03:00,1.38,PUERTO QUEQUÉN
2024-06-12 16:48:00-03:00,0.86,PUERTO QUEQUÉN
2024-06-12 22:45:00-03:00,1.74,PUERTO QUEQUÉN
2024-06-13 06:10:00-03:00,0.35,PUERTO QUEQUÉN
2024-06-13 12:15:00-03:00,1.37,PUERTO QUEQUÉN
2024-06-13 17:39:00-03:00,0.8,PUERTO QUEQUÉN
2024-06-13 23:30:00-03:00,1.62,PUERTO QUEQUÉN
2024-06-14 06:54:00-03:00,0.35,PUERTO QUEQUÉN
2024-06-14 13:06:00-03:00,1.37,PUERTO QUEQUÉN
2024-06-14 18:37:00-03:00,0.75,PUERTO QUEQUÉN
2024-06-15 00:23:00-03:00,1.49,PUERTO QUEQUÉN
2024-06-15 07:41:00-03:00,0.38,PUERTO QUEQUÉN
2024-06-15 13:57:00-03:00,1.38,PUERTO QUEQUÉN
2024-06-15 19:44:00-03:00,0.69,PUERTO QUEQUÉN
2024-06-16 01:31:00-03:00,1.36,PUERTO QUEQUÉN
2024-06-16 08:30:00-03:00,0.43,PUERTO QUEQUÉN
2024-06-16 14:44:00-03:00,1.4,PUERTO QUEQUÉN
2024-06-16 20:56:00-03:00,0.63,PUERTO QUEQUÉN
2024-06-17 02:47:00-03:00,1.28,PUERTO QUEQUÉN
2024-06-17 09:19:00-03:00,0.51,PUERTO QUEQUÉN
2024-06-17 15:29:00-03:00,1.44,PUERTO QUEQUÉN
2024-06-17 22:07:00-03:00,0.55,PUERTO QUEQUÉN
