datetime,height,port
2024-07-01 01:48:00-03:00,1.48,PUERTO QUEQUÉN
2024-07-01 08:47:00-03:00,0.35,PUERTO QUEQUÉN
2024-07-01 14:17:00-03:00,1.47,PUERTO QUEQUÉN
2024-07-01 21:20:00-03:00,0.41,PUERTO QUEQUÉN
2024-07-02 03:02:00-03:00,1.4,PUERTO QUEQUÉN
2024-07-02 09:33:00-03:00,0.45,PUERTO QUEQUÉN
2024-07-02 15:13:00-03:00,1.58,PUERTO QUEQUÉN
2024-07-02 22:34:00-03:00,0.34,PUERTO QUEQUÉN
2024-07-03 04:12:00-03:00,1.35,PUERTO QUEQUÉN
2024-07-03 10:19:00-03:00,0.56,PUERTO QUEQUÉN
2024-07-03 16:08:00-03:00,1.68,PUERTO QUEQUÉN
2024-07-03 23:44:00-03:00,0.28,PUERTO QUEQUÉN
2024-07-04 05:19:00-03:00,1.31,PUERTO QUEQUÉN
2024-07-04 11:06:00-03:00,0.66,PUERTO QUEQUÉN
2024-07-04 17:05:00-03:00,1.76,PUERTO QUEQUÉN
2024-07-05 00:47:00-03:00,0.23,PUERTO QUEQUÉN
2024-07-05 06:23:00-03:00,1.29,PUERTO QUEQUÉN
2024-07-05 11:53:00-03:00,0.75,PUERTO QUEQUÉN
2024-07-05 18:01:00-03:00,1.82,PUERTO QUEQUÉN
2024-07-06 01:42:00-03:00,0.22,PUERTO QUEQUÉN
2024-07-06 07:22:00-03:00,1.29,PUERTO QUEQUÉN
2024-07-06 12:42:00-03:00,0.82,PUERTO QUEQUÉN
2024-07-06 18:55:00-03:00,1.85,PUERTO QUEQUÉN
2024-07-07 02:33:00-03:00,0.24,PUERTO QUEQUÉN
2024-07-07 08:13:00-03:00,1.3,PUERTO QUEQUÉN
2024-07-07 13:32:00-03:00,0.86,PUERTO QUEQUÉN
2024-07-07 19:44:00-03:00,1.86,PUERTO QUEQUÉN
2024-07-08 03:20:00-03:00,0.27,PUERTO QUEQUÉN
2024-07-08 08:59:00-03:00,1.31,PUERTO QUEQUÉN
2024-07-08 14:18:00-03:00,0.87,PUERTO QUEQUÉN
2024-07-08 20:28:00-03:00,1.83,PUERTO QUEQUÉN
2024-07-09 04:02:00-03:00,0.29,PUERTO QUEQUÉN
2024-07-09 09:40:00-03:00,1.33,PUERTO QUEQUÉN
2024-07-09 15:02:00-03:00,0.85,PUERTO QUEQUÉN
2024-07-09 21:09:00-03:00,1.8,PUERTO QUEQUÉN
2024-07-10 04:39:00-03:00,0.31,PUERTO QUEQUÉN
2024-07-10 10:19:00-03:00,1.34,PUERTO QUEQUÉN
2024-07-10 15:45:00-03:00,0.8,PUERTO QUEQUÉN
2024-07-10 21:47:00-03:00,1.74,PUERTO QUEQUÉN
2024-07-11 05:12:00-03:00,0.31,PUERTO QUEQUÉN
2024-07-11 10:57:00-03:00,1.35,PUERTO QUEQUÉN
2024-07-11 16:28:00-03:00,0.74,PUERTO QUEQUÉN
2024-07-11 22:26:00-03:00,1.67,PUERTO QUEQUÉN
2024-07-12 05:45:00-03:00,0.31,PUERTO QUEQUÉN
2024-07-12 11:36:00-03:00,1.36,PUERTO QUEQUÉN
2024-07-12 17:15:00-03:00,0.68,PUERTO QUEQUÉN
2024-07-12 23:06:00-03:00,1.57,PUERTO QUEQUÉN
2024-07-13 06:20:00-03:00,0.31,PUERTO QUEQUÉN
2024-07-13 12:16:00-03:00,1.37,PUERTO QUEQUÉN
2024-07-13 18:06:00-03:00,0.63,PUERTO QUEQUÉN
2024-07-13 23:51:00-03:00,1.45,PUERTO QUEQUÉN
2024-07-14 06:58:00-03:00,0.34,PUERTO QUEQUÉN
2024-07-14 12:58:00-03:00,1.37,PUERTO QUEQUÉN
2024-07-14 19:05:00-03:00,0.6,PUERTO QUEQUÉN
2024-07-15 00:44:00-03:00,1.31,PUERTO QUEQUÉN
2024-07-15 07:38:00-03:00,0.39,PUERTO QUEQUÉN
2024-07-15 13:43:00-03:00,1.39,PUERTO QUEQUÉN
2024-07-15 20:12:00-03:00,0.56,PUERTO QUEQUÉN
2024-07-16 01:50:00-03:00,1.19,PUERTO QUEQUÉN
2024-07-16 08:21:00-03:00,0.47,PUERTO QUEQUÉN
2024-07-16 14:28:00-03:00,1.42,PUERTO QUEQUÉN
2024-07-16 21:23:00-03:00,0.5,PUERTO QUEQUÉN
2024-07-17 03:03:00-03:00,1.09,PUERTO QUEQUÉN
2024-07-17 09:06:00-03:00,0.56,PUERTO QUEQUÉN
2024-07-17 15:15:00-03:00,1.46,PUERTO QUEQUÉN
2024-07-17 22:32:00-03:00,0.41,PUERTO QUEQUÉN
2024-07-18 04:14:00-03:00,1.05,PUERTO QUEQUÉN
2024-07-18 09:54:00-03:00,0.64,PUERTO QUEQUÉN
2024-07-18 16:03:00-03:00,1.51,PUERTO QUEQUÉN
2024-07-18 23:32:00-03:00,0.3,PUERTO QUEQUÉN
2024-07-19 05:19:00-03:00,1.06,PUERTO QUEQUÉN
2024-07-19 10:46:00-03:00,0.71,PUERTO QUEQUÉN
2024-07-19 16:52:00-03:00,1.58,PUERTO QUEQUÉN
2024-07-20 00:25:00-03:00,0.2,PUERTO QUEQUÉN
2024-07-20 06:17:00-03:00,1.09,PUERTO QUEQUÉN
2024-07-20 11:41:00-03:00,0.75,PUERTO QUEQUÉN
2024-07-20 17:43:00-03:00,1.64,PUERTO QUEQUÉN
2024-07-21 01:12:00-03:00,0.11,PUERTO QUEQUÉN
2024-07-21 07:07:00-03:00,1.15,PUERTO QUEQUÉN
2024-07-21 12:39:00-03:00,0.77,PUERTO QUEQUÉN
2024-07-21 18:35:00-03:00,1.7,PUERTO QUEQUÉN
2024-07-22 01:59:00-03:00,0.06,PUERTO QUEQUÉN
2024-07-22 07:50:00-03:00,1.2,PUERTO QUEQUÉN
2024-07-22 13:36:00-03:00,0.76,PUERTO QUEQUÉN
2024-07-22 19:25:00-03:00,1.76,PUERTO QUEQUÉN
2024-07-23 02:48:00-03:00,0.04,PUERTO QUEQUÉN
2024-07-23 08:32:00-03:00,1.24,PUERTO QUEQUÉN
2024-07-23 14:31:00-03:00,0.73,PUERTO QUEQUÉN
2024-07-23 20:13:00-03:00,1.8,PUERTO QUEQUÉN
2024-07-24 03:39:00-03:00,0.05,PUERTO QUEQUÉN
2024-07-24 09:12:00-03:00,1.27,PUERTO QUEQUÉN
2024-07-24 15:24:00-03:00,0.68,PUERTO QUEQUÉN
2024-07-24 21:01:00-03:00,1.81,PUERTO QUEQUÉN
2024-07-25 04:31:00-03:00,0.08,PUERTO QUEQUÉN
2024-07-25 09:53:00-03:00,1.3,PUERTO QUEQUÉN
2024-07-25 16:15:00-03:00,0.62,PUERTO QUEQUÉN
2024-07-25 21:48:00-03:00,1.79,PUERTO QUEQUÉN
2024-07-26 05:22:00-03:00,0.13,PUERTO QUEQUÉN
2024-07-26 10:34:00-03:00,1.33,PUERTO QUEQUÉN
2024-07-26 17:06:00-03:00,0.55,PUERTO QUEQUÉN
2024-07-26 22:37:00-03:00,1.74,PUERTO QUEQUÉN
2024-07-27 06:09:00-03:00,0.18,PUERTO QUEQUÉN
2024-07-27 11:17:00-03:00,1.37,PUERTO QUEQUÉN
2024-07-27 17:59:00-03:00,0.49,PUERTO QUEQUÉN
2024-07-27 23:28:00-03:00,1.64,PUERTO QUEQUÉN
2024-07-28 06:52:00-03:00,0.25,PUERTO QUEQUÉN
2024-07-28 12:02:00-03:00,1.44,PUERTO QUEQUÉN
2024-07-28 18:57:00-03:00,0.44,PUERTO QUEQUÉN
2024-07-29 00:24:00-03:00,1.51,PUERTO QUEQUÉN
2024-07-29 07:32:00-03:00,0.32,PUERTO QUEQUÉN
2024-07-29 12:51:00-03:00,1.51,PUERTO QUEQUÉN
2024-07-29 20:00:00-03:00,0.4,PUERTO QUEQUÉN
2024-07-30 01:27:00-03:00,1.37,PUERTO QUEQUÉN
2024-07-30 08:10:00-03:00,0.41,PUERTO QUEQUÉN
2024-07-30 13:43:00-03:00,1.59,PUERTO QUEQUÉN
2024-07-30 21:11:00-03:00,0.36,PUERTO QUEQUÉN
2024-07-31 02:38:00-03:00,1.24,PUERTO QUEQUÉN
2024-07-31 08:49:00-03:00,0.49,PUERTO QUEQUÉN
2024-07-31 14:40:00-03:00,1.65,PUERTO QUEQUÉN
2024-07-31 22:28:00-03:00,0.32,PUERTO QUEQUÉN
