datetime,height,port
2024-01-01 05:29:00-03:00,0.82,PUERTO RAWSON
2024-01-01 11:24:00-03:00,4.48,PUERTO RAWSON
2024-01-01 17:23:00-03:00,1.26,PUERTO RAWSON
2024-01-01 23:06:00-03:00,4.43,PUERTO RAWSON
2024-01-02 06:00:00-03:00,0.93,PUERTO RAWSON
2024-01-02 12:00:00-03:00,4.43,PUERTO RAWSON
2024-01-02 18:03:00-03:00,1.3,PUERTO RAWSON
2024-01-02 23:47:00-03:00,4.33,PUERTO RAWSON
2024-01-03 06:30:00-03:00,1.07,PUERTO RAWSON
2024-01-03 12:36:00-03:00,4.35,PUERTO RAWSON
2024-01-03 18:46:00-03:00,1.38,PUERTO RAWSON
2024-01-04 00:30:00-03:00,4.17,PUERTO RAWSON
2024-01-04 07:02:00-03:00,1.23,PUERTO RAWSON
2024-01-04 13:15:00-03:00,4.23,PUERTO RAWSON
2024-01-04 19:34:00-03:00,1.51,PUERTO RAWSON
2024-01-05 01:19:00-03:00,3.98,PUERTO RAWSON
2024-01-05 07:41:00-03:00,1.41,PUERTO RAWSON
2024-01-05 14:01:00-03:00,4.1,PUERTO RAWSON
2024-01-05 20:32:00-03:00,1.62,PUERTO RAWSON
2024-01-06 02:16:00-03:00,3.79,PUERTO RAWSON
2024-01-06 08:32:00-03:00,1.57,PUERTO RAWSON
2024-01-06 14:58:00-03:00,4.02,PUERTO RAWSON
2024-01-06 21:39:00-03:00,1.65,PUERTO RAWSON
2024-01-07 03:25:00-03:00,3.69,PUERTO RAWSON
2024-01-07 09:37:00-03:00,1.66,PUERTO RAWSON
2024-01-07 16:02:00-03:00,4.03,PUERTO RAWSON
2024-01-07 22:47:00-03:00,1.56,PUERTO RAWSON
2024-01-08 04:38:00-03:00,3.74,PUERTO RAWSON
2024-01-08 10:46:00-03:00,1.62,PUERTO RAWSON
2024-01-08 17:00:00-03:00,4.14,PUERTO RAWSON
2024-01-08 23:48:00-03:00,1.38,PUERTO RAWSON
2024-01-09 05:43:00-03:00,3.92,PUERTO RAWSON
2024-01-09 11:48:00-03:00,1.48,PUERTO RAWSON
2024-01-09 17:49:00-03:00,4.3,PUERTO RAWSON
2024-01-10 00:40:00-03:00,1.16,PUERTO RAWSON
2024-01-10 06:39:00-03:00,4.15,PUERTO RAWSON
2024-01-10 12:42:00-03:00,1.31,PUERTO RAWSON
2024-01-10 18:33:00-03:00,4.46,PUERTO RAWSON
2024-01-11 01:29:00-03:00,0.96,PUERTO RAWSON
2024-01-11 07:30:00-03:00,4.39,PUERTO RAWSON
2024-01-11 13:32:00-03:00,1.15,PUERTO RAWSON
2024-01-11 19:17:00-03:00,4.59,PUERTO RAWSON
2024-01-12 02:17:00-03:00,0.77,PUERTO RAWSON
2024-01-12 08:19:00-03:00,4.6,PUERTO RAWSON
2024-01-12 14:22:00-03:00,1.02,PUERTO RAWSON
2024-01-12 20:02:00-03:00,4.69,PUERTO RAWSON
2024-01-13 03:06:00-03:00,0.6,PUERTO RAWSON
2024-01-13 09:08:00-03:00,4.78,PUERTO RAWSON
2024-01-13 15:12:00-03:00,0.92,PUERTO RAWSON
2024-01-13 20:50:00-03:00,4.77,PUERTO RAWSON
2024-01-14 03:55:00-03:00,0.44,PUERTO RAWSON
2024-01-14 09:56:00-03:00,4.93,PUERTO RAWSON
2024-01-14 16:03:00-03:00,0.83,PUERTO RAWSON
2024-01-14 21:41:00-03:00,4.83,PUERTO RAWSON
2024-01-15 04:43:00-03:00,0.3,PUERTO RAWSON
2024-01-15 10:44:00-03:00,5.04,PUERTO RAWSON
2024-01-15 16:53:00-03:00,0.76,PUERTO RAWSON
2024-01-15 22:33:00-03:00,4.88,PUERTO RAWSON
2024-01-16 05:29:00-03:00,0.23,PUERTO RAWSON
2024-01-16 11:30:00-03:00,5.07,PUERTO RAWSON
2024-01-16 17:44:00-03:00,0.73,PUERTO RAWSON
2024-01-16 23:25:00-03:00,4.88,PUERTO RAWSON
2024-01-17 06:14:00-03:00,0.27,PUERTO RAWSON
2024-01-17 12:15:00-03:00,5.01,PUERTO RAWSON
2024-01-17 18:35:00-03:00,0.77,PUERTO RAWSON
2024-01-18 00:17:00-03:00,4.8,PUERTO RAWSON
2024-01-18 07:00:00-03:00,0.44,PUERTO RAWSON
2024-01-18 13:02:00-03:00,4.85,PUERTO RAWSON
2024-01-18 19:28:00-03:00,0.88,PUERTO RAWSON
2024-01-19 01:11:00-03:00,4.62,PUERTO RAWSON
2024-01-19 07:48:00-03:00,0.72,PUERTO RAWSON
2024-01-19 13:53:00-03:00,4.62,PUERTO RAWSON
2024-01-19 20:26:00-03:00,1.03,PUERTO RAWSON
2024-01-20 02:12:00-03:00,4.37,PUERTO RAWSON
2024-01-20 08:44:00-03:00,1.05,PUERTO RAWSON
2024-01-20 14:52:00-03:00,4.39,PUERTO RAWSON
2024-01-20 21:32:00-03:00,1.14,PUERTO RAWSON
2024-01-21 03:23:00-03:00,4.15,PUERTO RAWSON
2024-01-21 09:49:00-03:00,1.34,PUERTO RAWSON
2024-01-21 15:58:00-03:00,4.25,PUERTO RAWSON
2024-01-21 22:43:00-03:00,1.16,PUERTO RAWSON
2024-01-22 04:41:00-03:00,4.06,PUERTO RAWSON
2024-01-22 11:00:00-03:00,1.49,PUERTO RAWSON
2024-01-22 17:03:00-03:00,4.22,PUERTO RAWSON
2024-01-22 23:54:00-03:00,1.06,PUERTO RAWSON
2024-01-23 05:55:00-03:00,4.11,PUERTO RAWSON
2024-01-23 12:06:00-03:00,1.5,PUERTO RAWSON
2024-01-23 18:00:00-03:00,4.28,PUERTO RAWSON
2024-01-24 00:56:00-03:00,0.9,PUERTO RAWSON
