datetime,height,port
2024-10-01 00:54:00-03:00,1.27,PUERTO RAWSON
2024-10-01 06:37:00-03:00,4.29,PUERTO RAWSON
2024-10-01 13:35:00-03:00,0.89,PUERTO RAWSON
2024-10-01 19:26:00-03:00,4.55,PUERTO RAWSON
2024-10-02 01:34:00-03:00,1.02,PUERTO RAWSON
2024-10-02 07:16:00-03:00,4.46,PUERTO RAWSON
2024-10-02 14:10:00-03:00,0.83,PUERTO RAWSON
2024-10-02 19:58:00-03:00,4.68,PUERTO RAWSON
2024-10-03 02:11:00-03:00,0.83,PUERTO RAWSON
2024-10-03 07:52:00-03:00,4.56,PUERTO RAWSON
2024-10-03 14:40:00-03:00,0.82,PUERTO RAWSON
2024-10-03 20:28:00-03:00,4.75,PUERTO RAWSON
2024-10-04 02:46:00-03:00,0.74,PUERTO RAWSON
2024-10-04 08:28:00-03:00,4.6,PUERTO RAWSON
2024-10-04 15:08:00-03:00,0.85,PUERTO RAWSON
2024-10-04 20:56:00-03:00,4.78,PUERTO RAWSON
2024-10-05 03:22:00-03:00,0.71,PUERTO RAWSON
2024-10-05 09:04:00-03:00,4.59,PUERTO RAWSON
2024-10-05 15:36:00-03:00,0.89,PUERTO RAWSON
2024-10-05 21:25:00-03:00,4.76,PUERTO RAWSON
2024-10-06 03:57:00-03:00,0.75,PUERTO RAWSON
2024-10-06 09:41:00-03:00,4.55,PUERTO RAWSON
2024-10-06 16:04:00-03:00,0.94,PUERTO RAWSON
2024-10-06 21:53:00-03:00,4.71,PUERTO RAWSON
2024-10-07 04:32:00-03:00,0.82,PUERTO RAWSON
2024-10-07 10:18:00-03:00,4.48,PUERTO RAWSON
2024-10-07 16:34:00-03:00,1.0,PUERTO RAWSON
2024-10-07 22:21:00-03:00,4.64,PUERTO RAWSON
2024-10-08 05:06:00-03:00,0.93,PUERTO RAWSON
2024-10-08 10:55:00-03:00,4.38,PUERTO RAWSON
2024-10-08 17:05:00-03:00,1.09,PUERTO RAWSON
2024-10-08 22:51:00-03:00,4.54,PUERTO RAWSON
2024-10-09 05:39:00-03:00,1.06,PUERTO RAWSON
2024-10-09 11:34:00-03:00,4.26,PUERTO RAWSON
2024-10-09 17:41:00-03:00,1.23,PUERTO RAWSON
2024-10-09 23:25:00-03:00,4.4,PUERTO RAWSON
2024-10-10 06:15:00-03:00,1.21,PUERTO RAWSON
2024-10-10 12:17:00-03:00,4.1,PUERTO RAWSON
2024-10-10 18:22:00-03:00,1.43,PUERTO RAWSON
2024-10-11 00:06:00-03:00,4.21,PUERTO RAWSON
2024-10-11 06:57:00-03:00,1.36,PUERTO RAWSON
2024-10-11 13:11:00-03:00,3.92,PUERTO RAWSON
2024-10-11 19:16:00-03:00,1.65,PUERTO RAWSON
2024-10-12 01:02:00-03:00,4.0,PUERTO RAWSON
2024-10-12 07:53:00-03:00,1.5,PUERTO RAWSON
2024-10-12 14:24:00-03:00,3.81,PUERTO RAWSON
2024-10-12 20:29:00-03:00,1.81,PUERTO RAWSON
2024-10-13 02:18:00-03:00,3.87,PUERTO RAWSON
2024-10-13 09:09:00-03:00,1.53,PUERTO RAWSON
2024-10-13 15:50:00-03:00,3.91,PUERTO RAWSON
2024-10-13 21:57:00-03:00,1.74,PUERTO RAWSON
2024-10-14 03:41:00-03:00,3.95,PUERTO RAWSON
2024-10-14 10:33:00-03:00,1.37,PUERTO RAWSON
2024-10-14 17:02:00-03:00,4.2,PUERTO RAWSON
2024-10-14 23:12:00-03:00,1.44,PUERTO RAWSON
2024-10-15 04:51:00-03:00,4.22,PUERTO RAWSON
2024-10-15 11:43:00-03:00,1.06,PUERTO RAWSON
2024-10-15 17:57:00-03:00,4.57,PUERTO RAWSON
2024-10-16 00:11:00-03:00,1.04,PUERTO RAWSON
2024-10-16 05:49:00-03:00,4.55,PUERTO RAWSON
2024-10-16 12:37:00-03:00,0.73,PUERTO RAWSON
2024-10-16 18:43:00-03:00,4.89,PUERTO RAWSON
2024-10-17 01:01:00-03:00,0.68,PUERTO RAWSON
2024-10-17 06:41:00-03:00,4.86,PUERTO RAWSON
2024-10-17 13:26:00-03:00,0.47,PUERTO RAWSON
2024-10-17 19:25:00-03:00,5.12,PUERTO RAWSON
2024-10-18 01:49:00-03:00,0.41,PUERTO RAWSON
2024-10-18 07:31:00-03:00,5.06,PUERTO RAWSON
2024-10-18 14:12:00-03:00,0.33,PUERTO RAWSON
2024-10-18 20:07:00-03:00,5.23,PUERTO RAWSON
2024-10-19 02:37:00-03:00,0.25,PUERTO RAWSON
2024-10-19 08:21:00-03:00,5.15,PUERTO RAWSON
2024-10-19 14:58:00-03:00,0.32,PUERTO RAWSON
2024-10-19 20:49:00-03:00,5.22,PUERTO RAWSON
2024-10-20 03:25:00-03:00,0.2,PUERTO RAWSON
2024-10-20 09:13:00-03:00,5.13,PUERTO RAWSON
2024-10-20 15:44:00-03:00,0.41,PUERTO RAWSON
2024-10-20 21:32:00-03:00,5.12,PUERTO RAWSON
2024-10-21 04:15:00-03:00,0.23,PUERTO RAWSON
2024-10-21 10:07:00-03:00,5.03,PUERTO RAWSON
2024-10-21 16:30:00-03:00,0.58,PUERTO RAWSON
2024-10-21 22:16:00-03:00,4.96,PUERTO RAWSON
2024-10-22 05:06:00-03:00,0.34,PUERTO RAWSON
2024-10-22 11:00:00-03:00,4.87,PUERTO RAWSON
2024-10-22 17:16:00-03:00,0.82,PUERTO RAWSON
2024-10-22 23:01:00-03:00,4.75,PUERTO RAWSON
2024-10-23 05:56:00-03:00,0.52,PUERTO RAWSON
2024-10-23 11:54:00-03:00,4.64,PUERTO RAWSON
2024-10-23 18:02:00-03:00,1.12,PUERTO RAWSON
2024-10-23 23:48:00-03:00,4.5,PUERTO RAWSON
2024-10-24 06:47:00-03:00,0.77,PUERTO RAWSON
2024-10-24 12:50:00-03:00,4.36,PUERTO RAWSON
2024-10-24 18:52:00-03:00,1.44,PUERTO RAWSON
2024-10-25 00:39:00-03:00,4.22,PUERTO RAWSON
2024-10-25 07:44:00-03:00,1.06,PUERTO RAWSON
2024-10-25 13:52:00-03:00,4.08,PUERTO RAWSON
2024-10-25 19:51:00-03:00,1.73,PUERTO RAWSON
2024-10-26 01:42:00-03:00,3.96,PUERTO RAWSON
2024-10-26 08:50:00-03:00,1.32,PUERTO RAWSON
2024-10-26 15:05:00-03:00,3.9,PUERTO RAWSON
2024-10-26 21:07:00-03:00,1.9,PUERTO RAWSON
2024-10-27 02:58:00-03:00,3.8,PUERTO RAWSON
2024-10-27 10:09:00-03:00,1.45,PUERTO RAWSON
