datetime,height,port
2024-11-01 01:45:00-03:00,0.78,PUERTO RAWSON
2024-11-01 07:29:00-03:00,4.47,PUERTO RAWSON
2024-11-01 14:02:00-03:00,0.98,PUERTO RAWSON
2024-11-01 19:53:00-03:00,4.74,PUERTO RAWSON
2024-11-02 02:21:00-03:00,0.69,PUERTO RAWSON
2024-11-02 08:07:00-03:00,4.52,PUERTO RAWSON
2024-11-02 14:31:00-03:00,0.97,PUERTO RAWSON
2024-11-02 20:22:00-03:00,4.76,PUERTO RAWSON
2024-11-03 02:57:00-03:00,0.69,PUERTO RAWSON
2024-11-03 08:44:00-03:00,4.52,PUERTO RAWSON
2024-11-03 15:01:00-03:00,0.99,PUERTO RAWSON
2024-11-03 20:50:00-03:00,4.72,PUERTO RAWSON
2024-11-04 03:33:00-03:00,0.74,PUERTO RAWSON
2024-11-04 09:23:00-03:00,4.49,PUERTO RAWSON
2024-11-04 15:34:00-03:00,1.03,PUERTO RAWSON
2024-11-04 21:20:00-03:00,4.66,PUERTO RAWSON
2024-11-05 04:10:00-03:00,0.82,PUERTO RAWSON
2024-11-05 10:02:00-03:00,4.45,PUERTO RAWSON
2024-11-05 16:08:00-03:00,1.08,PUERTO RAWSON
2024-11-05 21:51:00-03:00,4.59,PUERTO RAWSON
2024-11-06 04:45:00-03:00,0.9,PUERTO RAWSON
2024-11-06 10:42:00-03:00,4.4,PUERTO RAWSON
2024-11-06 16:45:00-03:00,1.15,PUERTO RAWSON
2024-11-06 22:25:00-03:00,4.51,PUERTO RAWSON
2024-11-07 05:21:00-03:00,0.98,PUERTO RAWSON
2024-11-07 11:22:00-03:00,4.34,PUERTO RAWSON
2024-11-07 17:25:00-03:00,1.26,PUERTO RAWSON
2024-11-07 23:04:00-03:00,4.4,PUERTO RAWSON
2024-11-08 05:58:00-03:00,1.06,PUERTO RAWSON
2024-11-08 12:06:00-03:00,4.26,PUERTO RAWSON
2024-11-08 18:10:00-03:00,1.4,PUERTO RAWSON
2024-11-08 23:49:00-03:00,4.27,PUERTO RAWSON
2024-11-09 06:41:00-03:00,1.15,PUERTO RAWSON
2024-11-09 12:58:00-03:00,4.17,PUERTO RAWSON
2024-11-09 19:04:00-03:00,1.56,PUERTO RAWSON
2024-11-10 00:46:00-03:00,4.12,PUERTO RAWSON
2024-11-10 07:33:00-03:00,1.24,PUERTO RAWSON
2024-11-10 14:00:00-03:00,4.1,PUERTO RAWSON
2024-11-10 20:12:00-03:00,1.65,PUERTO RAWSON
2024-11-11 01:55:00-03:00,4.02,PUERTO RAWSON
2024-11-11 08:40:00-03:00,1.29,PUERTO RAWSON
2024-11-11 15:13:00-03:00,4.14,PUERTO RAWSON
2024-11-11 21:31:00-03:00,1.59,PUERTO RAWSON
2024-11-12 03:12:00-03:00,4.06,PUERTO RAWSON
2024-11-12 09:56:00-03:00,1.22,PUERTO RAWSON
2024-11-12 16:22:00-03:00,4.33,PUERTO RAWSON
2024-11-12 22:44:00-03:00,1.33,PUERTO RAWSON
2024-11-13 04:23:00-03:00,4.26,PUERTO RAWSON
2024-11-13 11:06:00-03:00,1.02,PUERTO RAWSON
2024-11-13 17:21:00-03:00,4.6,PUERTO RAWSON
2024-11-13 23:45:00-03:00,0.97,PUERTO RAWSON
2024-11-14 05:26:00-03:00,4.53,PUERTO RAWSON
2024-11-14 12:06:00-03:00,0.79,PUERTO RAWSON
2024-11-14 18:10:00-03:00,4.85,PUERTO RAWSON
2024-11-15 00:38:00-03:00,0.64,PUERTO RAWSON
2024-11-15 06:22:00-03:00,4.78,PUERTO RAWSON
2024-11-15 12:58:00-03:00,0.62,PUERTO RAWSON
2024-11-15 18:55:00-03:00,5.03,PUERTO RAWSON
2024-11-16 01:28:00-03:00,0.4,PUERTO RAWSON
2024-11-16 07:15:00-03:00,4.94,PUERTO RAWSON
2024-11-16 13:46:00-03:00,0.55,PUERTO RAWSON
2024-11-16 19:38:00-03:00,5.09,PUERTO RAWSON
2024-11-17 02:18:00-03:00,0.28,PUERTO RAWSON
2024-11-17 08:08:00-03:00,4.99,PUERTO RAWSON
2024-11-17 14:34:00-03:00,0.59,PUERTO RAWSON
2024-11-17 20:21:00-03:00,5.06,PUERTO RAWSON
2024-11-18 03:08:00-03:00,0.25,PUERTO RAWSON
2024-11-18 09:02:00-03:00,4.96,PUERTO RAWSON
2024-11-18 15:21:00-03:00,0.7,PUERTO RAWSON
2024-11-18 21:05:00-03:00,4.95,PUERTO RAWSON
2024-11-19 04:00:00-03:00,0.3,PUERTO RAWSON
2024-11-19 09:56:00-03:00,4.87,PUERTO RAWSON
2024-11-19 16:08:00-03:00,0.86,PUERTO RAWSON
2024-11-19 21:50:00-03:00,4.8,PUERTO RAWSON
2024-11-20 04:52:00-03:00,0.4,PUERTO RAWSON
2024-11-20 10:49:00-03:00,4.74,PUERTO RAWSON
2024-11-20 16:55:00-03:00,1.05,PUERTO RAWSON
2024-11-20 22:37:00-03:00,4.63,PUERTO RAWSON
2024-11-21 05:41:00-03:00,0.55,PUERTO RAWSON
2024-11-21 11:40:00-03:00,4.58,PUERTO RAWSON
2024-11-21 17:42:00-03:00,1.25,PUERTO RAWSON
2024-11-21 23:25:00-03:00,4.45,PUERTO RAWSON
2024-11-22 06:30:00-03:00,0.75,PUERTO RAWSON
2024-11-22 12:31:00-03:00,4.39,PUERTO RAWSON
2024-11-22 18:30:00-03:00,1.45,PUERTO RAWSON
2024-11-23 00:15:00-03:00,4.25,PUERTO RAWSON
2024-11-23 07:18:00-03:00,1.01,PUERTO RAWSON
2024-11-23 13:23:00-03:00,4.18,PUERTO RAWSON
2024-11-23 19:23:00-03:00,1.64,PUERTO RAWSON
2024-11-24 01:10:00-03:00,4.04,PUERTO RAWSON
2024-11-24 08:10:00-03:00,1.27,PUERTO RAWSON
2024-11-24 14:20:00-03:00,4.01,PUERTO RAWSON
2024-11-24 20:27:00-03:00,1.77,PUERTO RAWSON
2024-11-25 02:13:00-03:00,3.86,PUERTO RAWSON
2024-11-25 09:11:00-03:00,1.49,PUERTO RAWSON
2024-11-25 15:25:00-03:00,3.93,PUERTO RAWSON
2024-11-25 21:41:00-03:00,1.76,PUERTO RAWSON
2024-11-26 03:25:00-03:00,3.77,PUERTO RAWSON
2024-11-26 10:18:00-03:00,1.58,PUERTO RAWSON
