datetime,height,port
2024-02-01 05:55:00-03:00,0.92,PUERTO RAWSON
2024-02-01 11:56:00-03:00,4.57,PUERTO RAWSON
2024-02-01 18:16:00-03:00,1.14,PUERTO RAWSON
2024-02-01 23:59:00-03:00,4.35,PUERTO RAWSON
2024-02-02 06:23:00-03:00,1.04,PUERTO RAWSON
2024-02-02 12:27:00-03:00,4.47,PUERTO RAWSON
2024-02-02 18:55:00-03:00,1.28,PUERTO RAWSON
2024-02-03 00:39:00-03:00,4.16,PUERTO RAWSON
2024-02-03 06:56:00-03:00,1.21,PUERTO RAWSON
2024-02-03 13:02:00-03:00,4.31,PUERTO RAWSON
2024-02-03 19:40:00-03:00,1.45,PUERTO RAWSON
2024-02-04 01:27:00-03:00,3.93,PUERTO RAWSON
2024-02-04 07:39:00-03:00,1.42,PUERTO RAWSON
2024-02-04 13:48:00-03:00,4.13,PUERTO RAWSON
2024-02-04 20:35:00-03:00,1.6,PUERTO RAWSON
2024-02-05 02:29:00-03:00,3.73,PUERTO RAWSON
2024-02-05 08:38:00-03:00,1.62,PUERTO RAWSON
2024-02-05 14:49:00-03:00,4.0,PUERTO RAWSON
2024-02-05 21:44:00-03:00,1.66,PUERTO RAWSON
2024-02-06 03:50:00-03:00,3.66,PUERTO RAWSON
2024-02-06 09:53:00-03:00,1.72,PUERTO RAWSON
2024-02-06 16:01:00-03:00,3.99,PUERTO RAWSON
2024-02-06 22:59:00-03:00,1.55,PUERTO RAWSON
2024-02-07 05:12:00-03:00,3.8,PUERTO RAWSON
2024-02-07 11:11:00-03:00,1.64,PUERTO RAWSON
2024-02-07 17:07:00-03:00,4.13,PUERTO RAWSON
2024-02-08 00:08:00-03:00,1.32,PUERTO RAWSON
2024-02-08 06:18:00-03:00,4.1,PUERTO RAWSON
2024-02-08 12:17:00-03:00,1.42,PUERTO RAWSON
2024-02-08 18:04:00-03:00,4.34,PUERTO RAWSON
2024-02-09 01:06:00-03:00,1.02,PUERTO RAWSON
2024-02-09 07:13:00-03:00,4.42,PUERTO RAWSON
