datetime,height,port
2024-04-01 06:01:00-03:00,1.15,PUERTO RAWSON
2024-04-01 11:47:00-03:00,4.46,PUERTO RAWSON
2024-04-01 18:34:00-03:00,1.16,PUERTO RAWSON
2024-04-02 00:35:00-03:00,4.16,PUERTO RAWSON
2024-04-02 06:44:00-03:00,1.36,PUERTO RAWSON
2024-04-02 12:31:00-03:00,4.26,PUERTO RAWSON
2024-04-02 19:19:00-03:00,1.32,PUERTO RAWSON
2024-04-03 01:33:00-03:00,3.97,PUERTO RAWSON
2024-04-03 07:41:00-03:00,1.6,PUERTO RAWSON
2024-04-03 13:30:00-03:00,4.06,PUERTO RAWSON
2024-04-03 20:20:00-03:00,1.44,PUERTO RAWSON
2024-04-04 02:52:00-03:00,3.88,PUERTO RAWSON
2024-04-04 08:58:00-03:00,1.74,PUERTO RAWSON
2024-04-04 14:49:00-03:00,3.96,PUERTO RAWSON
2024-04-04 21:42:00-03:00,1.44,PUERTO RAWSON
2024-04-05 04:18:00-03:00,4.0,PUERTO RAWSON
2024-04-05 10:25:00-03:00,1.64,PUERTO RAWSON
2024-04-05 16:10:00-03:00,4.07,PUERTO RAWSON
2024-04-05 23:07:00-03:00,1.24,PUERTO RAWSON
2024-04-06 05:29:00-03:00,4.31,PUERTO RAWSON
2024-04-06 11:39:00-03:00,1.33,PUERTO RAWSON
2024-04-06 17:18:00-03:00,4.34,PUERTO RAWSON
2024-04-07 00:14:00-03:00,0.93,PUERTO RAWSON
2024-04-07 06:24:00-03:00,4.66,PUERTO RAWSON
2024-04-07 12:37:00-03:00,0.96,PUERTO RAWSON
2024-04-07 18:15:00-03:00,4.65,PUERTO RAWSON
2024-04-08 01:09:00-03:00,0.62,PUERTO RAWSON
2024-04-08 07:11:00-03:00,4.94,PUERTO RAWSON
2024-04-08 13:29:00-03:00,0.64,PUERTO RAWSON
2024-04-08 19:08:00-03:00,4.9,PUERTO RAWSON
2024-04-09 01:59:00-03:00,0.41,PUERTO RAWSON
2024-04-09 07:55:00-03:00,5.12,PUERTO RAWSON
2024-04-09 14:18:00-03:00,0.41,PUERTO RAWSON
2024-04-09 20:00:00-03:00,5.05,PUERTO RAWSON
