datetime,height,port
2024-05-01 00:29:00-03:00,4.29,PUERTO RAWSON
2024-05-01 06:35:00-03:00,1.38,PUERTO RAWSON
2024-05-01 12:17:00-03:00,4.29,PUERTO RAWSON
2024-05-01 19:08:00-03:00,1.12,PUERTO RAWSON
2024-05-02 01:26:00-03:00,4.19,PUERTO RAWSON
2024-05-02 07:34:00-03:00,1.54,PUERTO RAWSON
2024-05-02 13:19:00-03:00,4.14,PUERTO RAWSON
2024-05-02 20:08:00-03:00,1.21,PUERTO RAWSON
2024-05-03 02:36:00-03:00,4.14,PUERTO RAWSON
2024-05-03 08:48:00-03:00,1.6,PUERTO RAWSON
2024-05-03 14:32:00-03:00,4.08,PUERTO RAWSON
2024-05-03 21:21:00-03:00,1.22,PUERTO RAWSON
2024-05-04 03:51:00-03:00,4.23,PUERTO RAWSON
2024-05-04 10:07:00-03:00,1.48,PUERTO RAWSON
2024-05-04 15:48:00-03:00,4.18,PUERTO RAWSON
2024-05-04 22:37:00-03:00,1.1,PUERTO RAWSON
2024-05-05 04:58:00-03:00,4.45,PUERTO RAWSON
2024-05-05 11:17:00-03:00,1.19,PUERTO RAWSON
2024-05-05 16:56:00-03:00,4.4,PUERTO RAWSON
2024-05-05 23:44:00-03:00,0.88,PUERTO RAWSON
2024-05-06 05:53:00-03:00,4.71,PUERTO RAWSON
2024-05-06 12:15:00-03:00,0.85,PUERTO RAWSON
2024-05-06 17:55:00-03:00,4.65,PUERTO RAWSON
2024-05-07 00:40:00-03:00,0.68,PUERTO RAWSON
2024-05-07 06:41:00-03:00,4.92,PUERTO RAWSON
2024-05-07 13:07:00-03:00,0.57,PUERTO RAWSON
2024-05-07 18:50:00-03:00,4.84,PUERTO RAWSON
2024-05-08 01:30:00-03:00,0.57,PUERTO RAWSON
2024-05-08 07:24:00-03:00,5.03,PUERTO RAWSON
2024-05-08 13:57:00-03:00,0.39,PUERTO RAWSON
2024-05-08 19:42:00-03:00,4.93,PUERTO RAWSON
2024-05-09 02:17:00-03:00,0.56,PUERTO RAWSON
2024-05-09 08:07:00-03:00,5.04,PUERTO RAWSON
2024-05-09 14:46:00-03:00,0.32,PUERTO RAWSON
2024-05-09 20:35:00-03:00,4.93,PUERTO RAWSON
2024-05-10 03:04:00-03:00,0.64,PUERTO RAWSON
2024-05-10 08:49:00-03:00,4.96,PUERTO RAWSON
2024-05-10 15:36:00-03:00,0.33,PUERTO RAWSON
2024-05-10 21:28:00-03:00,4.86,PUERTO RAWSON
2024-05-11 03:49:00-03:00,0.79,PUERTO RAWSON
2024-05-11 09:32:00-03:00,4.83,PUERTO RAWSON
2024-05-11 16:27:00-03:00,0.4,PUERTO RAWSON
2024-05-11 22:21:00-03:00,4.76,PUERTO RAWSON
2024-05-12 04:34:00-03:00,0.96,PUERTO RAWSON
2024-05-12 10:16:00-03:00,4.69,PUERTO RAWSON
2024-05-12 17:16:00-03:00,0.51,PUERTO RAWSON
2024-05-12 23:12:00-03:00,4.62,PUERTO RAWSON
2024-05-13 05:17:00-03:00,1.15,PUERTO RAWSON
2024-05-13 11:00:00-03:00,4.53,PUERTO RAWSON
2024-05-13 18:03:00-03:00,0.68,PUERTO RAWSON
2024-05-14 00:01:00-03:00,4.45,PUERTO RAWSON
2024-05-14 06:01:00-03:00,1.35,PUERTO RAWSON
2024-05-14 11:45:00-03:00,4.36,PUERTO RAWSON
2024-05-14 18:49:00-03:00,0.9,PUERTO RAWSON
2024-05-15 00:51:00-03:00,4.26,PUERTO RAWSON
2024-05-15 06:47:00-03:00,1.55,PUERTO RAWSON
2024-05-15 12:34:00-03:00,4.16,PUERTO RAWSON
2024-05-15 19:36:00-03:00,1.15,PUERTO RAWSON
2024-05-16 01:43:00-03:00,4.06,PUERTO RAWSON
2024-05-16 07:40:00-03:00,1.72,PUERTO RAWSON
2024-05-16 13:30:00-03:00,3.97,PUERTO RAWSON
2024-05-16 20:29:00-03:00,1.39,PUERTO RAWSON
2024-05-17 02:43:00-03:00,3.93,PUERTO RAWSON
2024-05-17 08:47:00-03:00,1.82,PUERTO RAWSON
2024-05-17 14:36:00-03:00,3.82,PUERTO RAWSON
2024-05-17 21:33:00-03:00,1.55,PUERTO RAWSON
2024-05-18 03:49:00-03:00,3.91,PUERTO RAWSON
2024-05-18 10:02:00-03:00,1.76,PUERTO RAWSON
2024-05-18 15:46:00-03:00,3.79,PUERTO RAWSON
2024-05-18 22:40:00-03:00,1.58,PUERTO RAWSON
2024-05-19 04:51:00-03:00,4.03,PUERTO RAWSON
2024-05-19 11:09:00-03:00,1.55,PUERTO RAWSON
2024-05-19 16:51:00-03:00,3.89,PUERTO RAWSON
2024-05-19 23:37:00-03:00,1.49,PUERTO RAWSON
2024-05-20 05:41:00-03:00,4.23,PUERTO RAWSON
