datetime,height,port
2024-06-01 02:16:00-03:00,4.43,PUERTO RAWSON
2024-06-01 08:35:00-03:00,1.37,PUERTO RAWSON
2024-06-01 14:17:00-03:00,4.27,PUERTO RAWSON
2024-06-01 21:00:00-03:00,1.0,PUERTO RAWSON
2024-06-02 03:20:00-03:00,4.44,PUERTO RAWSON
2024-06-02 09:45:00-03:00,1.28,PUERTO RAWSON
2024-06-02 15:27:00-03:00,4.29,PUERTO RAWSON
2024-06-02 22:08:00-03:00,1.01,PUERTO RAWSON
2024-06-03 04:24:00-03:00,4.53,PUERTO RAWSON
2024-06-03 10:52:00-03:00,1.07,PUERTO RAWSON
2024-06-03 16:35:00-03:00,4.4,PUERTO RAWSON
2024-06-03 23:13:00-03:00,0.95,PUERTO RAWSON
2024-06-04 05:21:00-03:00,4.66,PUERTO RAWSON
2024-06-04 11:52:00-03:00,0.83,PUERTO RAWSON
2024-06-04 17:37:00-03:00,4.54,PUERTO RAWSON
2024-06-05 00:12:00-03:00,0.87,PUERTO RAWSON
2024-06-05 06:11:00-03:00,4.78,PUERTO RAWSON
2024-06-05 12:47:00-03:00,0.62,PUERTO RAWSON
2024-06-05 18:35:00-03:00,4.66,PUERTO RAWSON
2024-06-06 01:04:00-03:00,0.84,PUERTO RAWSON
2024-06-06 06:56:00-03:00,4.84,PUERTO RAWSON
2024-06-06 13:39:00-03:00,0.49,PUERTO RAWSON
2024-06-06 19:31:00-03:00,4.71,PUERTO RAWSON
2024-06-07 01:53:00-03:00,0.88,PUERTO RAWSON
2024-06-07 07:39:00-03:00,4.82,PUERTO RAWSON
2024-06-07 14:30:00-03:00,0.45,PUERTO RAWSON
2024-06-07 20:24:00-03:00,4.7,PUERTO RAWSON
2024-06-08 02:39:00-03:00,0.98,PUERTO RAWSON
2024-06-08 08:22:00-03:00,4.74,PUERTO RAWSON
2024-06-08 15:22:00-03:00,0.48,PUERTO RAWSON
2024-06-08 21:17:00-03:00,4.64,PUERTO RAWSON
2024-06-09 03:26:00-03:00,1.1,PUERTO RAWSON
2024-06-09 09:05:00-03:00,4.64,PUERTO RAWSON
2024-06-09 16:13:00-03:00,0.54,PUERTO RAWSON
2024-06-09 22:08:00-03:00,4.58,PUERTO RAWSON
2024-06-10 04:11:00-03:00,1.21,PUERTO RAWSON
2024-06-10 09:50:00-03:00,4.54,PUERTO RAWSON
2024-06-10 17:01:00-03:00,0.62,PUERTO RAWSON
2024-06-10 22:56:00-03:00,4.51,PUERTO RAWSON
2024-06-11 04:55:00-03:00,1.29,PUERTO RAWSON
2024-06-11 10:36:00-03:00,4.45,PUERTO RAWSON
2024-06-11 17:45:00-03:00,0.74,PUERTO RAWSON
2024-06-11 23:41:00-03:00,4.43,PUERTO RAWSON
2024-06-12 05:39:00-03:00,1.37,PUERTO RAWSON
2024-06-12 11:21:00-03:00,4.36,PUERTO RAWSON
2024-06-12 18:25:00-03:00,0.89,PUERTO RAWSON
2024-06-13 00:23:00-03:00,4.34,PUERTO RAWSON
2024-06-13 06:23:00-03:00,1.45,PUERTO RAWSON
2024-06-13 12:07:00-03:00,4.24,PUERTO RAWSON
2024-06-13 19:03:00-03:00,1.08,PUERTO RAWSON
2024-06-14 01:06:00-03:00,4.23,PUERTO RAWSON
2024-06-14 07:10:00-03:00,1.53,PUERTO RAWSON
2024-06-14 12:56:00-03:00,4.09,PUERTO RAWSON
2024-06-14 19:42:00-03:00,1.29,PUERTO RAWSON
2024-06-15 01:53:00-03:00,4.11,PUERTO RAWSON
2024-06-15 08:05:00-03:00,1.61,PUERTO RAWSON
2024-06-15 13:51:00-03:00,3.93,PUERTO RAWSON
2024-06-15 20:27:00-03:00,1.48,PUERTO RAWSON
2024-06-16 02:47:00-03:00,4.03,PUERTO RAWSON
2024-06-16 09:08:00-03:00,1.64,PUERTO RAWSON
2024-06-16 14:54:00-03:00,3.81,PUERTO RAWSON
2024-06-16 21:22:00-03:00,1.6,PUERTO RAWSON
2024-06-17 03:46:00-03:00,4.04,PUERTO RAWSON
2024-06-17 10:16:00-03:00,1.57,PUERTO RAWSON
2024-06-17 16:00:00-03:00,3.78,PUERTO RAWSON
2024-06-17 22:24:00-03:00,1.62,PUERTO RAWSON
2024-06-18 04:44:00-03:00,4.13,PUERTO RAWSON
2024-06-18 11:17:00-03:00,1.41,PUERTO RAWSON
2024-06-18 17:03:00-03:00,3.86,PUERTO RAWSON
2024-06-18 23:21:00-03:00,1.55,PUERTO RAWSON
2024-06-19 05:33:00-03:00,4.27,PUERTO RAWSON
2024-06-19 12:09:00-03:00,1.22,PUERTO RAWSON
2024-06-19 17:59:00-03:00,4.0,PUERTO RAWSON
2024-06-20 00:10:00-03:00,1.42,PUERTO RAWSON
2024-06-20 06:14:00-03:00,4.4,PUERTO RAWSON
2024-06-20 12:55:00-03:00,1.07,PUERTO RAWSON
2024-06-20 18:48:00-03:00,4.16,PUERTO RAWSON
2024-06-21 00:54:00-03:00,1.3,PUERTO RAWSON
2024-06-21 06:50:00-03:00,4.5,PUERTO RAWSON
2024-06-21 13:39:00-03:00,0.96,PUERTO RAWSON
2024-06-21 19:34:00-03:00,4.28,PUERTO RAWSON
2024-06-22 01:37:00-03:00,1.21,PUERTO RAWSON
2024-06-22 07:26:00-03:00,4.54,PUERTO RAWSON
2024-06-22 14:21:00-03:00,0.89,PUERTO RAWSON
2024-06-22 20:19:00-03:00,4.39,PUERTO RAWSON
2024-06-23 02:21:00-03:00,1.16,PUERTO RAWSON
2024-06-23 08:04:00-03:00,4.56,PUERTO RAWSON
2024-06-23 15:06:00-03:00,0.84,PUERTO RAWSON
2024-06-23 21:05:00-03:00,4.49,PUERTO RAWSON
2024-06-24 03:06:00-03:00,1.13,PUERTO RAWSON
2024-06-24 08:45:00-03:00,4.56,PUERTO RAWSON
2024-06-24 15:51:00-03:00,0.76,PUERTO RAWSON
2024-06-24 21:52:00-03:00,4.59,PUERTO RAWSON
2024-06-25 03:54:00-03:00,1.1,PUERTO RAWSON
2024-06-25 09:30:00-03:00,4.57,PUERTO RAWSON
2024-06-25 16:36:00-03:00,0.67,PUERTO RAWSON
2024-06-25 22:38:00-03:00,4.69,PUERTO RAWSON
2024-06-26 04:43:00-03:00,1.06,PUERTO RAWSON
2024-06-26 10:19:00-03:00,4.6,PUERTO RAWSON
2024-06-26 17:21:00-03:00,0.58,PUERTO RAWSON
2024-06-26 23:24:00-03:00,4.77,PUERTO RAWSON
2024-06-27 05:32:00-03:00,1.03,PUERTO RAWSON
2024-06-27 11:10:00-03:00,4.62,PUERTO RAWSON
2024-06-27 18:05:00-03:00,0.54,PUERTO RAWSON
2024-06-28 00:10:00-03:00,4.79,PUERTO RAWSON
2024-06-28 06:23:00-03:00,1.03,PUERTO RAWSON
2024-06-28 12:02:00-03:00,4.61,PUERTO RAWSON
2024-06-28 18:51:00-03:00,0.57,PUERTO RAWSON
2024-06-29 00:58:00-03:00,4.75,PUERTO RAWSON
2024-06-29 07:17:00-03:00,1.06,PUERTO RAWSON
2024-06-29 12:58:00-03:00,4.54,PUERTO RAWSON
2024-06-29 19:40:00-03:00,0.69,PUERTO RAWSON
2024-06-30 01:50:00-03:00,4.65,PUERTO RAWSON
2024-06-30 08:16:00-03:00,1.11,PUERTO RAWSON
2024-06-30 13:58:00-03:00,4.43,PUERTO RAWSON
2024-06-30 20:35:00-03:00,0.87,PUERTO RAWSON
