datetime,height,port
2024-08-01 04:23:00-03:00,4.25,PUERTO RAWSON
2024-08-01 11:15:00-03:00,1.07,PUERTO RAWSON
2024-08-01 17:19:00-03:00,4.13,PUERTO RAWSON
2024-08-01 23:30:00-03:00,1.48,PUERTO RAWSON
2024-08-02 05:26:00-03:00,4.28,PUERTO RAWSON
2024-08-02 12:24:00-03:00,0.94,PUERTO RAWSON
2024-08-02 18:27:00-03:00,4.24,PUERTO RAWSON
2024-08-03 00:31:00-03:00,1.43,PUERTO RAWSON
2024-08-03 06:20:00-03:00,4.35,PUERTO RAWSON
2024-08-03 13:23:00-03:00,0.79,PUERTO RAWSON
2024-08-03 19:22:00-03:00,4.37,PUERTO RAWSON
2024-08-04 01:23:00-03:00,1.35,PUERTO RAWSON
2024-08-04 07:06:00-03:00,4.43,PUERTO RAWSON
2024-08-04 14:15:00-03:00,0.69,PUERTO RAWSON
2024-08-04 20:09:00-03:00,4.47,PUERTO RAWSON
2024-08-05 02:09:00-03:00,1.27,PUERTO RAWSON
2024-08-05 07:48:00-03:00,4.49,PUERTO RAWSON
2024-08-05 15:01:00-03:00,0.66,PUERTO RAWSON
2024-08-05 20:51:00-03:00,4.53,PUERTO RAWSON
2024-08-06 02:52:00-03:00,1.2,PUERTO RAWSON
2024-08-06 08:29:00-03:00,4.52,PUERTO RAWSON
2024-08-06 15:42:00-03:00,0.68,PUERTO RAWSON
2024-08-06 21:30:00-03:00,4.57,PUERTO RAWSON
2024-08-07 03:32:00-03:00,1.14,PUERTO RAWSON
2024-08-07 09:10:00-03:00,4.53,PUERTO RAWSON
2024-08-07 16:18:00-03:00,0.73,PUERTO RAWSON
2024-08-07 22:06:00-03:00,4.59,PUERTO RAWSON
2024-08-08 04:12:00-03:00,1.08,PUERTO RAWSON
2024-08-08 09:51:00-03:00,4.53,PUERTO RAWSON
2024-08-08 16:50:00-03:00,0.79,PUERTO RAWSON
2024-08-08 22:39:00-03:00,4.61,PUERTO RAWSON
2024-08-09 04:50:00-03:00,1.04,PUERTO RAWSON
2024-08-09 10:30:00-03:00,4.51,PUERTO RAWSON
2024-08-09 17:18:00-03:00,0.87,PUERTO RAWSON
2024-08-09 23:11:00-03:00,4.6,PUERTO RAWSON
2024-08-10 05:27:00-03:00,1.04,PUERTO RAWSON
2024-08-10 11:09:00-03:00,4.45,PUERTO RAWSON
2024-08-10 17:44:00-03:00,0.95,PUERTO RAWSON
2024-08-10 23:41:00-03:00,4.56,PUERTO RAWSON
2024-08-11 06:04:00-03:00,1.1,PUERTO RAWSON
2024-08-11 11:47:00-03:00,4.34,PUERTO RAWSON
2024-08-11 18:12:00-03:00,1.07,PUERTO RAWSON
2024-08-12 00:12:00-03:00,4.46,PUERTO RAWSON
2024-08-12 06:43:00-03:00,1.23,PUERTO RAWSON
2024-08-12 12:27:00-03:00,4.16,PUERTO RAWSON
2024-08-12 18:44:00-03:00,1.23,PUERTO RAWSON
2024-08-13 00:46:00-03:00,4.31,PUERTO RAWSON
2024-08-13 07:25:00-03:00,1.41,PUERTO RAWSON
2024-08-13 13:14:00-03:00,3.93,PUERTO RAWSON
2024-08-13 19:24:00-03:00,1.44,PUERTO RAWSON
2024-08-14 01:29:00-03:00,4.13,PUERTO RAWSON
2024-08-14 08:17:00-03:00,1.58,PUERTO RAWSON
2024-08-14 14:13:00-03:00,3.71,PUERTO RAWSON
2024-08-14 20:18:00-03:00,1.65,PUERTO RAWSON
2024-08-15 02:27:00-03:00,3.96,PUERTO RAWSON
2024-08-15 09:22:00-03:00,1.68,PUERTO RAWSON
2024-08-15 15:32:00-03:00,3.61,PUERTO RAWSON
2024-08-15 21:30:00-03:00,1.78,PUERTO RAWSON
2024-08-16 03:40:00-03:00,3.92,PUERTO RAWSON
2024-08-16 10:38:00-03:00,1.62,PUERTO RAWSON
2024-08-16 16:55:00-03:00,3.73,PUERTO RAWSON
2024-08-16 22:48:00-03:00,1.72,PUERTO RAWSON
2024-08-17 04:49:00-03:00,4.03,PUERTO RAWSON
2024-08-17 11:48:00-03:00,1.42,PUERTO RAWSON
2024-08-17 18:01:00-03:00,4.01,PUERTO RAWSON
2024-08-17 23:56:00-03:00,1.51,PUERTO RAWSON
2024-08-18 05:45:00-03:00,4.23,PUERTO RAWSON
2024-08-18 12:45:00-03:00,1.14,PUERTO RAWSON
2024-08-18 18:54:00-03:00,4.34,PUERTO RAWSON
2024-08-19 00:52:00-03:00,1.25,PUERTO RAWSON
2024-08-19 06:34:00-03:00,4.47,PUERTO RAWSON
2024-08-19 13:35:00-03:00,0.86,PUERTO RAWSON
2024-08-19 19:40:00-03:00,4.64,PUERTO RAWSON
2024-08-20 01:42:00-03:00,1.01,PUERTO RAWSON
2024-08-20 07:21:00-03:00,4.68,PUERTO RAWSON
2024-08-20 14:22:00-03:00,0.61,PUERTO RAWSON
2024-08-20 20:24:00-03:00,4.88,PUERTO RAWSON
2024-08-21 02:31:00-03:00,0.8,PUERTO RAWSON
2024-08-21 08:09:00-03:00,4.85,PUERTO RAWSON
2024-08-21 15:08:00-03:00,0.41,PUERTO RAWSON
2024-08-21 21:07:00-03:00,5.05,PUERTO RAWSON
2024-08-22 03:20:00-03:00,0.65,PUERTO RAWSON
2024-08-22 08:58:00-03:00,4.97,PUERTO RAWSON
2024-08-22 15:54:00-03:00,0.26,PUERTO RAWSON
2024-08-22 21:51:00-03:00,5.15,PUERTO RAWSON
2024-08-23 04:09:00-03:00,0.53,PUERTO RAWSON
2024-08-23 09:49:00-03:00,5.04,PUERTO RAWSON
2024-08-23 16:39:00-03:00,0.19,PUERTO RAWSON
2024-08-23 22:34:00-03:00,5.18,PUERTO RAWSON
2024-08-24 04:58:00-03:00,0.47,PUERTO RAWSON
2024-08-24 10:40:00-03:00,5.06,PUERTO RAWSON
2024-08-24 17:23:00-03:00,0.23,PUERTO RAWSON
2024-08-24 23:18:00-03:00,5.11,PUERTO RAWSON
2024-08-25 05:46:00-03:00,0.49,PUERTO RAWSON
2024-08-25 11:31:00-03:00,4.98,PUERTO RAWSON
2024-08-25 18:06:00-03:00,0.4,PUERTO RAWSON
2024-08-26 00:01:00-03:00,4.95,PUERTO RAWSON
2024-08-26 06:36:00-03:00,0.6,PUERTO RAWSON
2024-08-26 12:23:00-03:00,4.78,PUERTO RAWSON
2024-08-26 18:52:00-03:00,0.69,PUERTO RAWSON
2024-08-27 00:47:00-03:00,4.71,PUERTO RAWSON
2024-08-27 07:28:00-03:00,0.8,PUERTO RAWSON
2024-08-27 13:20:00-03:00,4.49,PUERTO RAWSON
2024-08-27 19:41:00-03:00,1.07,PUERTO RAWSON
2024-08-28 01:39:00-03:00,4.41,PUERTO RAWSON
2024-08-28 08:28:00-03:00,1.04,PUERTO RAWSON
2024-08-28 14:28:00-03:00,4.17,PUERTO RAWSON
2024-08-28 20:41:00-03:00,1.45,PUERTO RAWSON
2024-08-29 02:43:00-03:00,4.14,PUERTO RAWSON
2024-08-29 09:41:00-03:00,1.22,PUERTO RAWSON
2024-08-29 15:50:00-03:00,3.97,PUERTO RAWSON
2024-08-29 21:57:00-03:00,1.7,PUERTO RAWSON
2024-08-30 03:59:00-03:00,4.01,PUERTO RAWSON
2024-08-30 11:03:00-03:00,1.23,PUERTO RAWSON
2024-08-30 17:14:00-03:00,3.99,PUERTO RAWSON
2024-08-30 23:17:00-03:00,1.72,PUERTO RAWSON
2024-08-31 05:12:00-03:00,4.05,PUERTO RAWSON
2024-08-31 12:17:00-03:00,1.08,PUERTO RAWSON
2024-08-31 18:21:00-03:00,4.16,PUERTO RAWSON
