datetime,height,port
2024-09-01 00:23:00-03:00,1.56,PUERTO RAWSON
2024-09-01 06:09:00-03:00,4.2,PUERTO RAWSON
2024-09-01 13:15:00-03:00,0.89,PUERTO RAWSON
2024-09-01 19:11:00-03:00,4.35,PUERTO RAWSON
2024-09-02 01:13:00-03:00,1.35,PUERTO RAWSON
2024-09-02 06:55:00-03:00,4.35,PUERTO RAWSON
2024-09-02 14:01:00-03:00,0.76,PUERTO RAWSON
2024-09-02 19:52:00-03:00,4.51,PUERTO RAWSON
2024-09-03 01:55:00-03:00,1.16,PUERTO RAWSON
2024-09-03 07:35:00-03:00,4.48,PUERTO RAWSON
2024-09-03 14:40:00-03:00,0.71,PUERTO RAWSON
2024-09-03 20:28:00-03:00,4.61,PUERTO RAWSON
2024-09-04 02:33:00-03:00,1.02,PUERTO RAWSON
2024-09-04 08:12:00-03:00,4.56,PUERTO RAWSON
2024-09-04 15:14:00-03:00,0.72,PUERTO RAWSON
2024-09-04 21:01:00-03:00,4.67,PUERTO RAWSON
2024-09-05 03:10:00-03:00,0.92,PUERTO RAWSON
2024-09-05 08:50:00-03:00,4.59,PUERTO RAWSON
2024-09-05 15:45:00-03:00,0.77,PUERTO RAWSON
2024-09-05 21:32:00-03:00,4.7,PUERTO RAWSON
2024-09-06 03:47:00-03:00,0.86,PUERTO RAWSON
2024-09-06 09:27:00-03:00,4.59,PUERTO RAWSON
2024-09-06 16:13:00-03:00,0.83,PUERTO RAWSON
2024-09-06 22:02:00-03:00,4.71,PUERTO RAWSON
2024-09-07 04:23:00-03:00,0.85,PUERTO RAWSON
2024-09-07 10:04:00-03:00,4.56,PUERTO RAWSON
2024-09-07 16:40:00-03:00,0.88,PUERTO RAWSON
2024-09-07 22:31:00-03:00,4.69,PUERTO RAWSON
2024-09-08 04:59:00-03:00,0.89,PUERTO RAWSON
2024-09-08 10:41:00-03:00,4.5,PUERTO RAWSON
2024-09-08 17:06:00-03:00,0.95,PUERTO RAWSON
2024-09-08 22:59:00-03:00,4.64,PUERTO RAWSON
2024-09-09 05:33:00-03:00,0.98,PUERTO RAWSON
2024-09-09 11:18:00-03:00,4.39,PUERTO RAWSON
2024-09-09 17:35:00-03:00,1.04,PUERTO RAWSON
2024-09-09 23:27:00-03:00,4.54,PUERTO RAWSON
2024-09-10 06:07:00-03:00,1.12,PUERTO RAWSON
2024-09-10 11:55:00-03:00,4.22,PUERTO RAWSON
2024-09-10 18:07:00-03:00,1.2,PUERTO RAWSON
2024-09-10 23:59:00-03:00,4.39,PUERTO RAWSON
2024-09-11 06:44:00-03:00,1.31,PUERTO RAWSON
2024-09-11 12:38:00-03:00,4.0,PUERTO RAWSON
2024-09-11 18:46:00-03:00,1.41,PUERTO RAWSON
2024-09-12 00:39:00-03:00,4.18,PUERTO RAWSON
2024-09-12 07:29:00-03:00,1.5,PUERTO RAWSON
2024-09-12 13:33:00-03:00,3.78,PUERTO RAWSON
2024-09-12 19:39:00-03:00,1.66,PUERTO RAWSON
2024-09-13 01:34:00-03:00,3.96,PUERTO RAWSON
2024-09-13 08:28:00-03:00,1.65,PUERTO RAWSON
2024-09-13 14:53:00-03:00,3.64,PUERTO RAWSON
2024-09-13 20:53:00-03:00,1.84,PUERTO RAWSON
2024-09-14 02:51:00-03:00,3.84,PUERTO RAWSON
2024-09-14 09:49:00-03:00,1.66,PUERTO RAWSON
2024-09-14 16:24:00-03:00,3.75,PUERTO RAWSON
2024-09-14 22:20:00-03:00,1.79,PUERTO RAWSON
2024-09-15 04:13:00-03:00,3.93,PUERTO RAWSON
2024-09-15 11:12:00-03:00,1.45,PUERTO RAWSON
2024-09-15 17:35:00-03:00,4.08,PUERTO RAWSON
2024-09-15 23:35:00-03:00,1.51,PUERTO RAWSON
2024-09-16 05:18:00-03:00,4.19,PUERTO RAWSON
2024-09-16 12:16:00-03:00,1.12,PUERTO RAWSON
2024-09-16 18:28:00-03:00,4.46,PUERTO RAWSON
2024-09-17 00:33:00-03:00,1.15,PUERTO RAWSON
2024-09-17 06:12:00-03:00,4.51,PUERTO RAWSON
2024-09-17 13:08:00-03:00,0.77,PUERTO RAWSON
2024-09-17 19:13:00-03:00,4.8,PUERTO RAWSON
