datetime,height,port
2024-01-01 03:59:00-03:00,1.24,PUERTO ROSALES
2024-01-01 09:48:00-03:00,3.99,PUERTO ROSALES
2024-01-01 16:25:00-03:00,0.52,PUERTO ROSALES
2024-01-01 22:20:00-03:00,4.11,PUERTO ROSALES
2024-01-02 04:44:00-03:00,1.1,PUERTO ROSALES
2024-01-02 10:29:00-03:00,3.98,PUERTO ROSALES
2024-01-02 17:07:00-03:00,0.54,PUERTO ROSALES
2024-01-02 22:58:00-03:00,4.14,PUERTO ROSALES
2024-01-03 05:28:00-03:00,0.98,PUERTO ROSALES
2024-01-03 11:14:00-03:00,3.97,PUERTO ROSALES
2024-01-03 17:49:00-03:00,0.6,PUERTO ROSALES
2024-01-03 23:39:00-03:00,4.15,PUERTO ROSALES
2024-01-04 06:14:00-03:00,0.89,PUERTO ROSALES
2024-01-04 12:03:00-03:00,3.95,PUERTO ROSALES
2024-01-04 18:31:00-03:00,0.71,PUERTO ROSALES
2024-01-05 00:25:00-03:00,4.13,PUERTO ROSALES
2024-01-05 07:01:00-03:00,0.85,PUERTO ROSALES
2024-01-05 12:57:00-03:00,3.91,PUERTO ROSALES
2024-01-05 19:16:00-03:00,0.87,PUERTO ROSALES
2024-01-06 01:13:00-03:00,4.09,PUERTO ROSALES
2024-01-06 07:52:00-03:00,0.84,PUERTO ROSALES
2024-01-06 13:54:00-03:00,3.87,PUERTO ROSALES
2024-01-06 20:03:00-03:00,1.07,PUERTO ROSALES
2024-01-07 02:04:00-03:00,4.04,PUERTO ROSALES
2024-01-07 08:46:00-03:00,0.86,PUERTO ROSALES
2024-01-07 14:53:00-03:00,3.84,PUERTO ROSALES
2024-01-07 20:53:00-03:00,1.3,PUERTO ROSALES
2024-01-08 02:55:00-03:00,3.99,PUERTO ROSALES
2024-01-08 09:42:00-03:00,0.88,PUERTO ROSALES
2024-01-08 15:52:00-03:00,3.81,PUERTO ROSALES
2024-01-08 21:46:00-03:00,1.52,PUERTO ROSALES
2024-01-09 03:45:00-03:00,3.95,PUERTO ROSALES
2024-01-09 10:38:00-03:00,0.87,PUERTO ROSALES
2024-01-09 16:51:00-03:00,3.8,PUERTO ROSALES
2024-01-09 22:40:00-03:00,1.69,PUERTO ROSALES
2024-01-10 04:33:00-03:00,3.94,PUERTO ROSALES
2024-01-10 11:32:00-03:00,0.85,PUERTO ROSALES
2024-01-10 17:48:00-03:00,3.81,PUERTO ROSALES
2024-01-10 23:33:00-03:00,1.8,PUERTO ROSALES
2024-01-11 05:19:00-03:00,3.95,PUERTO ROSALES
2024-01-11 12:23:00-03:00,0.82,PUERTO ROSALES
2024-01-11 18:38:00-03:00,3.81,PUERTO ROSALES
2024-01-12 00:23:00-03:00,1.85,PUERTO ROSALES
2024-01-12 06:01:00-03:00,3.97,PUERTO ROSALES
2024-01-12 13:10:00-03:00,0.79,PUERTO ROSALES
