datetime,height,port
2024-10-01 05:12:00-03:00,3.66,PUERTO ROSALES
2024-10-01 11:20:00-03:00,1.19,PUERTO ROSALES
2024-10-01 17:46:00-03:00,3.86,PUERTO ROSALES
2024-10-01 23:55:00-03:00,0.76,PUERTO ROSALES
2024-10-02 06:15:00-03:00,3.71,PUERTO ROSALES
2024-10-02 12:20:00-03:00,1.08,PUERTO ROSALES
2024-10-02 18:46:00-03:00,3.87,PUERTO ROSALES
2024-10-03 00:46:00-03:00,0.78,PUERTO ROSALES
2024-10-03 07:12:00-03:00,3.74,PUERTO ROSALES
2024-10-03 13:11:00-03:00,0.98,PUERTO ROSALES
2024-10-03 19:38:00-03:00,3.86,PUERTO ROSALES
2024-10-04 01:32:00-03:00,0.82,PUERTO ROSALES
2024-10-04 08:00:00-03:00,3.73,PUERTO ROSALES
2024-10-04 13:56:00-03:00,0.9,PUERTO ROSALES
2024-10-04 20:21:00-03:00,3.82,PUERTO ROSALES
2024-10-05 02:13:00-03:00,0.87,PUERTO ROSALES
2024-10-05 08:39:00-03:00,3.69,PUERTO ROSALES
2024-10-05 14:38:00-03:00,0.81,PUERTO ROSALES
2024-10-05 20:58:00-03:00,3.76,PUERTO ROSALES
2024-10-06 02:51:00-03:00,0.92,PUERTO ROSALES
2024-10-06 09:09:00-03:00,3.65,PUERTO ROSALES
2024-10-06 15:17:00-03:00,0.73,PUERTO ROSALES
2024-10-06 21:30:00-03:00,3.7,PUERTO ROSALES
2024-10-07 03:27:00-03:00,0.96,PUERTO ROSALES
2024-10-07 09:30:00-03:00,3.64,PUERTO ROSALES
2024-10-07 15:56:00-03:00,0.63,PUERTO ROSALES
2024-10-07 22:00:00-03:00,3.67,PUERTO ROSALES
2024-10-08 04:01:00-03:00,0.97,PUERTO ROSALES
2024-10-08 09:49:00-03:00,3.67,PUERTO ROSALES
2024-10-08 16:34:00-03:00,0.53,PUERTO ROSALES
2024-10-08 22:32:00-03:00,3.66,PUERTO ROSALES
2024-10-09 04:32:00-03:00,0.98,PUERTO ROSALES
2024-10-09 10:16:00-03:00,3.74,PUERTO ROSALES
2024-10-09 17:11:00-03:00,0.46,PUERTO ROSALES
2024-10-09 23:09:00-03:00,3.64,PUERTO ROSALES
2024-10-10 05:01:00-03:00,0.99,PUERTO ROSALES
2024-10-10 10:52:00-03:00,3.79,PUERTO ROSALES
2024-10-10 17:50:00-03:00,0.44,PUERTO ROSALES
2024-10-10 23:52:00-03:00,3.63,PUERTO ROSALES
2024-10-11 05:34:00-03:00,1.02,PUERTO ROSALES
2024-10-11 11:37:00-03:00,3.82,PUERTO ROSALES
2024-10-11 18:33:00-03:00,0.5,PUERTO ROSALES
2024-10-12 00:39:00-03:00,3.6,PUERTO ROSALES
2024-10-12 06:16:00-03:00,1.1,PUERTO ROSALES
2024-10-12 12:32:00-03:00,3.82,PUERTO ROSALES
2024-10-12 19:21:00-03:00,0.62,PUERTO ROSALES
2024-10-13 01:31:00-03:00,3.57,PUERTO ROSALES
2024-10-13 07:05:00-03:00,1.21,PUERTO ROSALES
2024-10-13 13:33:00-03:00,3.81,PUERTO ROSALES
2024-10-13 20:18:00-03:00,0.77,PUERTO ROSALES
2024-10-14 02:24:00-03:00,3.56,PUERTO ROSALES
2024-10-14 08:07:00-03:00,1.32,PUERTO ROSALES
2024-10-14 14:37:00-03:00,3.82,PUERTO ROSALES
2024-10-14 21:21:00-03:00,0.91,PUERTO ROSALES
2024-10-15 03:18:00-03:00,3.57,PUERTO ROSALES
2024-10-15 09:25:00-03:00,1.34,PUERTO ROSALES
2024-10-15 15:39:00-03:00,3.85,PUERTO ROSALES
2024-10-15 22:22:00-03:00,0.98,PUERTO ROSALES
2024-10-16 04:09:00-03:00,3.62,PUERTO ROSALES
2024-10-16 10:37:00-03:00,1.24,PUERTO ROSALES
2024-10-16 16:38:00-03:00,3.9,PUERTO ROSALES
2024-10-16 23:18:00-03:00,1.01,PUERTO ROSALES
2024-10-17 04:55:00-03:00,3.7,PUERTO ROSALES
2024-10-17 11:37:00-03:00,1.06,PUERTO ROSALES
2024-10-17 17:32:00-03:00,3.94,PUERTO ROSALES
2024-10-18 00:07:00-03:00,1.01,PUERTO ROSALES
2024-10-18 05:38:00-03:00,3.79,PUERTO ROSALES
2024-10-18 12:31:00-03:00,0.85,PUERTO ROSALES
2024-10-18 18:21:00-03:00,3.97,PUERTO ROSALES
2024-10-19 00:53:00-03:00,0.99,PUERTO ROSALES
2024-10-19 06:19:00-03:00,3.9,PUERTO ROSALES
2024-10-19 13:21:00-03:00,0.65,PUERTO ROSALES
2024-10-19 19:07:00-03:00,3.98,PUERTO ROSALES
2024-10-20 01:38:00-03:00,0.96,PUERTO ROSALES
2024-10-20 07:01:00-03:00,4.01,PUERTO ROSALES
2024-10-20 14:10:00-03:00,0.47,PUERTO ROSALES
