datetime,height,port
2024-11-01 00:15:00-03:00,0.88,PUERTO ROSALES
2024-11-01 06:38:00-03:00,3.84,PUERTO ROSALES
2024-11-01 12:44:00-03:00,0.73,PUERTO ROSALES
2024-11-01 19:11:00-03:00,3.9,PUERTO ROSALES
2024-11-02 01:00:00-03:00,0.95,PUERTO ROSALES
2024-11-02 07:26:00-03:00,3.81,PUERTO ROSALES
2024-11-02 13:29:00-03:00,0.67,PUERTO ROSALES
2024-11-02 19:56:00-03:00,3.87,PUERTO ROSALES
2024-11-03 01:42:00-03:00,1.05,PUERTO ROSALES
2024-11-03 08:06:00-03:00,3.76,PUERTO ROSALES
2024-11-03 14:10:00-03:00,0.63,PUERTO ROSALES
2024-11-03 20:34:00-03:00,3.81,PUERTO ROSALES
2024-11-04 02:20:00-03:00,1.14,PUERTO ROSALES
2024-11-04 08:36:00-03:00,3.7,PUERTO ROSALES
2024-11-04 14:49:00-03:00,0.6,PUERTO ROSALES
2024-11-04 21:08:00-03:00,3.74,PUERTO ROSALES
2024-11-05 02:56:00-03:00,1.21,PUERTO ROSALES
2024-11-05 08:53:00-03:00,3.67,PUERTO ROSALES
2024-11-05 15:27:00-03:00,0.55,PUERTO ROSALES
2024-11-05 21:38:00-03:00,3.7,PUERTO ROSALES
2024-11-06 03:29:00-03:00,1.24,PUERTO ROSALES
2024-11-06 09:07:00-03:00,3.7,PUERTO ROSALES
2024-11-06 16:05:00-03:00,0.49,PUERTO ROSALES
2024-11-06 22:07:00-03:00,3.68,PUERTO ROSALES
2024-11-07 04:00:00-03:00,1.22,PUERTO ROSALES
2024-11-07 09:32:00-03:00,3.77,PUERTO ROSALES
2024-11-07 16:42:00-03:00,0.46,PUERTO ROSALES
2024-11-07 22:39:00-03:00,3.68,PUERTO ROSALES
2024-11-08 04:30:00-03:00,1.17,PUERTO ROSALES
2024-11-08 10:09:00-03:00,3.83,PUERTO ROSALES
2024-11-08 17:21:00-03:00,0.46,PUERTO ROSALES
2024-11-08 23:17:00-03:00,3.68,PUERTO ROSALES
2024-11-09 05:08:00-03:00,1.13,PUERTO ROSALES
2024-11-09 10:57:00-03:00,3.85,PUERTO ROSALES
2024-11-09 18:02:00-03:00,0.52,PUERTO ROSALES
2024-11-10 00:00:00-03:00,3.68,PUERTO ROSALES
2024-11-10 05:54:00-03:00,1.12,PUERTO ROSALES
2024-11-10 11:55:00-03:00,3.84,PUERTO ROSALES
2024-11-10 18:49:00-03:00,0.65,PUERTO ROSALES
2024-11-11 00:49:00-03:00,3.67,PUERTO ROSALES
2024-11-11 06:48:00-03:00,1.14,PUERTO ROSALES
2024-11-11 13:00:00-03:00,3.81,PUERTO ROSALES
2024-11-11 19:43:00-03:00,0.82,PUERTO ROSALES
2024-11-12 01:41:00-03:00,3.68,PUERTO ROSALES
2024-11-12 07:53:00-03:00,1.16,PUERTO ROSALES
2024-11-12 14:08:00-03:00,3.79,PUERTO ROSALES
2024-11-12 20:42:00-03:00,0.99,PUERTO ROSALES
2024-11-13 02:34:00-03:00,3.7,PUERTO ROSALES
2024-11-13 09:05:00-03:00,1.12,PUERTO ROSALES
2024-11-13 15:13:00-03:00,3.8,PUERTO ROSALES
2024-11-13 21:42:00-03:00,1.12,PUERTO ROSALES
2024-11-14 03:27:00-03:00,3.76,PUERTO ROSALES
2024-11-14 10:12:00-03:00,1.01,PUERTO ROSALES
2024-11-14 16:16:00-03:00,3.83,PUERTO ROSALES
2024-11-14 22:39:00-03:00,1.19,PUERTO ROSALES
2024-11-15 04:16:00-03:00,3.83,PUERTO ROSALES
2024-11-15 11:13:00-03:00,0.85,PUERTO ROSALES
2024-11-15 17:14:00-03:00,3.86,PUERTO ROSALES
2024-11-15 23:32:00-03:00,1.22,PUERTO ROSALES
2024-11-16 05:04:00-03:00,3.92,PUERTO ROSALES
2024-11-16 12:08:00-03:00,0.69,PUERTO ROSALES
2024-11-16 18:09:00-03:00,3.88,PUERTO ROSALES
2024-11-17 00:21:00-03:00,1.23,PUERTO ROSALES
2024-11-17 05:50:00-03:00,4.01,PUERTO ROSALES
2024-11-17 13:00:00-03:00,0.55,PUERTO ROSALES
2024-11-17 18:58:00-03:00,3.88,PUERTO ROSALES
2024-11-18 01:08:00-03:00,1.23,PUERTO ROSALES
2024-11-18 06:37:00-03:00,4.08,PUERTO ROSALES
2024-11-18 13:50:00-03:00,0.44,PUERTO ROSALES
2024-11-18 19:44:00-03:00,3.88,PUERTO ROSALES
2024-11-19 01:56:00-03:00,1.2,PUERTO ROSALES
2024-11-19 07:25:00-03:00,4.13,PUERTO ROSALES
2024-11-19 14:40:00-03:00,0.36,PUERTO ROSALES
2024-11-19 20:29:00-03:00,3.89,PUERTO ROSALES
2024-11-20 02:45:00-03:00,1.16,PUERTO ROSALES
2024-11-20 08:15:00-03:00,4.14,PUERTO ROSALES
2024-11-20 15:29:00-03:00,0.32,PUERTO ROSALES
2024-11-20 21:15:00-03:00,3.9,PUERTO ROSALES
2024-11-21 03:35:00-03:00,1.1,PUERTO ROSALES
2024-11-21 09:08:00-03:00,4.12,PUERTO ROSALES
2024-11-21 16:19:00-03:00,0.31,PUERTO ROSALES
2024-11-21 22:03:00-03:00,3.92,PUERTO ROSALES
2024-11-22 04:27:00-03:00,1.05,PUERTO ROSALES
2024-11-22 10:04:00-03:00,4.05,PUERTO ROSALES
2024-11-22 17:09:00-03:00,0.35,PUERTO ROSALES
2024-11-22 22:53:00-03:00,3.92,PUERTO ROSALES
2024-11-23 05:22:00-03:00,1.01,PUERTO ROSALES
2024-11-23 11:04:00-03:00,3.95,PUERTO ROSALES
2024-11-23 18:00:00-03:00,0.44,PUERTO ROSALES
2024-11-23 23:48:00-03:00,3.9,PUERTO ROSALES
2024-11-24 06:19:00-03:00,0.99,PUERTO ROSALES
2024-11-24 12:11:00-03:00,3.85,PUERTO ROSALES
2024-11-24 18:55:00-03:00,0.57,PUERTO ROSALES
2024-11-25 00:49:00-03:00,3.88,PUERTO ROSALES
2024-11-25 07:20:00-03:00,0.98,PUERTO ROSALES
2024-11-25 13:25:00-03:00,3.77,PUERTO ROSALES
2024-11-25 19:52:00-03:00,0.71,PUERTO ROSALES
2024-11-26 01:55:00-03:00,3.86,PUERTO ROSALES
2024-11-26 08:24:00-03:00,0.96,PUERTO ROSALES
2024-11-26 14:38:00-03:00,3.76,PUERTO ROSALES
2024-11-26 20:51:00-03:00,0.84,PUERTO ROSALES
2024-11-27 03:01:00-03:00,3.87,PUERTO ROSALES
2024-11-27 09:27:00-03:00,0.89,PUERTO ROSALES
2024-11-27 15:46:00-03:00,3.79,PUERTO ROSALES
