datetime,height,port
2024-03-01 04:39:00-03:00,0.72,PUERTO ROSALES
2024-03-01 10:30:00-03:00,3.97,PUERTO ROSALES
2024-03-01 16:44:00-03:00,0.85,PUERTO ROSALES
2024-03-01 22:27:00-03:00,4.17,PUERTO ROSALES
2024-03-02 05:15:00-03:00,0.57,PUERTO ROSALES
2024-03-02 11:06:00-03:00,3.97,PUERTO ROSALES
2024-03-02 17:13:00-03:00,0.88,PUERTO ROSALES
2024-03-02 22:57:00-03:00,4.21,PUERTO ROSALES
2024-03-03 05:51:00-03:00,0.49,PUERTO ROSALES
2024-03-03 11:46:00-03:00,3.95,PUERTO ROSALES
2024-03-03 17:41:00-03:00,0.97,PUERTO ROSALES
2024-03-03 23:30:00-03:00,4.23,PUERTO ROSALES
2024-03-04 06:28:00-03:00,0.48,PUERTO ROSALES
2024-03-04 12:32:00-03:00,3.89,PUERTO ROSALES
2024-03-04 18:13:00-03:00,1.11,PUERTO ROSALES
2024-03-05 00:09:00-03:00,4.2,PUERTO ROSALES
2024-03-05 07:10:00-03:00,0.57,PUERTO ROSALES
2024-03-05 13:23:00-03:00,3.8,PUERTO ROSALES
2024-03-05 18:53:00-03:00,1.33,PUERTO ROSALES
2024-03-06 00:56:00-03:00,4.12,PUERTO ROSALES
2024-03-06 08:00:00-03:00,0.74,PUERTO ROSALES
2024-03-06 14:18:00-03:00,3.7,PUERTO ROSALES
2024-03-06 19:39:00-03:00,1.59,PUERTO ROSALES
2024-03-07 01:51:00-03:00,4.01,PUERTO ROSALES
2024-03-07 09:02:00-03:00,0.94,PUERTO ROSALES
2024-03-07 15:18:00-03:00,3.64,PUERTO ROSALES
2024-03-07 20:35:00-03:00,1.84,PUERTO ROSALES
2024-03-08 02:55:00-03:00,3.91,PUERTO ROSALES
2024-03-08 10:14:00-03:00,1.09,PUERTO ROSALES
2024-03-08 16:19:00-03:00,3.63,PUERTO ROSALES
2024-03-08 21:59:00-03:00,1.99,PUERTO ROSALES
2024-03-09 04:04:00-03:00,3.85,PUERTO ROSALES
