datetime,height,port
2024-01-01 00:13:00-03:00,7.05,PUERTO RÍO GRANDE (Exterior)
2024-01-01 06:03:00-03:00,2.81,PUERTO RÍO GRANDE (Exterior)
2024-01-01 12:02:00-03:00,6.84,PUERTO RÍO GRANDE (Exterior)
2024-01-01 18:18:00-03:00,2.09,PUERTO RÍO GRANDE (Exterior)
2024-01-02 00:49:00-03:00,6.88,PUERTO RÍO GRANDE (Exterior)
2024-01-02 06:38:00-03:00,2.97,PUERTO RÍO GRANDE (Exterior)
2024-01-02 12:42:00-03:00,6.65,PUERTO RÍO GRANDE (Exterior)
2024-01-02 18:52:00-03:00,2.39,PUERTO RÍO GRANDE (Exterior)
2024-01-03 01:26:00-03:00,6.71,PUERTO RÍO GRANDE (Exterior)
2024-01-03 07:14:00-03:00,3.09,PUERTO RÍO GRANDE (Exterior)
2024-01-03 13:25:00-03:00,6.48,PUERTO RÍO GRANDE (Exterior)
2024-01-03 19:29:00-03:00,2.66,PUERTO RÍO GRANDE (Exterior)
2024-01-04 02:06:00-03:00,6.58,PUERTO RÍO GRANDE (Exterior)
2024-01-04 07:55:00-03:00,3.17,PUERTO RÍO GRANDE (Exterior)
2024-01-04 14:14:00-03:00,6.35,PUERTO RÍO GRANDE (Exterior)
2024-01-04 20:12:00-03:00,2.92,PUERTO RÍO GRANDE (Exterior)
2024-01-05 02:50:00-03:00,6.49,PUERTO RÍO GRANDE (Exterior)
2024-01-05 08:43:00-03:00,3.2,PUERTO RÍO GRANDE (Exterior)
2024-01-05 15:10:00-03:00,6.29,PUERTO RÍO GRANDE (Exterior)
2024-01-05 21:04:00-03:00,3.13,PUERTO RÍO GRANDE (Exterior)
2024-01-06 03:38:00-03:00,6.46,PUERTO RÍO GRANDE (Exterior)
2024-01-06 09:42:00-03:00,3.14,PUERTO RÍO GRANDE (Exterior)
2024-01-06 16:09:00-03:00,6.32,PUERTO RÍO GRANDE (Exterior)
2024-01-06 22:08:00-03:00,3.26,PUERTO RÍO GRANDE (Exterior)
2024-01-07 04:30:00-03:00,6.51,PUERTO RÍO GRANDE (Exterior)
2024-01-07 10:49:00-03:00,2.94,PUERTO RÍO GRANDE (Exterior)
2024-01-07 17:11:00-03:00,6.46,PUERTO RÍO GRANDE (Exterior)
2024-01-07 23:19:00-03:00,3.22,PUERTO RÍO GRANDE (Exterior)
2024-01-08 05:24:00-03:00,6.66,PUERTO RÍO GRANDE (Exterior)
2024-01-08 11:55:00-03:00,2.57,PUERTO RÍO GRANDE (Exterior)
2024-01-08 18:12:00-03:00,6.71,PUERTO RÍO GRANDE (Exterior)
2024-01-09 00:24:00-03:00,3.02,PUERTO RÍO GRANDE (Exterior)
2024-01-09 06:17:00-03:00,6.89,PUERTO RÍO GRANDE (Exterior)
2024-01-09 12:54:00-03:00,2.08,PUERTO RÍO GRANDE (Exterior)
2024-01-09 19:10:00-03:00,7.04,PUERTO RÍO GRANDE (Exterior)
2024-01-10 01:21:00-03:00,2.69,PUERTO RÍO GRANDE (Exterior)
2024-01-10 07:09:00-03:00,7.19,PUERTO RÍO GRANDE (Exterior)
2024-01-10 13:46:00-03:00,1.54,PUERTO RÍO GRANDE (Exterior)
2024-01-10 20:04:00-03:00,7.39,PUERTO RÍO GRANDE (Exterior)
2024-01-11 02:12:00-03:00,2.31,PUERTO RÍO GRANDE (Exterior)
2024-01-11 08:00:00-03:00,7.51,PUERTO RÍO GRANDE (Exterior)
2024-01-11 14:35:00-03:00,1.03,PUERTO RÍO GRANDE (Exterior)
2024-01-11 20:54:00-03:00,7.73,PUERTO RÍO GRANDE (Exterior)
