datetime,height,port
2024-10-01 01:47:00-03:00,1.88,PUERTO RÍO GRANDE (Exterior)
2024-10-01 08:00:00-03:00,7.34,PUERTO RÍO GRANDE (Exterior)
2024-10-01 14:10:00-03:00,2.22,PUERTO RÍO GRANDE (Exterior)
2024-10-01 20:06:00-03:00,7.2,PUERTO RÍO GRANDE (Exterior)
2024-10-02 02:24:00-03:00,1.81,PUERTO RÍO GRANDE (Exterior)
2024-10-02 08:30:00-03:00,7.43,PUERTO RÍO GRANDE (Exterior)
2024-10-02 14:43:00-03:00,2.02,PUERTO RÍO GRANDE (Exterior)
2024-10-02 20:39:00-03:00,7.32,PUERTO RÍO GRANDE (Exterior)
2024-10-03 02:56:00-03:00,1.82,PUERTO RÍO GRANDE (Exterior)
2024-10-03 08:57:00-03:00,7.46,PUERTO RÍO GRANDE (Exterior)
2024-10-03 15:13:00-03:00,1.89,PUERTO RÍO GRANDE (Exterior)
2024-10-03 21:10:00-03:00,7.38,PUERTO RÍO GRANDE (Exterior)
2024-10-04 03:25:00-03:00,1.89,PUERTO RÍO GRANDE (Exterior)
2024-10-04 09:22:00-03:00,7.46,PUERTO RÍO GRANDE (Exterior)
2024-10-04 15:40:00-03:00,1.8,PUERTO RÍO GRANDE (Exterior)
2024-10-04 21:39:00-03:00,7.39,PUERTO RÍO GRANDE (Exterior)
2024-10-05 03:53:00-03:00,1.99,PUERTO RÍO GRANDE (Exterior)
2024-10-05 09:46:00-03:00,7.43,PUERTO RÍO GRANDE (Exterior)
2024-10-05 16:08:00-03:00,1.74,PUERTO RÍO GRANDE (Exterior)
2024-10-05 22:08:00-03:00,7.36,PUERTO RÍO GRANDE (Exterior)
2024-10-06 04:22:00-03:00,2.13,PUERTO RÍO GRANDE (Exterior)
2024-10-06 10:11:00-03:00,7.36,PUERTO RÍO GRANDE (Exterior)
2024-10-06 16:38:00-03:00,1.71,PUERTO RÍO GRANDE (Exterior)
2024-10-06 22:39:00-03:00,7.27,PUERTO RÍO GRANDE (Exterior)
2024-10-07 04:54:00-03:00,2.3,PUERTO RÍO GRANDE (Exterior)
2024-10-07 10:38:00-03:00,7.26,PUERTO RÍO GRANDE (Exterior)
2024-10-07 17:12:00-03:00,1.74,PUERTO RÍO GRANDE (Exterior)
2024-10-07 23:15:00-03:00,7.12,PUERTO RÍO GRANDE (Exterior)
2024-10-08 05:30:00-03:00,2.53,PUERTO RÍO GRANDE (Exterior)
2024-10-08 11:11:00-03:00,7.1,PUERTO RÍO GRANDE (Exterior)
2024-10-08 17:51:00-03:00,1.84,PUERTO RÍO GRANDE (Exterior)
2024-10-09 00:00:00-03:00,6.92,PUERTO RÍO GRANDE (Exterior)
2024-10-09 06:12:00-03:00,2.81,PUERTO RÍO GRANDE (Exterior)
2024-10-09 11:52:00-03:00,6.88,PUERTO RÍO GRANDE (Exterior)
2024-10-09 18:37:00-03:00,2.01,PUERTO RÍO GRANDE (Exterior)
2024-10-10 00:59:00-03:00,6.71,PUERTO RÍO GRANDE (Exterior)
2024-10-10 07:03:00-03:00,3.1,PUERTO RÍO GRANDE (Exterior)
2024-10-10 12:48:00-03:00,6.64,PUERTO RÍO GRANDE (Exterior)
2024-10-10 19:33:00-03:00,2.21,PUERTO RÍO GRANDE (Exterior)
2024-10-11 02:15:00-03:00,6.57,PUERTO RÍO GRANDE (Exterior)
2024-10-11 08:06:00-03:00,3.33,PUERTO RÍO GRANDE (Exterior)
2024-10-11 14:07:00-03:00,6.47,PUERTO RÍO GRANDE (Exterior)
2024-10-11 20:40:00-03:00,2.34,PUERTO RÍO GRANDE (Exterior)
2024-10-12 03:36:00-03:00,6.64,PUERTO RÍO GRANDE (Exterior)
2024-10-12 09:23:00-03:00,3.35,PUERTO RÍO GRANDE (Exterior)
2024-10-12 15:35:00-03:00,6.53,PUERTO RÍO GRANDE (Exterior)
2024-10-12 21:58:00-03:00,2.27,PUERTO RÍO GRANDE (Exterior)
2024-10-13 04:46:00-03:00,6.91,PUERTO RÍO GRANDE (Exterior)
2024-10-13 10:42:00-03:00,3.06,PUERTO RÍO GRANDE (Exterior)
2024-10-13 16:50:00-03:00,6.84,PUERTO RÍO GRANDE (Exterior)
2024-10-13 23:12:00-03:00,1.97,PUERTO RÍO GRANDE (Exterior)
2024-10-14 05:45:00-03:00,7.29,PUERTO RÍO GRANDE (Exterior)
2024-10-14 11:50:00-03:00,2.51,PUERTO RÍO GRANDE (Exterior)
2024-10-14 17:53:00-03:00,7.29,PUERTO RÍO GRANDE (Exterior)
2024-10-15 00:15:00-03:00,1.54,PUERTO RÍO GRANDE (Exterior)
2024-10-15 06:36:00-03:00,7.69,PUERTO RÍO GRANDE (Exterior)
2024-10-15 12:46:00-03:00,1.87,PUERTO RÍO GRANDE (Exterior)
2024-10-15 18:48:00-03:00,7.76,PUERTO RÍO GRANDE (Exterior)
2024-10-16 01:09:00-03:00,1.13,PUERTO RÍO GRANDE (Exterior)
2024-10-16 07:21:00-03:00,8.04,PUERTO RÍO GRANDE (Exterior)
2024-10-16 13:35:00-03:00,1.26,PUERTO RÍO GRANDE (Exterior)
2024-10-16 19:38:00-03:00,8.17,PUERTO RÍO GRANDE (Exterior)
2024-10-17 01:58:00-03:00,0.83,PUERTO RÍO GRANDE (Exterior)
2024-10-17 08:03:00-03:00,8.29,PUERTO RÍO GRANDE (Exterior)
2024-10-17 14:21:00-03:00,0.76,PUERTO RÍO GRANDE (Exterior)
2024-10-17 20:25:00-03:00,8.44,PUERTO RÍO GRANDE (Exterior)
2024-10-18 02:44:00-03:00,0.7,PUERTO RÍO GRANDE (Exterior)
2024-10-18 08:44:00-03:00,8.42,PUERTO RÍO GRANDE (Exterior)
2024-10-18 15:06:00-03:00,0.44,PUERTO RÍO GRANDE (Exterior)
2024-10-18 21:11:00-03:00,8.54,PUERTO RÍO GRANDE (Exterior)
2024-10-19 03:29:00-03:00,0.76,PUERTO RÍO GRANDE (Exterior)
2024-10-19 09:24:00-03:00,8.41,PUERTO RÍO GRANDE (Exterior)
2024-10-19 15:50:00-03:00,0.32,PUERTO RÍO GRANDE (Exterior)
2024-10-19 21:57:00-03:00,8.46,PUERTO RÍO GRANDE (Exterior)
2024-10-20 04:13:00-03:00,1.01,PUERTO RÍO GRANDE (Exterior)
2024-10-20 10:04:00-03:00,8.26,PUERTO RÍO GRANDE (Exterior)
2024-10-20 16:34:00-03:00,0.41,PUERTO RÍO GRANDE (Exterior)
2024-10-20 22:44:00-03:00,8.21,PUERTO RÍO GRANDE (Exterior)
2024-10-21 04:58:00-03:00,1.42,PUERTO RÍO GRANDE (Exterior)
2024-10-21 10:47:00-03:00,7.97,PUERTO RÍO GRANDE (Exterior)
2024-10-21 17:20:00-03:00,0.7,PUERTO RÍO GRANDE (Exterior)
2024-10-21 23:36:00-03:00,7.84,PUERTO RÍO GRANDE (Exterior)
2024-10-22 05:45:00-03:00,1.93,PUERTO RÍO GRANDE (Exterior)
2024-10-22 11:34:00-03:00,7.58,PUERTO RÍO GRANDE (Exterior)
2024-10-22 18:09:00-03:00,1.13,PUERTO RÍO GRANDE (Exterior)
2024-10-23 00:33:00-03:00,7.42,PUERTO RÍO GRANDE (Exterior)
2024-10-23 06:36:00-03:00,2.48,PUERTO RÍO GRANDE (Exterior)
2024-10-23 12:28:00-03:00,7.14,PUERTO RÍO GRANDE (Exterior)
2024-10-23 19:02:00-03:00,1.63,PUERTO RÍO GRANDE (Exterior)
2024-10-24 01:39:00-03:00,7.04,PUERTO RÍO GRANDE (Exterior)
2024-10-24 07:33:00-03:00,2.98,PUERTO RÍO GRANDE (Exterior)
2024-10-24 13:33:00-03:00,6.74,PUERTO RÍO GRANDE (Exterior)
2024-10-24 20:02:00-03:00,2.12,PUERTO RÍO GRANDE (Exterior)
2024-10-25 02:50:00-03:00,6.78,PUERTO RÍO GRANDE (Exterior)
2024-10-25 08:42:00-03:00,3.34,PUERTO RÍO GRANDE (Exterior)
2024-10-25 14:48:00-03:00,6.46,PUERTO RÍO GRANDE (Exterior)
2024-10-25 21:13:00-03:00,2.48,PUERTO RÍO GRANDE (Exterior)
2024-10-26 03:59:00-03:00,6.69,PUERTO RÍO GRANDE (Exterior)
2024-10-26 10:02:00-03:00,3.44,PUERTO RÍO GRANDE (Exterior)
2024-10-26 16:01:00-03:00,6.37,PUERTO RÍO GRANDE (Exterior)
2024-10-26 22:29:00-03:00,2.62,PUERTO RÍO GRANDE (Exterior)
2024-10-27 05:01:00-03:00,6.73,PUERTO RÍO GRANDE (Exterior)
