datetime,height,port
2024-11-01 02:20:00-03:00,2.33,PUERTO RÍO GRANDE (Exterior)
2024-11-01 08:13:00-03:00,7.24,PUERTO RÍO GRANDE (Exterior)
2024-11-01 14:39:00-03:00,2.0,PUERTO RÍO GRANDE (Exterior)
2024-11-01 20:37:00-03:00,7.16,PUERTO RÍO GRANDE (Exterior)
2024-11-02 02:51:00-03:00,2.32,PUERTO RÍO GRANDE (Exterior)
2024-11-02 08:40:00-03:00,7.3,PUERTO RÍO GRANDE (Exterior)
2024-11-02 15:08:00-03:00,1.81,PUERTO RÍO GRANDE (Exterior)
2024-11-02 21:09:00-03:00,7.24,PUERTO RÍO GRANDE (Exterior)
2024-11-03 03:22:00-03:00,2.32,PUERTO RÍO GRANDE (Exterior)
2024-11-03 09:08:00-03:00,7.35,PUERTO RÍO GRANDE (Exterior)
2024-11-03 15:39:00-03:00,1.63,PUERTO RÍO GRANDE (Exterior)
2024-11-03 21:43:00-03:00,7.29,PUERTO RÍO GRANDE (Exterior)
2024-11-04 03:56:00-03:00,2.34,PUERTO RÍO GRANDE (Exterior)
2024-11-04 09:37:00-03:00,7.36,PUERTO RÍO GRANDE (Exterior)
2024-11-04 16:14:00-03:00,1.51,PUERTO RÍO GRANDE (Exterior)
2024-11-04 22:20:00-03:00,7.29,PUERTO RÍO GRANDE (Exterior)
2024-11-05 04:32:00-03:00,2.41,PUERTO RÍO GRANDE (Exterior)
2024-11-05 10:11:00-03:00,7.33,PUERTO RÍO GRANDE (Exterior)
2024-11-05 16:52:00-03:00,1.45,PUERTO RÍO GRANDE (Exterior)
2024-11-05 23:01:00-03:00,7.23,PUERTO RÍO GRANDE (Exterior)
2024-11-06 05:13:00-03:00,2.52,PUERTO RÍO GRANDE (Exterior)
2024-11-06 10:50:00-03:00,7.23,PUERTO RÍO GRANDE (Exterior)
2024-11-06 17:35:00-03:00,1.48,PUERTO RÍO GRANDE (Exterior)
2024-11-06 23:51:00-03:00,7.12,PUERTO RÍO GRANDE (Exterior)
2024-11-07 05:59:00-03:00,2.67,PUERTO RÍO GRANDE (Exterior)
2024-11-07 11:38:00-03:00,7.09,PUERTO RÍO GRANDE (Exterior)
2024-11-07 18:24:00-03:00,1.59,PUERTO RÍO GRANDE (Exterior)
2024-11-08 00:51:00-03:00,7.01,PUERTO RÍO GRANDE (Exterior)
2024-11-08 06:51:00-03:00,2.82,PUERTO RÍO GRANDE (Exterior)
2024-11-08 12:39:00-03:00,6.92,PUERTO RÍO GRANDE (Exterior)
2024-11-08 19:18:00-03:00,1.75,PUERTO RÍO GRANDE (Exterior)
2024-11-09 01:59:00-03:00,6.97,PUERTO RÍO GRANDE (Exterior)
2024-11-09 07:51:00-03:00,2.92,PUERTO RÍO GRANDE (Exterior)
2024-11-09 13:54:00-03:00,6.83,PUERTO RÍO GRANDE (Exterior)
2024-11-09 20:21:00-03:00,1.89,PUERTO RÍO GRANDE (Exterior)
2024-11-10 03:07:00-03:00,7.03,PUERTO RÍO GRANDE (Exterior)
2024-11-10 08:59:00-03:00,2.88,PUERTO RÍO GRANDE (Exterior)
2024-11-10 15:11:00-03:00,6.9,PUERTO RÍO GRANDE (Exterior)
2024-11-10 21:30:00-03:00,1.93,PUERTO RÍO GRANDE (Exterior)
2024-11-11 04:10:00-03:00,7.21,PUERTO RÍO GRANDE (Exterior)
2024-11-11 10:10:00-03:00,2.63,PUERTO RÍO GRANDE (Exterior)
2024-11-11 16:21:00-03:00,7.12,PUERTO RÍO GRANDE (Exterior)
2024-11-11 22:40:00-03:00,1.83,PUERTO RÍO GRANDE (Exterior)
2024-11-12 05:07:00-03:00,7.45,PUERTO RÍO GRANDE (Exterior)
2024-11-12 11:17:00-03:00,2.2,PUERTO RÍO GRANDE (Exterior)
2024-11-12 17:24:00-03:00,7.43,PUERTO RÍO GRANDE (Exterior)
2024-11-12 23:44:00-03:00,1.63,PUERTO RÍO GRANDE (Exterior)
2024-11-13 06:00:00-03:00,7.71,PUERTO RÍO GRANDE (Exterior)
2024-11-13 12:17:00-03:00,1.69,PUERTO RÍO GRANDE (Exterior)
2024-11-13 18:22:00-03:00,7.76,PUERTO RÍO GRANDE (Exterior)
2024-11-14 00:42:00-03:00,1.42,PUERTO RÍO GRANDE (Exterior)
2024-11-14 06:48:00-03:00,7.94,PUERTO RÍO GRANDE (Exterior)
2024-11-14 13:10:00-03:00,1.18,PUERTO RÍO GRANDE (Exterior)
2024-11-14 19:16:00-03:00,8.02,PUERTO RÍO GRANDE (Exterior)
2024-11-15 01:35:00-03:00,1.26,PUERTO RÍO GRANDE (Exterior)
2024-11-15 07:34:00-03:00,8.11,PUERTO RÍO GRANDE (Exterior)
2024-11-15 14:00:00-03:00,0.77,PUERTO RÍO GRANDE (Exterior)
2024-11-15 20:08:00-03:00,8.19,PUERTO RÍO GRANDE (Exterior)
2024-11-16 02:24:00-03:00,1.21,PUERTO RÍO GRANDE (Exterior)
