datetime,height,port
2024-03-01 05:56:00-03:00,1.99,PUERTO RÍO GRANDE (Exterior)
2024-03-01 11:59:00-03:00,7.11,PUERTO RÍO GRANDE (Exterior)
2024-03-01 18:14:00-03:00,2.36,PUERTO RÍO GRANDE (Exterior)
2024-03-02 00:07:00-03:00,7.03,PUERTO RÍO GRANDE (Exterior)
2024-03-02 06:35:00-03:00,2.1,PUERTO RÍO GRANDE (Exterior)
2024-03-02 12:44:00-03:00,6.89,PUERTO RÍO GRANDE (Exterior)
2024-03-02 18:56:00-03:00,2.71,PUERTO RÍO GRANDE (Exterior)
2024-03-03 00:49:00-03:00,6.8,PUERTO RÍO GRANDE (Exterior)
2024-03-03 07:22:00-03:00,2.28,PUERTO RÍO GRANDE (Exterior)
2024-03-03 13:43:00-03:00,6.65,PUERTO RÍO GRANDE (Exterior)
2024-03-03 19:49:00-03:00,3.09,PUERTO RÍO GRANDE (Exterior)
2024-03-04 01:46:00-03:00,6.55,PUERTO RÍO GRANDE (Exterior)
2024-03-04 08:20:00-03:00,2.47,PUERTO RÍO GRANDE (Exterior)
2024-03-04 15:01:00-03:00,6.5,PUERTO RÍO GRANDE (Exterior)
2024-03-04 20:57:00-03:00,3.39,PUERTO RÍO GRANDE (Exterior)
2024-03-05 03:03:00-03:00,6.39,PUERTO RÍO GRANDE (Exterior)
2024-03-05 09:35:00-03:00,2.55,PUERTO RÍO GRANDE (Exterior)
2024-03-05 16:25:00-03:00,6.57,PUERTO RÍO GRANDE (Exterior)
2024-03-05 22:22:00-03:00,3.43,PUERTO RÍO GRANDE (Exterior)
2024-03-06 04:27:00-03:00,6.48,PUERTO RÍO GRANDE (Exterior)
2024-03-06 10:59:00-03:00,2.34,PUERTO RÍO GRANDE (Exterior)
2024-03-06 17:40:00-03:00,6.88,PUERTO RÍO GRANDE (Exterior)
2024-03-06 23:44:00-03:00,3.09,PUERTO RÍO GRANDE (Exterior)
2024-03-07 05:42:00-03:00,6.81,PUERTO RÍO GRANDE (Exterior)
2024-03-07 12:11:00-03:00,1.87,PUERTO RÍO GRANDE (Exterior)
2024-03-07 18:42:00-03:00,7.32,PUERTO RÍO GRANDE (Exterior)
2024-03-08 00:47:00-03:00,2.51,PUERTO RÍO GRANDE (Exterior)
2024-03-08 06:44:00-03:00,7.29,PUERTO RÍO GRANDE (Exterior)
2024-03-08 13:10:00-03:00,1.3,PUERTO RÍO GRANDE (Exterior)
2024-03-08 19:34:00-03:00,7.78,PUERTO RÍO GRANDE (Exterior)
2024-03-09 01:39:00-03:00,1.87,PUERTO RÍO GRANDE (Exterior)
2024-03-09 07:38:00-03:00,7.81,PUERTO RÍO GRANDE (Exterior)
2024-03-09 14:01:00-03:00,0.78,PUERTO RÍO GRANDE (Exterior)
2024-03-09 20:19:00-03:00,8.17,PUERTO RÍO GRANDE (Exterior)
2024-03-10 02:26:00-03:00,1.27,PUERTO RÍO GRANDE (Exterior)
2024-03-10 08:27:00-03:00,8.25,PUERTO RÍO GRANDE (Exterior)
2024-03-10 14:47:00-03:00,0.42,PUERTO RÍO GRANDE (Exterior)
2024-03-10 21:00:00-03:00,8.44,PUERTO RÍO GRANDE (Exterior)
2024-03-11 03:10:00-03:00,0.81,PUERTO RÍO GRANDE (Exterior)
2024-03-11 09:12:00-03:00,8.55,PUERTO RÍO GRANDE (Exterior)
2024-03-11 15:31:00-03:00,0.27,PUERTO RÍO GRANDE (Exterior)
2024-03-11 21:40:00-03:00,8.56,PUERTO RÍO GRANDE (Exterior)
2024-03-12 03:52:00-03:00,0.52,PUERTO RÍO GRANDE (Exterior)
2024-03-12 09:55:00-03:00,8.67,PUERTO RÍO GRANDE (Exterior)
2024-03-12 16:15:00-03:00,0.35,PUERTO RÍO GRANDE (Exterior)
2024-03-12 22:18:00-03:00,8.52,PUERTO RÍO GRANDE (Exterior)
2024-03-13 04:35:00-03:00,0.45,PUERTO RÍO GRANDE (Exterior)
2024-03-13 10:39:00-03:00,8.58,PUERTO RÍO GRANDE (Exterior)
2024-03-13 16:58:00-03:00,0.66,PUERTO RÍO GRANDE (Exterior)
2024-03-13 22:57:00-03:00,8.32,PUERTO RÍO GRANDE (Exterior)
2024-03-14 05:18:00-03:00,0.59,PUERTO RÍO GRANDE (Exterior)
2024-03-14 11:25:00-03:00,8.3,PUERTO RÍO GRANDE (Exterior)
2024-03-14 17:42:00-03:00,1.17,PUERTO RÍO GRANDE (Exterior)
2024-03-14 23:38:00-03:00,7.97,PUERTO RÍO GRANDE (Exterior)
2024-03-15 06:03:00-03:00,0.93,PUERTO RÍO GRANDE (Exterior)
2024-03-15 12:15:00-03:00,7.87,PUERTO RÍO GRANDE (Exterior)
2024-03-15 18:28:00-03:00,1.81,PUERTO RÍO GRANDE (Exterior)
2024-03-16 00:23:00-03:00,7.53,PUERTO RÍO GRANDE (Exterior)
2024-03-16 06:51:00-03:00,1.41,PUERTO RÍO GRANDE (Exterior)
2024-03-16 13:11:00-03:00,7.37,PUERTO RÍO GRANDE (Exterior)
2024-03-16 19:19:00-03:00,2.5,PUERTO RÍO GRANDE (Exterior)
2024-03-17 01:15:00-03:00,7.03,PUERTO RÍO GRANDE (Exterior)
2024-03-17 07:46:00-03:00,1.95,PUERTO RÍO GRANDE (Exterior)
2024-03-17 14:19:00-03:00,6.9,PUERTO RÍO GRANDE (Exterior)
2024-03-17 20:21:00-03:00,3.13,PUERTO RÍO GRANDE (Exterior)
2024-03-18 02:20:00-03:00,6.57,PUERTO RÍO GRANDE (Exterior)
2024-03-18 08:53:00-03:00,2.42,PUERTO RÍO GRANDE (Exterior)
2024-03-18 15:38:00-03:00,6.61,PUERTO RÍO GRANDE (Exterior)
2024-03-18 21:41:00-03:00,3.53,PUERTO RÍO GRANDE (Exterior)
2024-03-19 03:39:00-03:00,6.28,PUERTO RÍO GRANDE (Exterior)
2024-03-19 10:16:00-03:00,2.67,PUERTO RÍO GRANDE (Exterior)
2024-03-19 16:59:00-03:00,6.56,PUERTO RÍO GRANDE (Exterior)
2024-03-19 23:12:00-03:00,3.55,PUERTO RÍO GRANDE (Exterior)
2024-03-20 04:59:00-03:00,6.24,PUERTO RÍO GRANDE (Exterior)
2024-03-20 11:37:00-03:00,2.6,PUERTO RÍO GRANDE (Exterior)
2024-03-20 18:09:00-03:00,6.71,PUERTO RÍO GRANDE (Exterior)
2024-03-21 00:23:00-03:00,3.27,PUERTO RÍO GRANDE (Exterior)
2024-03-21 06:09:00-03:00,6.4,PUERTO RÍO GRANDE (Exterior)
2024-03-21 12:39:00-03:00,2.38,PUERTO RÍO GRANDE (Exterior)
2024-03-21 19:04:00-03:00,6.93,PUERTO RÍO GRANDE (Exterior)
2024-03-22 01:14:00-03:00,2.91,PUERTO RÍO GRANDE (Exterior)
2024-03-22 07:04:00-03:00,6.65,PUERTO RÍO GRANDE (Exterior)
2024-03-22 13:26:00-03:00,2.15,PUERTO RÍO GRANDE (Exterior)
2024-03-22 19:45:00-03:00,7.14,PUERTO RÍO GRANDE (Exterior)
2024-03-23 01:54:00-03:00,2.58,PUERTO RÍO GRANDE (Exterior)
2024-03-23 07:47:00-03:00,6.89,PUERTO RÍO GRANDE (Exterior)
2024-03-23 14:05:00-03:00,1.99,PUERTO RÍO GRANDE (Exterior)
2024-03-23 20:18:00-03:00,7.3,PUERTO RÍO GRANDE (Exterior)
2024-03-24 02:28:00-03:00,2.31,PUERTO RÍO GRANDE (Exterior)
2024-03-24 08:22:00-03:00,7.1,PUERTO RÍO GRANDE (Exterior)
2024-03-24 14:38:00-03:00,1.89,PUERTO RÍO GRANDE (Exterior)
2024-03-24 20:45:00-03:00,7.41,PUERTO RÍO GRANDE (Exterior)
2024-03-25 02:57:00-03:00,2.09,PUERTO RÍO GRANDE (Exterior)
2024-03-25 08:52:00-03:00,7.27,PUERTO RÍO GRANDE (Exterior)
2024-03-25 15:07:00-03:00,1.84,PUERTO RÍO GRANDE (Exterior)
2024-03-25 21:10:00-03:00,7.49,PUERTO RÍO GRANDE (Exterior)
2024-03-26 03:24:00-03:00,1.9,PUERTO RÍO GRANDE (Exterior)
2024-03-26 09:21:00-03:00,7.39,PUERTO RÍO GRANDE (Exterior)
2024-03-26 15:35:00-03:00,1.83,PUERTO RÍO GRANDE (Exterior)
2024-03-26 21:34:00-03:00,7.53,PUERTO RÍO GRANDE (Exterior)
2024-03-27 03:51:00-03:00,1.73,PUERTO RÍO GRANDE (Exterior)
2024-03-27 09:50:00-03:00,7.46,PUERTO RÍO GRANDE (Exterior)
2024-03-27 16:04:00-03:00,1.87,PUERTO RÍO GRANDE (Exterior)
2024-03-27 21:58:00-03:00,7.53,PUERTO RÍO GRANDE (Exterior)
2024-03-28 04:20:00-03:00,1.6,PUERTO RÍO GRANDE (Exterior)
2024-03-28 10:20:00-03:00,7.48,PUERTO RÍO GRANDE (Exterior)
2024-03-28 16:35:00-03:00,1.96,PUERTO RÍO GRANDE (Exterior)
2024-03-28 22:24:00-03:00,7.49,PUERTO RÍO GRANDE (Exterior)
2024-03-29 04:53:00-03:00,1.54,PUERTO RÍO GRANDE (Exterior)
2024-03-29 10:53:00-03:00,7.42,PUERTO RÍO GRANDE (Exterior)
2024-03-29 17:10:00-03:00,2.13,PUERTO RÍO GRANDE (Exterior)
2024-03-29 22:54:00-03:00,7.39,PUERTO RÍO GRANDE (Exterior)
2024-03-30 05:29:00-03:00,1.56,PUERTO RÍO GRANDE (Exterior)
2024-03-30 11:33:00-03:00,7.28,PUERTO RÍO GRANDE (Exterior)
2024-03-30 17:49:00-03:00,2.39,PUERTO RÍO GRANDE (Exterior)
2024-03-30 23:30:00-03:00,7.2,PUERTO RÍO GRANDE (Exterior)
2024-03-31 06:11:00-03:00,1.69,PUERTO RÍO GRANDE (Exterior)
2024-03-31 12:22:00-03:00,7.06,PUERTO RÍO GRANDE (Exterior)
2024-03-31 18:36:00-03:00,2.72,PUERTO RÍO GRANDE (Exterior)
