datetime,height,port
2024-05-01 01:09:00-03:00,6.89,PUERTO RÍO GRANDE (Exterior)
2024-05-01 07:47:00-03:00,1.71,PUERTO RÍO GRANDE (Exterior)
2024-05-01 14:34:00-03:00,7.05,PUERTO RÍO GRANDE (Exterior)
2024-05-01 20:25:00-03:00,2.97,PUERTO RÍO GRANDE (Exterior)
2024-05-02 02:29:00-03:00,6.8,PUERTO RÍO GRANDE (Exterior)
2024-05-02 08:55:00-03:00,1.84,PUERTO RÍO GRANDE (Exterior)
2024-05-02 15:44:00-03:00,7.16,PUERTO RÍO GRANDE (Exterior)
2024-05-02 21:39:00-03:00,2.86,PUERTO RÍO GRANDE (Exterior)
2024-05-03 03:48:00-03:00,6.92,PUERTO RÍO GRANDE (Exterior)
2024-05-03 10:08:00-03:00,1.82,PUERTO RÍO GRANDE (Exterior)
2024-05-03 16:47:00-03:00,7.4,PUERTO RÍO GRANDE (Exterior)
2024-05-03 22:51:00-03:00,2.5,PUERTO RÍO GRANDE (Exterior)
2024-05-04 04:58:00-03:00,7.21,PUERTO RÍO GRANDE (Exterior)
2024-05-04 11:18:00-03:00,1.64,PUERTO RÍO GRANDE (Exterior)
2024-05-04 17:43:00-03:00,7.68,PUERTO RÍO GRANDE (Exterior)
2024-05-04 23:55:00-03:00,1.98,PUERTO RÍO GRANDE (Exterior)
2024-05-05 05:59:00-03:00,7.56,PUERTO RÍO GRANDE (Exterior)
2024-05-05 12:19:00-03:00,1.39,PUERTO RÍO GRANDE (Exterior)
2024-05-05 18:33:00-03:00,7.95,PUERTO RÍO GRANDE (Exterior)
2024-05-06 00:50:00-03:00,1.43,PUERTO RÍO GRANDE (Exterior)
2024-05-06 06:55:00-03:00,7.89,PUERTO RÍO GRANDE (Exterior)
2024-05-06 13:13:00-03:00,1.18,PUERTO RÍO GRANDE (Exterior)
2024-05-06 19:19:00-03:00,8.15,PUERTO RÍO GRANDE (Exterior)
2024-05-07 01:40:00-03:00,0.95,PUERTO RÍO GRANDE (Exterior)
2024-05-07 07:47:00-03:00,8.13,PUERTO RÍO GRANDE (Exterior)
2024-05-07 14:03:00-03:00,1.09,PUERTO RÍO GRANDE (Exterior)
2024-05-07 20:02:00-03:00,8.26,PUERTO RÍO GRANDE (Exterior)
2024-05-08 02:27:00-03:00,0.6,PUERTO RÍO GRANDE (Exterior)
2024-05-08 08:36:00-03:00,8.25,PUERTO RÍO GRANDE (Exterior)
2024-05-08 14:50:00-03:00,1.13,PUERTO RÍO GRANDE (Exterior)
2024-05-08 20:44:00-03:00,8.26,PUERTO RÍO GRANDE (Exterior)
2024-05-09 03:13:00-03:00,0.44,PUERTO RÍO GRANDE (Exterior)
