datetime,height,port
2024-07-01 03:58:00-03:00,7.29,PUERTO RÍO GRANDE (Exterior)
2024-07-01 10:14:00-03:00,2.1,PUERTO RÍO GRANDE (Exterior)
2024-07-01 16:28:00-03:00,7.42,PUERTO RÍO GRANDE (Exterior)
2024-07-01 22:53:00-03:00,1.94,PUERTO RÍO GRANDE (Exterior)
2024-07-02 05:07:00-03:00,7.25,PUERTO RÍO GRANDE (Exterior)
2024-07-02 11:24:00-03:00,2.27,PUERTO RÍO GRANDE (Exterior)
2024-07-02 17:27:00-03:00,7.4,PUERTO RÍO GRANDE (Exterior)
2024-07-03 00:01:00-03:00,1.71,PUERTO RÍO GRANDE (Exterior)
2024-07-03 06:15:00-03:00,7.3,PUERTO RÍO GRANDE (Exterior)
2024-07-03 12:30:00-03:00,2.29,PUERTO RÍO GRANDE (Exterior)
2024-07-03 18:26:00-03:00,7.44,PUERTO RÍO GRANDE (Exterior)
2024-07-04 01:02:00-03:00,1.42,PUERTO RÍO GRANDE (Exterior)
2024-07-04 07:20:00-03:00,7.4,PUERTO RÍO GRANDE (Exterior)
2024-07-04 13:29:00-03:00,2.23,PUERTO RÍO GRANDE (Exterior)
2024-07-04 19:22:00-03:00,7.51,PUERTO RÍO GRANDE (Exterior)
2024-07-05 01:57:00-03:00,1.14,PUERTO RÍO GRANDE (Exterior)
2024-07-05 08:21:00-03:00,7.53,PUERTO RÍO GRANDE (Exterior)
2024-07-05 14:22:00-03:00,2.15,PUERTO RÍO GRANDE (Exterior)
2024-07-05 20:15:00-03:00,7.57,PUERTO RÍO GRANDE (Exterior)
2024-07-06 02:46:00-03:00,0.96,PUERTO RÍO GRANDE (Exterior)
2024-07-06 09:14:00-03:00,7.63,PUERTO RÍO GRANDE (Exterior)
2024-07-06 15:10:00-03:00,2.1,PUERTO RÍO GRANDE (Exterior)
2024-07-06 21:04:00-03:00,7.6,PUERTO RÍO GRANDE (Exterior)
2024-07-07 03:32:00-03:00,0.89,PUERTO RÍO GRANDE (Exterior)
2024-07-07 10:02:00-03:00,7.66,PUERTO RÍO GRANDE (Exterior)
2024-07-07 15:55:00-03:00,2.12,PUERTO RÍO GRANDE (Exterior)
2024-07-07 21:49:00-03:00,7.57,PUERTO RÍO GRANDE (Exterior)
2024-07-08 04:14:00-03:00,0.96,PUERTO RÍO GRANDE (Exterior)
2024-07-08 10:44:00-03:00,7.61,PUERTO RÍO GRANDE (Exterior)
2024-07-08 16:36:00-03:00,2.2,PUERTO RÍO GRANDE (Exterior)
2024-07-08 22:31:00-03:00,7.47,PUERTO RÍO GRANDE (Exterior)
2024-07-09 04:54:00-03:00,1.16,PUERTO RÍO GRANDE (Exterior)
2024-07-09 11:23:00-03:00,7.49,PUERTO RÍO GRANDE (Exterior)
2024-07-09 17:15:00-03:00,2.35,PUERTO RÍO GRANDE (Exterior)
2024-07-09 23:11:00-03:00,7.3,PUERTO RÍO GRANDE (Exterior)
2024-07-10 05:31:00-03:00,1.46,PUERTO RÍO GRANDE (Exterior)
2024-07-10 11:59:00-03:00,7.31,PUERTO RÍO GRANDE (Exterior)
2024-07-10 17:51:00-03:00,2.55,PUERTO RÍO GRANDE (Exterior)
2024-07-10 23:49:00-03:00,7.08,PUERTO RÍO GRANDE (Exterior)
2024-07-11 06:06:00-03:00,1.82,PUERTO RÍO GRANDE (Exterior)
2024-07-11 12:34:00-03:00,7.1,PUERTO RÍO GRANDE (Exterior)
2024-07-11 18:27:00-03:00,2.75,PUERTO RÍO GRANDE (Exterior)
2024-07-12 00:28:00-03:00,6.84,PUERTO RÍO GRANDE (Exterior)
2024-07-12 06:40:00-03:00,2.2,PUERTO RÍO GRANDE (Exterior)
2024-07-12 13:09:00-03:00,6.88,PUERTO RÍO GRANDE (Exterior)
2024-07-12 19:02:00-03:00,2.95,PUERTO RÍO GRANDE (Exterior)
2024-07-13 01:08:00-03:00,6.58,PUERTO RÍO GRANDE (Exterior)
2024-07-13 07:14:00-03:00,2.57,PUERTO RÍO GRANDE (Exterior)
2024-07-13 13:46:00-03:00,6.67,PUERTO RÍO GRANDE (Exterior)
2024-07-13 19:39:00-03:00,3.12,PUERTO RÍO GRANDE (Exterior)
2024-07-14 01:53:00-03:00,6.35,PUERTO RÍO GRANDE (Exterior)
2024-07-14 07:51:00-03:00,2.92,PUERTO RÍO GRANDE (Exterior)
2024-07-14 14:26:00-03:00,6.5,PUERTO RÍO GRANDE (Exterior)
