datetime,height,port
2024-08-01 06:05:00-03:00,6.98,PUERTO RÍO GRANDE (Exterior)
2024-08-01 12:16:00-03:00,2.79,PUERTO RÍO GRANDE (Exterior)
2024-08-01 18:10:00-03:00,7.03,PUERTO RÍO GRANDE (Exterior)
2024-08-02 00:48:00-03:00,1.74,PUERTO RÍO GRANDE (Exterior)
2024-08-02 07:16:00-03:00,7.15,PUERTO RÍO GRANDE (Exterior)
2024-08-02 13:19:00-03:00,2.6,PUERTO RÍO GRANDE (Exterior)
2024-08-02 19:14:00-03:00,7.18,PUERTO RÍO GRANDE (Exterior)
2024-08-03 01:45:00-03:00,1.44,PUERTO RÍO GRANDE (Exterior)
2024-08-03 08:15:00-03:00,7.37,PUERTO RÍO GRANDE (Exterior)
2024-08-03 14:12:00-03:00,2.37,PUERTO RÍO GRANDE (Exterior)
2024-08-03 20:09:00-03:00,7.35,PUERTO RÍO GRANDE (Exterior)
2024-08-04 02:33:00-03:00,1.21,PUERTO RÍO GRANDE (Exterior)
2024-08-04 09:03:00-03:00,7.55,PUERTO RÍO GRANDE (Exterior)
2024-08-04 14:57:00-03:00,2.17,PUERTO RÍO GRANDE (Exterior)
2024-08-04 20:55:00-03:00,7.49,PUERTO RÍO GRANDE (Exterior)
2024-08-05 03:16:00-03:00,1.1,PUERTO RÍO GRANDE (Exterior)
2024-08-05 09:43:00-03:00,7.64,PUERTO RÍO GRANDE (Exterior)
2024-08-05 15:37:00-03:00,2.06,PUERTO RÍO GRANDE (Exterior)
2024-08-05 21:35:00-03:00,7.55,PUERTO RÍO GRANDE (Exterior)
2024-08-06 03:55:00-03:00,1.13,PUERTO RÍO GRANDE (Exterior)
2024-08-06 10:18:00-03:00,7.63,PUERTO RÍO GRANDE (Exterior)
2024-08-06 16:14:00-03:00,2.04,PUERTO RÍO GRANDE (Exterior)
2024-08-06 22:11:00-03:00,7.53,PUERTO RÍO GRANDE (Exterior)
2024-08-07 04:29:00-03:00,1.28,PUERTO RÍO GRANDE (Exterior)
2024-08-07 10:48:00-03:00,7.55,PUERTO RÍO GRANDE (Exterior)
2024-08-07 16:47:00-03:00,2.1,PUERTO RÍO GRANDE (Exterior)
2024-08-07 22:44:00-03:00,7.43,PUERTO RÍO GRANDE (Exterior)
2024-08-08 05:01:00-03:00,1.52,PUERTO RÍO GRANDE (Exterior)
2024-08-08 11:17:00-03:00,7.4,PUERTO RÍO GRANDE (Exterior)
2024-08-08 17:18:00-03:00,2.21,PUERTO RÍO GRANDE (Exterior)
2024-08-08 23:16:00-03:00,7.27,PUERTO RÍO GRANDE (Exterior)
2024-08-09 05:31:00-03:00,1.82,PUERTO RÍO GRANDE (Exterior)
2024-08-09 11:44:00-03:00,7.22,PUERTO RÍO GRANDE (Exterior)
2024-08-09 17:47:00-03:00,2.35,PUERTO RÍO GRANDE (Exterior)
