datetime,height,port
2024-01-01 03:08:00-03:00,8.04,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-01 09:38:00-03:00,1.51,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-01 15:41:00-03:00,7.82,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-01 21:56:00-03:00,2.32,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-02 03:46:00-03:00,7.81,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-02 10:16:00-03:00,1.71,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-02 16:19:00-03:00,7.63,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-02 22:35:00-03:00,2.42,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-03 04:26:00-03:00,7.57,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-03 10:54:00-03:00,1.91,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-03 17:00:00-03:00,7.47,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-03 23:16:00-03:00,2.48,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-04 05:10:00-03:00,7.34,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-04 11:35:00-03:00,2.1,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-04 17:44:00-03:00,7.35,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-05 00:01:00-03:00,2.5,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-05 06:01:00-03:00,7.13,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-05 12:19:00-03:00,2.27,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-05 18:36:00-03:00,7.28,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-06 00:49:00-03:00,2.47,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-06 07:01:00-03:00,6.99,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-06 13:07:00-03:00,2.4,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-06 19:33:00-03:00,7.3,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-07 01:41:00-03:00,2.4,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-07 08:07:00-03:00,6.97,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-07 13:58:00-03:00,2.48,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-07 20:34:00-03:00,7.42,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-08 02:36:00-03:00,2.27,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-08 09:12:00-03:00,7.09,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-08 14:53:00-03:00,2.5,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-08 21:33:00-03:00,7.65,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-09 03:34:00-03:00,2.07,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-09 10:11:00-03:00,7.33,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-09 15:51:00-03:00,2.43,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-09 22:28:00-03:00,7.95,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-10 04:32:00-03:00,1.82,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-10 11:05:00-03:00,7.64,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-10 16:49:00-03:00,2.28,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-10 23:19:00-03:00,8.27,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-11 05:29:00-03:00,1.54,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-11 11:55:00-03:00,7.97,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-11 17:46:00-03:00,2.08,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-12 00:08:00-03:00,8.56,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-12 06:24:00-03:00,1.26,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-12 12:42:00-03:00,8.27,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-12 18:41:00-03:00,1.85,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-13 00:55:00-03:00,8.79,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-13 07:15:00-03:00,1.02,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-13 13:28:00-03:00,8.52,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-13 19:34:00-03:00,1.65,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-14 01:41:00-03:00,8.91,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-14 08:04:00-03:00,0.87,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-14 14:13:00-03:00,8.68,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-14 20:25:00-03:00,1.49,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-15 02:27:00-03:00,8.93,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-15 08:52:00-03:00,0.81,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-15 14:59:00-03:00,8.74,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-15 21:15:00-03:00,1.4,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-16 03:14:00-03:00,8.82,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-16 09:40:00-03:00,0.85,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-16 15:46:00-03:00,8.69,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-16 22:05:00-03:00,1.4,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-17 04:03:00-03:00,8.6,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-17 10:29:00-03:00,0.99,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-17 16:36:00-03:00,8.56,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-17 22:56:00-03:00,1.47,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-18 04:56:00-03:00,8.3,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-18 11:19:00-03:00,1.21,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-18 17:30:00-03:00,8.36,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-18 23:49:00-03:00,1.6,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-19 05:54:00-03:00,7.97,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-19 12:11:00-03:00,1.49,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-19 18:29:00-03:00,8.16,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-20 00:45:00-03:00,1.74,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-20 07:00:00-03:00,7.7,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-20 13:06:00-03:00,1.78,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-20 19:34:00-03:00,8.01,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-21 01:44:00-03:00,1.86,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-21 08:10:00-03:00,7.56,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-21 14:05:00-03:00,2.04,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-21 20:40:00-03:00,7.96,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-22 02:46:00-03:00,1.91,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-22 09:17:00-03:00,7.59,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-22 15:08:00-03:00,2.22,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-22 21:41:00-03:00,8.02,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-23 03:50:00-03:00,1.87,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-23 10:19:00-03:00,7.72,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-23 16:12:00-03:00,2.29,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-23 22:37:00-03:00,8.13,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-24 04:52:00-03:00,1.74,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-24 11:13:00-03:00,7.9,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-24 17:14:00-03:00,2.27,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-24 23:28:00-03:00,8.25,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-25 05:49:00-03:00,1.58,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-25 12:02:00-03:00,8.05,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-25 18:10:00-03:00,2.22,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-26 00:13:00-03:00,8.33,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-26 06:39:00-03:00,1.46,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-26 12:46:00-03:00,8.15,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-26 18:58:00-03:00,2.17,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-27 00:55:00-03:00,8.35,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-27 07:22:00-03:00,1.4,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-27 13:26:00-03:00,8.18,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-27 19:40:00-03:00,2.15,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-28 01:33:00-03:00,8.32,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-28 08:01:00-03:00,1.41,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-28 14:03:00-03:00,8.14,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-28 20:16:00-03:00,2.16,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-29 02:08:00-03:00,8.24,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-29 08:35:00-03:00,1.49,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-29 14:36:00-03:00,8.06,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-29 20:50:00-03:00,2.18,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-30 02:42:00-03:00,8.13,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-30 09:07:00-03:00,1.61,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-30 15:08:00-03:00,7.98,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-30 21:22:00-03:00,2.2,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-31 03:15:00-03:00,7.99,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-31 09:39:00-03:00,1.74,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-31 15:41:00-03:00,7.89,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-01-31 21:56:00-03:00,2.2,PUERTO SAN ANTONIO (Muelle de Ultramar)
