datetime,height,port
2024-10-01 05:13:00-03:00,2.07,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-01 11:19:00-03:00,7.7,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-01 17:35:00-03:00,1.61,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-01 23:45:00-03:00,7.87,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-02 05:59:00-03:00,1.85,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-02 11:59:00-03:00,7.87,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-02 18:16:00-03:00,1.53,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-03 00:21:00-03:00,7.98,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-03 06:36:00-03:00,1.69,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-03 12:35:00-03:00,7.96,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-03 18:51:00-03:00,1.53,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-04 00:53:00-03:00,8.02,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-04 07:08:00-03:00,1.59,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-04 13:08:00-03:00,7.98,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-04 19:21:00-03:00,1.6,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-05 01:22:00-03:00,8.01,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-05 07:37:00-03:00,1.53,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-05 13:39:00-03:00,7.93,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-05 19:48:00-03:00,1.69,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-06 01:50:00-03:00,7.99,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-06 08:04:00-03:00,1.49,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-06 14:08:00-03:00,7.86,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-06 20:15:00-03:00,1.79,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-07 02:18:00-03:00,7.97,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-07 08:33:00-03:00,1.47,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-07 14:39:00-03:00,7.75,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-07 20:44:00-03:00,1.88,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-08 02:48:00-03:00,7.92,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-08 09:06:00-03:00,1.47,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-08 15:12:00-03:00,7.61,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-08 21:19:00-03:00,1.98,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-09 03:22:00-03:00,7.83,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-10-09 09:45:00-03:00,1.53,PUERTO SAN ANTONIO (Muelle de Ultramar)
