datetime,height,port
2024-07-01 00:55:00-03:00,1.52,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-01 07:21:00-03:00,7.79,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-01 13:30:00-03:00,1.7,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-01 19:53:00-03:00,7.51,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-02 01:54:00-03:00,1.64,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-02 08:28:00-03:00,7.87,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-02 14:31:00-03:00,1.65,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-02 21:02:00-03:00,7.58,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-03 02:55:00-03:00,1.71,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-03 09:30:00-03:00,8.04,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-03 15:34:00-03:00,1.54,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-03 22:04:00-03:00,7.76,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-04 03:57:00-03:00,1.73,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-04 10:27:00-03:00,8.24,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-04 16:37:00-03:00,1.37,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-04 23:00:00-03:00,7.97,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-05 04:59:00-03:00,1.69,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-05 11:20:00-03:00,8.42,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-05 17:36:00-03:00,1.18,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-05 23:52:00-03:00,8.16,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-06 05:57:00-03:00,1.63,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-06 12:08:00-03:00,8.53,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-06 18:30:00-03:00,1.02,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-07 00:40:00-03:00,8.27,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-07 06:50:00-03:00,1.59,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-07 12:54:00-03:00,8.56,PUERTO SAN ANTONIO (Muelle de Ultramar)
2024-07-07 19:20:00-03:00,0.93,PUERTO SAN ANTONIO (Muelle de Ultramar)
