datetime,height,port
2024-01-01 04:12:00-03:00,1.07,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-01 09:59:00-03:00,2.12,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-01 16:37:00-03:00,0.54,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-01 23:09:00-03:00,2.01,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-02 04:53:00-03:00,1.05,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-02 10:43:00-03:00,2.02,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-02 17:14:00-03:00,0.67,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-02 23:43:00-03:00,1.98,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-03 05:39:00-03:00,1.03,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-03 11:32:00-03:00,1.92,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-03 17:53:00-03:00,0.81,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-04 00:19:00-03:00,1.97,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-04 06:31:00-03:00,0.98,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-04 12:29:00-03:00,1.83,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-04 18:35:00-03:00,0.94,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-05 01:00:00-03:00,1.98,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-05 07:30:00-03:00,0.92,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-05 13:36:00-03:00,1.76,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-05 19:24:00-03:00,1.04,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-06 01:46:00-03:00,2.01,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-06 08:32:00-03:00,0.83,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-06 14:50:00-03:00,1.74,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-06 20:20:00-03:00,1.12,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-07 02:37:00-03:00,2.06,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-07 09:34:00-03:00,0.71,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-07 16:02:00-03:00,1.77,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-07 21:22:00-03:00,1.16,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-08 03:31:00-03:00,2.13,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-08 10:32:00-03:00,0.57,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-08 17:05:00-03:00,1.85,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-08 22:23:00-03:00,1.15,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-09 04:26:00-03:00,2.22,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-09 11:25:00-03:00,0.42,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-09 17:59:00-03:00,1.94,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-09 23:20:00-03:00,1.11,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-10 05:19:00-03:00,2.32,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-10 12:13:00-03:00,0.29,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-10 18:47:00-03:00,2.05,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-01-11 00:12:00-03:00,1.03,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
