datetime,height,port
2024-10-01 00:06:00-03:00,0.55,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-01 06:25:00-03:00,2.14,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-01 12:23:00-03:00,0.77,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-01 18:26:00-03:00,2.22,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-02 00:42:00-03:00,0.56,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-02 06:53:00-03:00,2.19,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-02 12:55:00-03:00,0.64,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-02 19:04:00-03:00,2.27,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-03 01:13:00-03:00,0.6,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-03 07:17:00-03:00,2.22,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-03 13:25:00-03:00,0.53,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-03 19:38:00-03:00,2.28,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-04 01:41:00-03:00,0.66,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-04 07:40:00-03:00,2.26,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-04 13:55:00-03:00,0.45,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-04 20:11:00-03:00,2.26,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-05 02:07:00-03:00,0.74,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-05 08:03:00-03:00,2.29,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-05 14:25:00-03:00,0.39,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-05 20:44:00-03:00,2.22,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-06 02:32:00-03:00,0.82,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-06 08:28:00-03:00,2.31,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-06 14:57:00-03:00,0.37,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-06 21:17:00-03:00,2.14,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-07 02:59:00-03:00,0.89,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-07 08:56:00-03:00,2.31,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-07 15:32:00-03:00,0.38,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-10-07 21:54:00-03:00,2.05,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
