datetime,height,port
2024-04-01 05:24:00-03:00,0.52,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-01 11:54:00-03:00,1.86,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-01 17:19:00-03:00,1.13,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-01 23:26:00-03:00,2.14,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-02 06:29:00-03:00,0.61,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-02 13:10:00-03:00,1.8,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-02 18:33:00-03:00,1.21,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-03 00:40:00-03:00,2.05,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-03 07:48:00-03:00,0.66,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-03 14:36:00-03:00,1.82,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-03 20:09:00-03:00,1.2,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-04 02:11:00-03:00,2.02,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-04 09:09:00-03:00,0.63,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-04 15:50:00-03:00,1.94,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-04 21:36:00-03:00,1.06,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-05 03:37:00-03:00,2.1,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-05 10:17:00-03:00,0.55,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-04-05 16:47:00-03:00,2.09,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
