datetime,height,port
2024-09-01 06:24:00-03:00,2.09,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-01 12:06:00-03:00,1.01,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-01 17:57:00-03:00,2.22,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-02 00:34:00-03:00,0.38,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-02 07:02:00-03:00,2.16,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-02 12:48:00-03:00,0.89,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-02 18:43:00-03:00,2.29,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-03 01:13:00-03:00,0.36,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-03 07:34:00-03:00,2.2,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-03 13:24:00-03:00,0.78,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-03 19:23:00-03:00,2.33,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-04 01:47:00-03:00,0.4,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-04 08:02:00-03:00,2.22,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-04 13:56:00-03:00,0.69,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-04 19:59:00-03:00,2.34,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-05 02:17:00-03:00,0.47,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-05 08:27:00-03:00,2.23,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-05 14:26:00-03:00,0.61,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-05 20:34:00-03:00,2.31,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-06 02:45:00-03:00,0.56,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-06 08:50:00-03:00,2.23,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-06 14:56:00-03:00,0.56,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-06 21:07:00-03:00,2.25,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-07 03:10:00-03:00,0.67,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-07 09:13:00-03:00,2.23,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
2024-09-07 15:27:00-03:00,0.54,PUERTO SAN JUAN DEL SALVAMENTO (Isla de los Estados)
