datetime,height,port
2024-11-01 05:33:00-03:00,1.85,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-01 11:36:00-03:00,7.74,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-01 17:58:00-03:00,1.51,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-01 23:58:00-03:00,7.49,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-02 06:07:00-03:00,1.91,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-02 12:06:00-03:00,7.7,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-02 18:33:00-03:00,1.48,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-03 00:34:00-03:00,7.47,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-03 06:42:00-03:00,2.04,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-03 12:37:00-03:00,7.62,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-03 19:09:00-03:00,1.52,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-04 01:10:00-03:00,7.39,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-04 07:21:00-03:00,2.22,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-04 13:09:00-03:00,7.51,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-04 19:49:00-03:00,1.61,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-05 01:50:00-03:00,7.27,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-05 08:03:00-03:00,2.43,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-05 13:45:00-03:00,7.38,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-05 20:33:00-03:00,1.72,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-06 02:33:00-03:00,7.13,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-06 08:51:00-03:00,2.63,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-06 14:27:00-03:00,7.24,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-06 21:24:00-03:00,1.83,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-07 03:24:00-03:00,6.99,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-07 09:46:00-03:00,2.78,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-07 15:16:00-03:00,7.1,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-07 22:23:00-03:00,1.89,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-08 04:21:00-03:00,6.92,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-08 10:47:00-03:00,2.82,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-08 16:15:00-03:00,7.0,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-08 23:26:00-03:00,1.86,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-09 05:25:00-03:00,6.95,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-09 11:51:00-03:00,2.7,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-09 17:23:00-03:00,7.0,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-10 00:30:00-03:00,1.73,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-10 06:29:00-03:00,7.12,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-10 12:53:00-03:00,2.43,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-10 18:34:00-03:00,7.15,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-11 01:30:00-03:00,1.54,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-11 07:29:00-03:00,7.4,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-11 13:52:00-03:00,2.07,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-11 19:41:00-03:00,7.43,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-12 02:27:00-03:00,1.35,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-12 08:25:00-03:00,7.71,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-12 14:49:00-03:00,1.67,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-12 20:42:00-03:00,7.76,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-13 03:21:00-03:00,1.2,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-13 09:16:00-03:00,8.02,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-13 15:43:00-03:00,1.3,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-13 21:38:00-03:00,8.04,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-14 04:13:00-03:00,1.14,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-14 10:05:00-03:00,8.27,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-14 16:36:00-03:00,0.99,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-14 22:32:00-03:00,8.24,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-15 05:04:00-03:00,1.16,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-15 10:52:00-03:00,8.44,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-15 17:28:00-03:00,0.77,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-15 23:24:00-03:00,8.32,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-16 05:54:00-03:00,1.27,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-16 11:39:00-03:00,8.52,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-16 18:20:00-03:00,0.66,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-17 00:15:00-03:00,8.29,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-17 06:44:00-03:00,1.44,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-17 12:26:00-03:00,8.5,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-17 19:12:00-03:00,0.66,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-18 01:07:00-03:00,8.16,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-18 07:34:00-03:00,1.66,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-18 13:14:00-03:00,8.37,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-18 20:04:00-03:00,0.76,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-19 02:00:00-03:00,7.94,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-19 08:25:00-03:00,1.92,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-19 14:02:00-03:00,8.13,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-19 20:58:00-03:00,0.97,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-20 02:54:00-03:00,7.67,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-20 09:17:00-03:00,2.18,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-20 14:53:00-03:00,7.81,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-20 21:52:00-03:00,1.24,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-21 03:50:00-03:00,7.39,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-21 10:11:00-03:00,2.43,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-21 15:48:00-03:00,7.43,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-21 22:46:00-03:00,1.54,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-22 04:48:00-03:00,7.14,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-22 11:07:00-03:00,2.61,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-22 16:46:00-03:00,7.07,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-22 23:41:00-03:00,1.83,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-23 05:47:00-03:00,6.98,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-23 12:04:00-03:00,2.71,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-23 17:47:00-03:00,6.79,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-24 00:35:00-03:00,2.06,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-24 06:46:00-03:00,6.93,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-24 13:00:00-03:00,2.71,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-24 18:51:00-03:00,6.65,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-25 01:27:00-03:00,2.22,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-25 07:40:00-03:00,6.97,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-25 13:54:00-03:00,2.6,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-25 19:51:00-03:00,6.64,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-26 02:15:00-03:00,2.29,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-26 08:30:00-03:00,7.07,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-26 14:44:00-03:00,2.41,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-26 20:45:00-03:00,6.73,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-27 03:00:00-03:00,2.29,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-27 09:13:00-03:00,7.2,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-27 15:30:00-03:00,2.18,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-27 21:32:00-03:00,6.89,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-28 03:41:00-03:00,2.24,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-28 09:52:00-03:00,7.33,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-28 16:12:00-03:00,1.95,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-28 22:15:00-03:00,7.06,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-29 04:20:00-03:00,2.18,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-29 10:27:00-03:00,7.43,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-29 16:51:00-03:00,1.74,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-29 22:55:00-03:00,7.22,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-30 04:59:00-03:00,2.13,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-30 11:00:00-03:00,7.51,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-30 17:29:00-03:00,1.56,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-11-30 23:32:00-03:00,7.35,PUERTO SAN JULIÁN (Muelle Frigorífico)
