datetime,height,port
2024-12-01 05:37:00-03:00,2.11,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-01 11:33:00-03:00,7.59,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-01 18:08:00-03:00,1.43,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-02 00:10:00-03:00,7.45,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-02 06:18:00-03:00,2.12,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-02 12:07:00-03:00,7.65,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-02 18:48:00-03:00,1.34,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-03 00:49:00-03:00,7.51,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-03 07:00:00-03:00,2.16,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-03 12:44:00-03:00,7.69,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-03 19:31:00-03:00,1.3,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-04 01:31:00-03:00,7.54,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-04 07:46:00-03:00,2.21,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-04 13:26:00-03:00,7.71,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-04 20:18:00-03:00,1.29,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-05 02:17:00-03:00,7.52,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-05 08:35:00-03:00,2.26,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-05 14:12:00-03:00,7.69,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-05 21:09:00-03:00,1.32,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-06 03:07:00-03:00,7.48,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-06 09:29:00-03:00,2.3,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-06 15:04:00-03:00,7.62,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-06 22:05:00-03:00,1.37,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-07 04:01:00-03:00,7.43,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-07 10:26:00-03:00,2.29,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-07 16:02:00-03:00,7.52,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-07 23:03:00-03:00,1.42,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-08 04:58:00-03:00,7.4,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-08 11:25:00-03:00,2.22,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-08 17:05:00-03:00,7.44,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-09 00:03:00-03:00,1.47,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-09 05:57:00-03:00,7.42,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-09 12:26:00-03:00,2.08,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-09 18:11:00-03:00,7.42,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-10 01:02:00-03:00,1.52,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-10 06:57:00-03:00,7.49,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-10 13:26:00-03:00,1.89,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-10 19:18:00-03:00,7.46,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-12-11 02:01:00-03:00,1.56,PUERTO SAN JULIÁN (Muelle Frigorífico)
