datetime,height,port
2024-04-01 03:52:00-03:00,6.93,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-01 10:54:00-03:00,2.2,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-01 16:56:00-03:00,6.67,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-01 23:24:00-03:00,3.11,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-02 04:50:00-03:00,6.7,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-02 12:06:00-03:00,2.25,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-02 18:09:00-03:00,6.6,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-03 00:38:00-03:00,3.1,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-03 06:04:00-03:00,6.61,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-03 13:22:00-03:00,2.08,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-03 19:27:00-03:00,6.81,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-04 01:50:00-03:00,2.82,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-04 07:26:00-03:00,6.8,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-04 14:29:00-03:00,1.72,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-04 20:33:00-03:00,7.24,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-05 02:53:00-03:00,2.34,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-05 08:39:00-03:00,7.25,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-05 15:29:00-03:00,1.29,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-05 21:29:00-03:00,7.73,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-06 03:50:00-03:00,1.79,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-06 09:40:00-03:00,7.78,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-06 16:23:00-03:00,0.91,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-04-06 22:19:00-03:00,8.2,PUERTO SAN JULIÁN (Muelle Frigorífico)
