datetime,height,port
2024-05-01 04:41:00-03:00,7.08,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-01 11:54:00-03:00,1.73,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-01 17:54:00-03:00,7.06,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-02 00:21:00-03:00,2.69,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-02 05:53:00-03:00,7.02,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-02 13:00:00-03:00,1.64,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-02 19:02:00-03:00,7.21,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-03 01:26:00-03:00,2.44,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-03 07:08:00-03:00,7.14,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-03 14:04:00-03:00,1.47,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-03 20:04:00-03:00,7.49,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-04 02:28:00-03:00,2.07,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-04 08:17:00-03:00,7.41,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-04 15:03:00-03:00,1.29,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-04 21:00:00-03:00,7.81,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-05 03:26:00-03:00,1.66,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-05 09:18:00-03:00,7.73,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-05 15:58:00-03:00,1.15,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-05 21:52:00-03:00,8.11,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-06 04:21:00-03:00,1.26,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-06 10:14:00-03:00,8.02,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-05-06 16:50:00-03:00,1.09,PUERTO SAN JULIÁN (Muelle Frigorífico)
