datetime,height,port
2024-06-01 01:00:00-03:00,2.03,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-01 06:46:00-03:00,7.45,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-01 13:36:00-03:00,1.38,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-01 19:32:00-03:00,7.64,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-02 02:01:00-03:00,1.85,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-02 07:53:00-03:00,7.47,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-02 14:35:00-03:00,1.47,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-02 20:29:00-03:00,7.75,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-03 03:02:00-03:00,1.63,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-03 08:56:00-03:00,7.54,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-03 15:33:00-03:00,1.56,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-03 21:24:00-03:00,7.88,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-04 04:02:00-03:00,1.38,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-04 09:57:00-03:00,7.65,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-04 16:29:00-03:00,1.63,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-04 22:16:00-03:00,8.02,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-05 04:59:00-03:00,1.13,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-05 10:54:00-03:00,7.76,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-05 17:22:00-03:00,1.7,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-05 23:05:00-03:00,8.15,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-06 05:53:00-03:00,0.92,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-06 11:47:00-03:00,7.84,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-06 18:13:00-03:00,1.77,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-06 23:53:00-03:00,8.22,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-07 06:45:00-03:00,0.78,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-07 12:38:00-03:00,7.87,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-07 19:02:00-03:00,1.85,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-08 00:40:00-03:00,8.23,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-08 07:33:00-03:00,0.75,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-08 13:27:00-03:00,7.85,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-08 19:48:00-03:00,1.96,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-09 01:26:00-03:00,8.14,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-09 08:19:00-03:00,0.83,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-09 14:15:00-03:00,7.74,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-09 20:32:00-03:00,2.1,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-10 02:10:00-03:00,7.94,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-10 09:02:00-03:00,1.03,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-10 15:01:00-03:00,7.58,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-10 21:16:00-03:00,2.27,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-11 02:55:00-03:00,7.66,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-11 09:44:00-03:00,1.32,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-11 15:47:00-03:00,7.37,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-11 21:59:00-03:00,2.46,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-12 03:39:00-03:00,7.32,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-12 10:25:00-03:00,1.65,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-12 16:33:00-03:00,7.15,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-12 22:43:00-03:00,2.64,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-13 04:25:00-03:00,6.97,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-13 11:05:00-03:00,1.97,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-13 17:19:00-03:00,6.95,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-13 23:29:00-03:00,2.77,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-14 05:14:00-03:00,6.64,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-14 11:47:00-03:00,2.25,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-14 18:06:00-03:00,6.79,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-15 00:17:00-03:00,2.84,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-15 06:07:00-03:00,6.4,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-15 12:32:00-03:00,2.46,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-15 18:55:00-03:00,6.71,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-16 01:08:00-03:00,2.82,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-16 07:04:00-03:00,6.28,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-16 13:20:00-03:00,2.6,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-16 19:43:00-03:00,6.71,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-17 02:01:00-03:00,2.71,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-17 08:02:00-03:00,6.3,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-17 14:11:00-03:00,2.64,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-17 20:29:00-03:00,6.78,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-18 02:53:00-03:00,2.51,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-18 08:57:00-03:00,6.44,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-18 15:02:00-03:00,2.62,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-18 21:13:00-03:00,6.92,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-19 03:43:00-03:00,2.24,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-19 09:48:00-03:00,6.67,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-19 15:52:00-03:00,2.53,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-19 21:55:00-03:00,7.11,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-20 04:31:00-03:00,1.92,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-20 10:35:00-03:00,6.96,PUERTO SAN JULIÁN (Muelle Frigorífico)
2024-06-20 16:41:00-03:00,2.39,PUERTO SAN JULIÁN (Muelle Frigorífico)
