datetime,height,port
2024-01-01 03:59:00-03:00,0.72,PUERTO SANTA ELENA
2024-01-01 10:24:00-03:00,4.23,PUERTO SANTA ELENA
2024-01-01 16:25:00-03:00,1.42,PUERTO SANTA ELENA
2024-01-01 22:19:00-03:00,4.01,PUERTO SANTA ELENA
2024-01-02 04:38:00-03:00,0.88,PUERTO SANTA ELENA
2024-01-02 11:03:00-03:00,4.11,PUERTO SANTA ELENA
2024-01-02 17:05:00-03:00,1.48,PUERTO SANTA ELENA
2024-01-02 23:01:00-03:00,3.89,PUERTO SANTA ELENA
2024-01-03 05:18:00-03:00,1.06,PUERTO SANTA ELENA
2024-01-03 11:42:00-03:00,3.99,PUERTO SANTA ELENA
2024-01-03 17:47:00-03:00,1.53,PUERTO SANTA ELENA
2024-01-03 23:45:00-03:00,3.77,PUERTO SANTA ELENA
2024-01-04 06:00:00-03:00,1.23,PUERTO SANTA ELENA
2024-01-04 12:22:00-03:00,3.89,PUERTO SANTA ELENA
2024-01-04 18:32:00-03:00,1.55,PUERTO SANTA ELENA
2024-01-05 00:34:00-03:00,3.67,PUERTO SANTA ELENA
2024-01-05 06:46:00-03:00,1.4,PUERTO SANTA ELENA
2024-01-05 13:06:00-03:00,3.82,PUERTO SANTA ELENA
2024-01-05 19:22:00-03:00,1.54,PUERTO SANTA ELENA
2024-01-06 01:29:00-03:00,3.61,PUERTO SANTA ELENA
2024-01-06 07:37:00-03:00,1.53,PUERTO SANTA ELENA
2024-01-06 13:55:00-03:00,3.78,PUERTO SANTA ELENA
2024-01-06 20:17:00-03:00,1.48,PUERTO SANTA ELENA
2024-01-07 02:29:00-03:00,3.6,PUERTO SANTA ELENA
2024-01-07 08:34:00-03:00,1.62,PUERTO SANTA ELENA
2024-01-07 14:48:00-03:00,3.79,PUERTO SANTA ELENA
2024-01-07 21:14:00-03:00,1.36,PUERTO SANTA ELENA
2024-01-08 03:32:00-03:00,3.65,PUERTO SANTA ELENA
2024-01-08 09:33:00-03:00,1.64,PUERTO SANTA ELENA
2024-01-08 15:43:00-03:00,3.86,PUERTO SANTA ELENA
2024-01-08 22:11:00-03:00,1.19,PUERTO SANTA ELENA
2024-01-09 04:34:00-03:00,3.79,PUERTO SANTA ELENA
2024-01-09 10:33:00-03:00,1.59,PUERTO SANTA ELENA
2024-01-09 16:38:00-03:00,3.98,PUERTO SANTA ELENA
2024-01-09 23:06:00-03:00,0.98,PUERTO SANTA ELENA
2024-01-10 05:30:00-03:00,3.97,PUERTO SANTA ELENA
2024-01-10 11:29:00-03:00,1.47,PUERTO SANTA ELENA
2024-01-10 17:31:00-03:00,4.14,PUERTO SANTA ELENA
2024-01-10 23:58:00-03:00,0.75,PUERTO SANTA ELENA
2024-01-11 06:22:00-03:00,4.19,PUERTO SANTA ELENA
2024-01-11 12:21:00-03:00,1.32,PUERTO SANTA ELENA
