datetime,height,port
2024-03-01 04:07:00-03:00,0.95,PUERTO SANTA ELENA
2024-03-01 10:15:00-03:00,4.27,PUERTO SANTA ELENA
2024-03-01 16:26:00-03:00,0.95,PUERTO SANTA ELENA
2024-03-01 22:35:00-03:00,4.19,PUERTO SANTA ELENA
2024-03-02 04:42:00-03:00,1.11,PUERTO SANTA ELENA
2024-03-02 10:49:00-03:00,4.18,PUERTO SANTA ELENA
2024-03-02 17:04:00-03:00,1.0,PUERTO SANTA ELENA
2024-03-02 23:17:00-03:00,4.05,PUERTO SANTA ELENA
2024-03-03 05:21:00-03:00,1.3,PUERTO SANTA ELENA
2024-03-03 11:29:00-03:00,4.06,PUERTO SANTA ELENA
2024-03-03 17:49:00-03:00,1.09,PUERTO SANTA ELENA
2024-03-04 00:06:00-03:00,3.89,PUERTO SANTA ELENA
2024-03-04 06:09:00-03:00,1.5,PUERTO SANTA ELENA
2024-03-04 12:17:00-03:00,3.92,PUERTO SANTA ELENA
2024-03-04 18:44:00-03:00,1.19,PUERTO SANTA ELENA
2024-03-05 01:07:00-03:00,3.75,PUERTO SANTA ELENA
2024-03-05 07:10:00-03:00,1.68,PUERTO SANTA ELENA
2024-03-05 13:18:00-03:00,3.79,PUERTO SANTA ELENA
2024-03-05 19:51:00-03:00,1.25,PUERTO SANTA ELENA
2024-03-06 02:21:00-03:00,3.69,PUERTO SANTA ELENA
2024-03-06 08:24:00-03:00,1.76,PUERTO SANTA ELENA
2024-03-06 14:32:00-03:00,3.75,PUERTO SANTA ELENA
2024-03-06 21:06:00-03:00,1.21,PUERTO SANTA ELENA
2024-03-07 03:39:00-03:00,3.77,PUERTO SANTA ELENA
2024-03-07 09:44:00-03:00,1.68,PUERTO SANTA ELENA
2024-03-07 15:49:00-03:00,3.85,PUERTO SANTA ELENA
2024-03-07 22:19:00-03:00,1.04,PUERTO SANTA ELENA
2024-03-08 04:48:00-03:00,4.0,PUERTO SANTA ELENA
2024-03-08 10:53:00-03:00,1.45,PUERTO SANTA ELENA
2024-03-08 16:57:00-03:00,4.08,PUERTO SANTA ELENA
2024-03-08 23:21:00-03:00,0.79,PUERTO SANTA ELENA
2024-03-09 05:45:00-03:00,4.28,PUERTO SANTA ELENA
2024-03-09 11:51:00-03:00,1.15,PUERTO SANTA ELENA
2024-03-09 17:55:00-03:00,4.37,PUERTO SANTA ELENA
2024-03-10 00:14:00-03:00,0.52,PUERTO SANTA ELENA
2024-03-10 06:34:00-03:00,4.56,PUERTO SANTA ELENA
2024-03-10 12:41:00-03:00,0.83,PUERTO SANTA ELENA
2024-03-10 18:45:00-03:00,4.64,PUERTO SANTA ELENA
2024-03-11 01:02:00-03:00,0.3,PUERTO SANTA ELENA
2024-03-11 07:19:00-03:00,4.8,PUERTO SANTA ELENA
2024-03-11 13:26:00-03:00,0.56,PUERTO SANTA ELENA
2024-03-11 19:32:00-03:00,4.86,PUERTO SANTA ELENA
2024-03-12 01:46:00-03:00,0.17,PUERTO SANTA ELENA
2024-03-12 08:01:00-03:00,4.95,PUERTO SANTA ELENA
2024-03-12 14:09:00-03:00,0.37,PUERTO SANTA ELENA
2024-03-12 20:17:00-03:00,4.99,PUERTO SANTA ELENA
2024-03-13 02:29:00-03:00,0.13,PUERTO SANTA ELENA
2024-03-13 08:42:00-03:00,5.01,PUERTO SANTA ELENA
2024-03-13 14:51:00-03:00,0.27,PUERTO SANTA ELENA
2024-03-13 21:00:00-03:00,5.0,PUERTO SANTA ELENA
2024-03-14 03:12:00-03:00,0.21,PUERTO SANTA ELENA
