datetime,height,port
2024-04-01 04:53:00-03:00,1.31,PUERTO SANTA ELENA
2024-04-01 10:57:00-03:00,4.12,PUERTO SANTA ELENA
2024-04-01 17:19:00-03:00,0.91,PUERTO SANTA ELENA
2024-04-01 23:42:00-03:00,4.01,PUERTO SANTA ELENA
2024-04-02 05:45:00-03:00,1.5,PUERTO SANTA ELENA
2024-04-02 11:48:00-03:00,3.96,PUERTO SANTA ELENA
2024-04-02 18:16:00-03:00,1.05,PUERTO SANTA ELENA
2024-04-03 00:45:00-03:00,3.87,PUERTO SANTA ELENA
2024-04-03 06:49:00-03:00,1.65,PUERTO SANTA ELENA
2024-04-03 12:53:00-03:00,3.82,PUERTO SANTA ELENA
2024-04-03 19:25:00-03:00,1.16,PUERTO SANTA ELENA
2024-04-04 01:59:00-03:00,3.82,PUERTO SANTA ELENA
2024-04-04 08:06:00-03:00,1.69,PUERTO SANTA ELENA
2024-04-04 14:11:00-03:00,3.78,PUERTO SANTA ELENA
2024-04-04 20:42:00-03:00,1.15,PUERTO SANTA ELENA
2024-04-05 03:15:00-03:00,3.91,PUERTO SANTA ELENA
2024-04-05 09:25:00-03:00,1.55,PUERTO SANTA ELENA
2024-04-05 15:30:00-03:00,3.9,PUERTO SANTA ELENA
2024-04-05 21:55:00-03:00,1.0,PUERTO SANTA ELENA
2024-04-06 04:22:00-03:00,4.13,PUERTO SANTA ELENA
2024-04-06 10:33:00-03:00,1.28,PUERTO SANTA ELENA
2024-04-06 16:38:00-03:00,4.14,PUERTO SANTA ELENA
2024-04-06 22:57:00-03:00,0.78,PUERTO SANTA ELENA
2024-04-07 05:19:00-03:00,4.4,PUERTO SANTA ELENA
2024-04-07 11:29:00-03:00,0.95,PUERTO SANTA ELENA
2024-04-07 17:36:00-03:00,4.43,PUERTO SANTA ELENA
2024-04-07 23:51:00-03:00,0.56,PUERTO SANTA ELENA
2024-04-08 06:08:00-03:00,4.65,PUERTO SANTA ELENA
2024-04-08 12:18:00-03:00,0.64,PUERTO SANTA ELENA
2024-04-08 18:26:00-03:00,4.7,PUERTO SANTA ELENA
2024-04-09 00:39:00-03:00,0.38,PUERTO SANTA ELENA
2024-04-09 06:52:00-03:00,4.84,PUERTO SANTA ELENA
2024-04-09 13:03:00-03:00,0.38,PUERTO SANTA ELENA
2024-04-09 19:13:00-03:00,4.89,PUERTO SANTA ELENA
2024-04-10 01:24:00-03:00,0.29,PUERTO SANTA ELENA
2024-04-10 07:34:00-03:00,4.95,PUERTO SANTA ELENA
2024-04-10 13:46:00-03:00,0.21,PUERTO SANTA ELENA
2024-04-10 19:57:00-03:00,4.99,PUERTO SANTA ELENA
2024-04-11 02:07:00-03:00,0.31,PUERTO SANTA ELENA
2024-04-11 08:15:00-03:00,4.96,PUERTO SANTA ELENA
2024-04-11 14:27:00-03:00,0.15,PUERTO SANTA ELENA
2024-04-11 20:41:00-03:00,4.98,PUERTO SANTA ELENA
2024-04-12 02:49:00-03:00,0.42,PUERTO SANTA ELENA
2024-04-12 08:56:00-03:00,4.87,PUERTO SANTA ELENA
2024-04-12 15:09:00-03:00,0.2,PUERTO SANTA ELENA
2024-04-12 21:25:00-03:00,4.86,PUERTO SANTA ELENA
2024-04-13 03:32:00-03:00,0.63,PUERTO SANTA ELENA
2024-04-13 09:37:00-03:00,4.69,PUERTO SANTA ELENA
2024-04-13 15:53:00-03:00,0.34,PUERTO SANTA ELENA
2024-04-13 22:11:00-03:00,4.65,PUERTO SANTA ELENA
2024-04-14 04:17:00-03:00,0.91,PUERTO SANTA ELENA
2024-04-14 10:20:00-03:00,4.44,PUERTO SANTA ELENA
2024-04-14 16:38:00-03:00,0.57,PUERTO SANTA ELENA
2024-04-14 23:00:00-03:00,4.38,PUERTO SANTA ELENA
2024-04-15 05:05:00-03:00,1.22,PUERTO SANTA ELENA
2024-04-15 11:06:00-03:00,4.14,PUERTO SANTA ELENA
2024-04-15 17:28:00-03:00,0.83,PUERTO SANTA ELENA
2024-04-15 23:55:00-03:00,4.1,PUERTO SANTA ELENA
2024-04-16 06:01:00-03:00,1.53,PUERTO SANTA ELENA
2024-04-16 12:00:00-03:00,3.85,PUERTO SANTA ELENA
2024-04-16 18:26:00-03:00,1.1,PUERTO SANTA ELENA
2024-04-17 01:00:00-03:00,3.87,PUERTO SANTA ELENA
2024-04-17 07:07:00-03:00,1.76,PUERTO SANTA ELENA
2024-04-17 13:05:00-03:00,3.61,PUERTO SANTA ELENA
2024-04-17 19:34:00-03:00,1.3,PUERTO SANTA ELENA
2024-04-18 02:13:00-03:00,3.73,PUERTO SANTA ELENA
2024-04-18 08:24:00-03:00,1.86,PUERTO SANTA ELENA
2024-04-18 14:21:00-03:00,3.5,PUERTO SANTA ELENA
2024-04-18 20:48:00-03:00,1.39,PUERTO SANTA ELENA
2024-04-19 03:26:00-03:00,3.73,PUERTO SANTA ELENA
2024-04-19 09:39:00-03:00,1.8,PUERTO SANTA ELENA
2024-04-19 15:36:00-03:00,3.53,PUERTO SANTA ELENA
2024-04-19 21:57:00-03:00,1.36,PUERTO SANTA ELENA
2024-04-20 04:27:00-03:00,3.82,PUERTO SANTA ELENA
2024-04-20 10:39:00-03:00,1.64,PUERTO SANTA ELENA
2024-04-20 16:38:00-03:00,3.67,PUERTO SANTA ELENA
2024-04-20 22:53:00-03:00,1.27,PUERTO SANTA ELENA
2024-04-21 05:15:00-03:00,3.94,PUERTO SANTA ELENA
2024-04-21 11:26:00-03:00,1.44,PUERTO SANTA ELENA
2024-04-21 17:28:00-03:00,3.85,PUERTO SANTA ELENA
2024-04-21 23:39:00-03:00,1.18,PUERTO SANTA ELENA
2024-04-22 05:54:00-03:00,4.06,PUERTO SANTA ELENA
2024-04-22 12:04:00-03:00,1.23,PUERTO SANTA ELENA
2024-04-22 18:09:00-03:00,4.03,PUERTO SANTA ELENA
2024-04-23 00:17:00-03:00,1.09,PUERTO SANTA ELENA
2024-04-23 06:28:00-03:00,4.17,PUERTO SANTA ELENA
2024-04-23 12:38:00-03:00,1.04,PUERTO SANTA ELENA
2024-04-23 18:46:00-03:00,4.18,PUERTO SANTA ELENA
2024-04-24 00:52:00-03:00,1.03,PUERTO SANTA ELENA
2024-04-24 06:59:00-03:00,4.26,PUERTO SANTA ELENA
2024-04-24 13:09:00-03:00,0.86,PUERTO SANTA ELENA
2024-04-24 19:20:00-03:00,4.31,PUERTO SANTA ELENA
2024-04-25 01:25:00-03:00,1.0,PUERTO SANTA ELENA
