datetime,height,port
2024-05-01 05:30:00-03:00,1.44,PUERTO SANTA ELENA
2024-05-01 11:31:00-03:00,4.03,PUERTO SANTA ELENA
2024-05-01 17:58:00-03:00,0.9,PUERTO SANTA ELENA
2024-05-02 00:28:00-03:00,4.05,PUERTO SANTA ELENA
2024-05-02 06:35:00-03:00,1.52,PUERTO SANTA ELENA
2024-05-02 12:38:00-03:00,3.91,PUERTO SANTA ELENA
2024-05-02 19:05:00-03:00,1.01,PUERTO SANTA ELENA
2024-05-03 01:37:00-03:00,4.03,PUERTO SANTA ELENA
2024-05-03 07:48:00-03:00,1.5,PUERTO SANTA ELENA
2024-05-03 13:53:00-03:00,3.89,PUERTO SANTA ELENA
2024-05-03 20:17:00-03:00,1.03,PUERTO SANTA ELENA
2024-05-04 02:47:00-03:00,4.1,PUERTO SANTA ELENA
2024-05-04 09:01:00-03:00,1.35,PUERTO SANTA ELENA
2024-05-04 15:07:00-03:00,3.99,PUERTO SANTA ELENA
2024-05-04 21:26:00-03:00,0.95,PUERTO SANTA ELENA
2024-05-05 03:51:00-03:00,4.27,PUERTO SANTA ELENA
2024-05-05 10:05:00-03:00,1.09,PUERTO SANTA ELENA
2024-05-05 16:14:00-03:00,4.2,PUERTO SANTA ELENA
2024-05-05 22:28:00-03:00,0.82,PUERTO SANTA ELENA
2024-05-06 04:47:00-03:00,4.46,PUERTO SANTA ELENA
2024-05-06 11:02:00-03:00,0.8,PUERTO SANTA ELENA
2024-05-06 17:12:00-03:00,4.44,PUERTO SANTA ELENA
2024-05-06 23:23:00-03:00,0.68,PUERTO SANTA ELENA
2024-05-07 05:37:00-03:00,4.64,PUERTO SANTA ELENA
2024-05-07 11:52:00-03:00,0.53,PUERTO SANTA ELENA
2024-05-07 18:04:00-03:00,4.65,PUERTO SANTA ELENA
2024-05-08 00:13:00-03:00,0.58,PUERTO SANTA ELENA
2024-05-08 06:24:00-03:00,4.78,PUERTO SANTA ELENA
2024-05-08 12:38:00-03:00,0.32,PUERTO SANTA ELENA
2024-05-08 18:53:00-03:00,4.8,PUERTO SANTA ELENA
2024-05-09 01:00:00-03:00,0.54,PUERTO SANTA ELENA
2024-05-09 07:07:00-03:00,4.83,PUERTO SANTA ELENA
2024-05-09 13:23:00-03:00,0.2,PUERTO SANTA ELENA
2024-05-09 19:39:00-03:00,4.87,PUERTO SANTA ELENA
2024-05-10 01:45:00-03:00,0.58,PUERTO SANTA ELENA
2024-05-10 07:50:00-03:00,4.81,PUERTO SANTA ELENA
2024-05-10 14:06:00-03:00,0.17,PUERTO SANTA ELENA
2024-05-10 20:25:00-03:00,4.84,PUERTO SANTA ELENA
2024-05-11 02:30:00-03:00,0.71,PUERTO SANTA ELENA
2024-05-11 08:32:00-03:00,4.7,PUERTO SANTA ELENA
2024-05-11 14:50:00-03:00,0.23,PUERTO SANTA ELENA
2024-05-11 21:10:00-03:00,4.73,PUERTO SANTA ELENA
2024-05-12 03:14:00-03:00,0.89,PUERTO SANTA ELENA
2024-05-12 09:15:00-03:00,4.53,PUERTO SANTA ELENA
2024-05-12 15:33:00-03:00,0.38,PUERTO SANTA ELENA
2024-05-12 21:57:00-03:00,4.55,PUERTO SANTA ELENA
2024-05-13 04:00:00-03:00,1.12,PUERTO SANTA ELENA
2024-05-13 09:59:00-03:00,4.3,PUERTO SANTA ELENA
2024-05-13 16:19:00-03:00,0.59,PUERTO SANTA ELENA
2024-05-13 22:46:00-03:00,4.33,PUERTO SANTA ELENA
2024-05-14 04:49:00-03:00,1.36,PUERTO SANTA ELENA
2024-05-14 10:46:00-03:00,4.05,PUERTO SANTA ELENA
2024-05-14 17:08:00-03:00,0.83,PUERTO SANTA ELENA
2024-05-14 23:38:00-03:00,4.1,PUERTO SANTA ELENA
2024-05-15 05:43:00-03:00,1.58,PUERTO SANTA ELENA
2024-05-15 11:38:00-03:00,3.8,PUERTO SANTA ELENA
2024-05-15 18:02:00-03:00,1.08,PUERTO SANTA ELENA
2024-05-16 00:36:00-03:00,3.91,PUERTO SANTA ELENA
2024-05-16 06:44:00-03:00,1.74,PUERTO SANTA ELENA
2024-05-16 12:38:00-03:00,3.61,PUERTO SANTA ELENA
2024-05-16 19:02:00-03:00,1.28,PUERTO SANTA ELENA
2024-05-17 01:39:00-03:00,3.79,PUERTO SANTA ELENA
2024-05-17 07:50:00-03:00,1.81,PUERTO SANTA ELENA
2024-05-17 13:45:00-03:00,3.5,PUERTO SANTA ELENA
2024-05-17 20:07:00-03:00,1.42,PUERTO SANTA ELENA
2024-05-18 02:41:00-03:00,3.74,PUERTO SANTA ELENA
2024-05-18 08:55:00-03:00,1.76,PUERTO SANTA ELENA
