datetime,height,port
2024-06-01 01:11:00-03:00,4.26,PUERTO SANTA ELENA
2024-06-01 07:24:00-03:00,1.24,PUERTO SANTA ELENA
2024-06-01 13:29:00-03:00,4.06,PUERTO SANTA ELENA
2024-06-01 19:48:00-03:00,0.92,PUERTO SANTA ELENA
2024-06-02 02:13:00-03:00,4.28,PUERTO SANTA ELENA
2024-06-02 08:30:00-03:00,1.13,PUERTO SANTA ELENA
2024-06-02 14:39:00-03:00,4.09,PUERTO SANTA ELENA
2024-06-02 20:53:00-03:00,0.95,PUERTO SANTA ELENA
2024-06-03 03:14:00-03:00,4.34,PUERTO SANTA ELENA
2024-06-03 09:33:00-03:00,0.96,PUERTO SANTA ELENA
2024-06-03 15:45:00-03:00,4.2,PUERTO SANTA ELENA
2024-06-03 21:56:00-03:00,0.93,PUERTO SANTA ELENA
2024-06-04 04:12:00-03:00,4.43,PUERTO SANTA ELENA
2024-06-04 10:32:00-03:00,0.76,PUERTO SANTA ELENA
2024-06-04 16:46:00-03:00,4.35,PUERTO SANTA ELENA
2024-06-04 22:54:00-03:00,0.89,PUERTO SANTA ELENA
2024-06-05 05:06:00-03:00,4.53,PUERTO SANTA ELENA
2024-06-05 11:25:00-03:00,0.56,PUERTO SANTA ELENA
2024-06-05 17:42:00-03:00,4.5,PUERTO SANTA ELENA
2024-06-05 23:49:00-03:00,0.86,PUERTO SANTA ELENA
2024-06-06 05:56:00-03:00,4.6,PUERTO SANTA ELENA
2024-06-06 12:16:00-03:00,0.4,PUERTO SANTA ELENA
2024-06-06 18:35:00-03:00,4.61,PUERTO SANTA ELENA
2024-06-07 00:40:00-03:00,0.85,PUERTO SANTA ELENA
2024-06-07 06:44:00-03:00,4.62,PUERTO SANTA ELENA
2024-06-07 13:03:00-03:00,0.3,PUERTO SANTA ELENA
2024-06-07 19:24:00-03:00,4.67,PUERTO SANTA ELENA
2024-06-08 01:28:00-03:00,0.89,PUERTO SANTA ELENA
2024-06-08 07:30:00-03:00,4.6,PUERTO SANTA ELENA
2024-06-08 13:49:00-03:00,0.27,PUERTO SANTA ELENA
2024-06-08 20:12:00-03:00,4.66,PUERTO SANTA ELENA
2024-06-09 02:15:00-03:00,0.97,PUERTO SANTA ELENA
2024-06-09 08:14:00-03:00,4.52,PUERTO SANTA ELENA
2024-06-09 14:34:00-03:00,0.32,PUERTO SANTA ELENA
2024-06-09 20:58:00-03:00,4.6,PUERTO SANTA ELENA
2024-06-10 03:01:00-03:00,1.09,PUERTO SANTA ELENA
2024-06-10 08:58:00-03:00,4.4,PUERTO SANTA ELENA
2024-06-10 15:19:00-03:00,0.43,PUERTO SANTA ELENA
2024-06-10 21:44:00-03:00,4.48,PUERTO SANTA ELENA
2024-06-11 03:47:00-03:00,1.22,PUERTO SANTA ELENA
2024-06-11 09:42:00-03:00,4.24,PUERTO SANTA ELENA
2024-06-11 16:03:00-03:00,0.6,PUERTO SANTA ELENA
2024-06-11 22:30:00-03:00,4.33,PUERTO SANTA ELENA
2024-06-12 04:33:00-03:00,1.37,PUERTO SANTA ELENA
2024-06-12 10:28:00-03:00,4.06,PUERTO SANTA ELENA
2024-06-12 16:49:00-03:00,0.8,PUERTO SANTA ELENA
2024-06-12 23:17:00-03:00,4.16,PUERTO SANTA ELENA
2024-06-13 05:21:00-03:00,1.51,PUERTO SANTA ELENA
2024-06-13 11:15:00-03:00,3.88,PUERTO SANTA ELENA
2024-06-13 17:35:00-03:00,1.01,PUERTO SANTA ELENA
2024-06-14 00:04:00-03:00,4.0,PUERTO SANTA ELENA
2024-06-14 06:11:00-03:00,1.61,PUERTO SANTA ELENA
2024-06-14 12:06:00-03:00,3.71,PUERTO SANTA ELENA
2024-06-14 18:25:00-03:00,1.22,PUERTO SANTA ELENA
2024-06-15 00:53:00-03:00,3.87,PUERTO SANTA ELENA
2024-06-15 07:04:00-03:00,1.67,PUERTO SANTA ELENA
2024-06-15 13:01:00-03:00,3.59,PUERTO SANTA ELENA
2024-06-15 19:17:00-03:00,1.4,PUERTO SANTA ELENA
2024-06-16 01:44:00-03:00,3.77,PUERTO SANTA ELENA
2024-06-16 07:58:00-03:00,1.67,PUERTO SANTA ELENA
2024-06-16 14:00:00-03:00,3.53,PUERTO SANTA ELENA
2024-06-16 20:12:00-03:00,1.53,PUERTO SANTA ELENA
2024-06-17 02:34:00-03:00,3.73,PUERTO SANTA ELENA
2024-06-17 08:53:00-03:00,1.6,PUERTO SANTA ELENA
2024-06-17 15:01:00-03:00,3.54,PUERTO SANTA ELENA
2024-06-17 21:07:00-03:00,1.61,PUERTO SANTA ELENA
2024-06-18 03:23:00-03:00,3.75,PUERTO SANTA ELENA
2024-06-18 09:45:00-03:00,1.47,PUERTO SANTA ELENA
2024-06-18 15:58:00-03:00,3.61,PUERTO SANTA ELENA
2024-06-18 22:00:00-03:00,1.62,PUERTO SANTA ELENA
2024-06-19 04:11:00-03:00,3.81,PUERTO SANTA ELENA
2024-06-19 10:34:00-03:00,1.29,PUERTO SANTA ELENA
2024-06-19 16:51:00-03:00,3.74,PUERTO SANTA ELENA
2024-06-19 22:51:00-03:00,1.58,PUERTO SANTA ELENA
2024-06-20 04:56:00-03:00,3.92,PUERTO SANTA ELENA
2024-06-20 11:20:00-03:00,1.09,PUERTO SANTA ELENA
2024-06-20 17:40:00-03:00,3.9,PUERTO SANTA ELENA
2024-06-20 23:38:00-03:00,1.51,PUERTO SANTA ELENA
2024-06-21 05:40:00-03:00,4.05,PUERTO SANTA ELENA
2024-06-21 12:04:00-03:00,0.88,PUERTO SANTA ELENA
2024-06-21 18:26:00-03:00,4.07,PUERTO SANTA ELENA
2024-06-22 00:23:00-03:00,1.41,PUERTO SANTA ELENA
2024-06-22 06:23:00-03:00,4.19,PUERTO SANTA ELENA
2024-06-22 12:47:00-03:00,0.68,PUERTO SANTA ELENA
2024-06-22 19:10:00-03:00,4.24,PUERTO SANTA ELENA
2024-06-23 01:08:00-03:00,1.3,PUERTO SANTA ELENA
2024-06-23 07:06:00-03:00,4.32,PUERTO SANTA ELENA
2024-06-23 13:30:00-03:00,0.51,PUERTO SANTA ELENA
2024-06-23 19:53:00-03:00,4.39,PUERTO SANTA ELENA
2024-06-24 01:52:00-03:00,1.19,PUERTO SANTA ELENA
2024-06-24 07:51:00-03:00,4.43,PUERTO SANTA ELENA
2024-06-24 14:13:00-03:00,0.39,PUERTO SANTA ELENA
2024-06-24 20:37:00-03:00,4.5,PUERTO SANTA ELENA
2024-06-25 02:37:00-03:00,1.09,PUERTO SANTA ELENA
2024-06-25 08:36:00-03:00,4.5,PUERTO SANTA ELENA
2024-06-25 14:58:00-03:00,0.33,PUERTO SANTA ELENA
2024-06-25 21:21:00-03:00,4.58,PUERTO SANTA ELENA
2024-06-26 03:23:00-03:00,1.03,PUERTO SANTA ELENA
2024-06-26 09:23:00-03:00,4.52,PUERTO SANTA ELENA
2024-06-26 15:44:00-03:00,0.33,PUERTO SANTA ELENA
2024-06-26 22:07:00-03:00,4.6,PUERTO SANTA ELENA
2024-06-27 04:11:00-03:00,0.99,PUERTO SANTA ELENA
2024-06-27 10:13:00-03:00,4.49,PUERTO SANTA ELENA
2024-06-27 16:32:00-03:00,0.4,PUERTO SANTA ELENA
2024-06-27 22:56:00-03:00,4.58,PUERTO SANTA ELENA
2024-06-28 05:02:00-03:00,0.98,PUERTO SANTA ELENA
2024-06-28 11:05:00-03:00,4.42,PUERTO SANTA ELENA
2024-06-28 17:23:00-03:00,0.53,PUERTO SANTA ELENA
2024-06-28 23:46:00-03:00,4.53,PUERTO SANTA ELENA
2024-06-29 05:56:00-03:00,0.98,PUERTO SANTA ELENA
2024-06-29 12:01:00-03:00,4.32,PUERTO SANTA ELENA
2024-06-29 18:18:00-03:00,0.69,PUERTO SANTA ELENA
2024-06-30 00:40:00-03:00,4.45,PUERTO SANTA ELENA
2024-06-30 06:54:00-03:00,0.99,PUERTO SANTA ELENA
2024-06-30 13:02:00-03:00,4.22,PUERTO SANTA ELENA
2024-06-30 19:16:00-03:00,0.86,PUERTO SANTA ELENA
