datetime,height,port
2024-07-01 01:37:00-03:00,4.38,PUERTO SANTA ELENA
2024-07-01 07:55:00-03:00,0.97,PUERTO SANTA ELENA
2024-07-01 14:07:00-03:00,4.15,PUERTO SANTA ELENA
2024-07-01 20:19:00-03:00,1.01,PUERTO SANTA ELENA
2024-07-02 02:37:00-03:00,4.32,PUERTO SANTA ELENA
2024-07-02 08:59:00-03:00,0.92,PUERTO SANTA ELENA
2024-07-02 15:15:00-03:00,4.14,PUERTO SANTA ELENA
2024-07-02 21:23:00-03:00,1.12,PUERTO SANTA ELENA
2024-07-03 03:38:00-03:00,4.3,PUERTO SANTA ELENA
2024-07-03 10:01:00-03:00,0.82,PUERTO SANTA ELENA
2024-07-03 16:21:00-03:00,4.19,PUERTO SANTA ELENA
2024-07-03 22:27:00-03:00,1.16,PUERTO SANTA ELENA
2024-07-04 04:37:00-03:00,4.31,PUERTO SANTA ELENA
2024-07-04 11:01:00-03:00,0.7,PUERTO SANTA ELENA
2024-07-04 17:23:00-03:00,4.29,PUERTO SANTA ELENA
2024-07-04 23:28:00-03:00,1.16,PUERTO SANTA ELENA
2024-07-05 05:33:00-03:00,4.35,PUERTO SANTA ELENA
2024-07-05 11:57:00-03:00,0.57,PUERTO SANTA ELENA
2024-07-05 18:21:00-03:00,4.39,PUERTO SANTA ELENA
2024-07-06 00:24:00-03:00,1.14,PUERTO SANTA ELENA
2024-07-06 06:26:00-03:00,4.39,PUERTO SANTA ELENA
2024-07-06 12:49:00-03:00,0.47,PUERTO SANTA ELENA
2024-07-06 19:13:00-03:00,4.48,PUERTO SANTA ELENA
2024-07-07 01:16:00-03:00,1.12,PUERTO SANTA ELENA
2024-07-07 07:15:00-03:00,4.41,PUERTO SANTA ELENA
2024-07-07 13:36:00-03:00,0.41,PUERTO SANTA ELENA
2024-07-07 20:01:00-03:00,4.53,PUERTO SANTA ELENA
2024-07-08 02:03:00-03:00,1.12,PUERTO SANTA ELENA
2024-07-08 08:01:00-03:00,4.4,PUERTO SANTA ELENA
2024-07-08 14:21:00-03:00,0.41,PUERTO SANTA ELENA
2024-07-08 20:46:00-03:00,4.52,PUERTO SANTA ELENA
2024-07-09 02:48:00-03:00,1.14,PUERTO SANTA ELENA
2024-07-09 08:44:00-03:00,4.35,PUERTO SANTA ELENA
2024-07-09 15:04:00-03:00,0.47,PUERTO SANTA ELENA
2024-07-09 21:28:00-03:00,4.47,PUERTO SANTA ELENA
