datetime,height,port
2024-08-01 03:06:00-03:00,4.09,PUERTO SANTA ELENA
2024-08-01 09:34:00-03:00,0.97,PUERTO SANTA ELENA
2024-08-01 16:00:00-03:00,4.01,PUERTO SANTA ELENA
2024-08-01 22:06:00-03:00,1.44,PUERTO SANTA ELENA
2024-08-02 04:13:00-03:00,4.05,PUERTO SANTA ELENA
2024-08-02 10:41:00-03:00,0.89,PUERTO SANTA ELENA
2024-08-02 17:09:00-03:00,4.09,PUERTO SANTA ELENA
2024-08-02 23:14:00-03:00,1.41,PUERTO SANTA ELENA
2024-08-03 05:16:00-03:00,4.1,PUERTO SANTA ELENA
2024-08-03 11:42:00-03:00,0.76,PUERTO SANTA ELENA
2024-08-03 18:09:00-03:00,4.23,PUERTO SANTA ELENA
2024-08-04 00:13:00-03:00,1.33,PUERTO SANTA ELENA
2024-08-04 06:13:00-03:00,4.19,PUERTO SANTA ELENA
2024-08-04 12:36:00-03:00,0.63,PUERTO SANTA ELENA
2024-08-04 19:01:00-03:00,4.36,PUERTO SANTA ELENA
2024-08-05 01:04:00-03:00,1.22,PUERTO SANTA ELENA
2024-08-05 07:03:00-03:00,4.28,PUERTO SANTA ELENA
2024-08-05 13:23:00-03:00,0.54,PUERTO SANTA ELENA
2024-08-05 19:47:00-03:00,4.45,PUERTO SANTA ELENA
2024-08-06 01:49:00-03:00,1.14,PUERTO SANTA ELENA
2024-08-06 07:47:00-03:00,4.35,PUERTO SANTA ELENA
2024-08-06 14:05:00-03:00,0.5,PUERTO SANTA ELENA
2024-08-06 20:27:00-03:00,4.49,PUERTO SANTA ELENA
2024-08-07 02:29:00-03:00,1.08,PUERTO SANTA ELENA
2024-08-07 08:28:00-03:00,4.38,PUERTO SANTA ELENA
2024-08-07 14:44:00-03:00,0.52,PUERTO SANTA ELENA
2024-08-07 21:04:00-03:00,4.47,PUERTO SANTA ELENA
2024-08-08 03:06:00-03:00,1.06,PUERTO SANTA ELENA
2024-08-08 09:05:00-03:00,4.36,PUERTO SANTA ELENA
2024-08-08 15:20:00-03:00,0.61,PUERTO SANTA ELENA
2024-08-08 21:38:00-03:00,4.41,PUERTO SANTA ELENA
2024-08-09 03:41:00-03:00,1.07,PUERTO SANTA ELENA
2024-08-09 09:41:00-03:00,4.29,PUERTO SANTA ELENA
2024-08-09 15:54:00-03:00,0.75,PUERTO SANTA ELENA
2024-08-09 22:10:00-03:00,4.31,PUERTO SANTA ELENA
2024-08-10 04:14:00-03:00,1.11,PUERTO SANTA ELENA
2024-08-10 10:17:00-03:00,4.19,PUERTO SANTA ELENA
2024-08-10 16:28:00-03:00,0.93,PUERTO SANTA ELENA
2024-08-10 22:41:00-03:00,4.19,PUERTO SANTA ELENA
2024-08-11 04:48:00-03:00,1.16,PUERTO SANTA ELENA
2024-08-11 10:53:00-03:00,4.06,PUERTO SANTA ELENA
2024-08-11 17:02:00-03:00,1.13,PUERTO SANTA ELENA
2024-08-11 23:14:00-03:00,4.06,PUERTO SANTA ELENA
2024-08-12 05:25:00-03:00,1.23,PUERTO SANTA ELENA
2024-08-12 11:33:00-03:00,3.9,PUERTO SANTA ELENA
2024-08-12 17:39:00-03:00,1.34,PUERTO SANTA ELENA
2024-08-12 23:50:00-03:00,3.93,PUERTO SANTA ELENA
2024-08-13 06:06:00-03:00,1.3,PUERTO SANTA ELENA
2024-08-13 12:19:00-03:00,3.75,PUERTO SANTA ELENA
2024-08-13 18:22:00-03:00,1.56,PUERTO SANTA ELENA
2024-08-14 00:32:00-03:00,3.81,PUERTO SANTA ELENA
2024-08-14 06:56:00-03:00,1.37,PUERTO SANTA ELENA
2024-08-14 13:15:00-03:00,3.61,PUERTO SANTA ELENA
2024-08-14 19:16:00-03:00,1.74,PUERTO SANTA ELENA
2024-08-15 01:25:00-03:00,3.7,PUERTO SANTA ELENA
2024-08-15 07:57:00-03:00,1.41,PUERTO SANTA ELENA
2024-08-15 14:23:00-03:00,3.54,PUERTO SANTA ELENA
2024-08-15 20:22:00-03:00,1.86,PUERTO SANTA ELENA
2024-08-16 02:30:00-03:00,3.66,PUERTO SANTA ELENA
2024-08-16 09:06:00-03:00,1.36,PUERTO SANTA ELENA
2024-08-16 15:38:00-03:00,3.59,PUERTO SANTA ELENA
2024-08-16 21:37:00-03:00,1.85,PUERTO SANTA ELENA
2024-08-17 03:41:00-03:00,3.72,PUERTO SANTA ELENA
2024-08-17 10:16:00-03:00,1.21,PUERTO SANTA ELENA
2024-08-17 16:46:00-03:00,3.76,PUERTO SANTA ELENA
2024-08-17 22:47:00-03:00,1.7,PUERTO SANTA ELENA
2024-08-18 04:48:00-03:00,3.89,PUERTO SANTA ELENA
2024-08-18 11:17:00-03:00,0.97,PUERTO SANTA ELENA
2024-08-18 17:44:00-03:00,4.02,PUERTO SANTA ELENA
2024-08-18 23:46:00-03:00,1.45,PUERTO SANTA ELENA
2024-08-19 05:47:00-03:00,4.14,PUERTO SANTA ELENA
2024-08-19 12:11:00-03:00,0.71,PUERTO SANTA ELENA
2024-08-19 18:34:00-03:00,4.31,PUERTO SANTA ELENA
2024-08-20 00:36:00-03:00,1.16,PUERTO SANTA ELENA
2024-08-20 06:38:00-03:00,4.41,PUERTO SANTA ELENA
2024-08-20 12:58:00-03:00,0.46,PUERTO SANTA ELENA
2024-08-20 19:19:00-03:00,4.57,PUERTO SANTA ELENA
2024-08-21 01:22:00-03:00,0.87,PUERTO SANTA ELENA
2024-08-21 07:26:00-03:00,4.65,PUERTO SANTA ELENA
2024-08-21 13:43:00-03:00,0.26,PUERTO SANTA ELENA
2024-08-21 20:01:00-03:00,4.78,PUERTO SANTA ELENA
2024-08-22 02:06:00-03:00,0.63,PUERTO SANTA ELENA
2024-08-22 08:11:00-03:00,4.83,PUERTO SANTA ELENA
2024-08-22 14:26:00-03:00,0.15,PUERTO SANTA ELENA
2024-08-22 20:42:00-03:00,4.91,PUERTO SANTA ELENA
2024-08-23 02:49:00-03:00,0.47,PUERTO SANTA ELENA
2024-08-23 08:55:00-03:00,4.92,PUERTO SANTA ELENA
2024-08-23 15:09:00-03:00,0.15,PUERTO SANTA ELENA
2024-08-23 21:23:00-03:00,4.95,PUERTO SANTA ELENA
2024-08-24 03:31:00-03:00,0.39,PUERTO SANTA ELENA
2024-08-24 09:39:00-03:00,4.91,PUERTO SANTA ELENA
2024-08-24 15:52:00-03:00,0.25,PUERTO SANTA ELENA
2024-08-24 22:05:00-03:00,4.89,PUERTO SANTA ELENA
2024-08-25 04:15:00-03:00,0.4,PUERTO SANTA ELENA
2024-08-25 10:25:00-03:00,4.8,PUERTO SANTA ELENA
2024-08-25 16:36:00-03:00,0.45,PUERTO SANTA ELENA
2024-08-25 22:48:00-03:00,4.74,PUERTO SANTA ELENA
2024-08-26 05:01:00-03:00,0.51,PUERTO SANTA ELENA
2024-08-26 11:14:00-03:00,4.6,PUERTO SANTA ELENA
2024-08-26 17:24:00-03:00,0.73,PUERTO SANTA ELENA
2024-08-26 23:35:00-03:00,4.52,PUERTO SANTA ELENA
2024-08-27 05:52:00-03:00,0.68,PUERTO SANTA ELENA
2024-08-27 12:08:00-03:00,4.34,PUERTO SANTA ELENA
2024-08-27 18:17:00-03:00,1.05,PUERTO SANTA ELENA
2024-08-28 00:27:00-03:00,4.27,PUERTO SANTA ELENA
2024-08-28 06:49:00-03:00,0.88,PUERTO SANTA ELENA
2024-08-28 13:10:00-03:00,4.09,PUERTO SANTA ELENA
2024-08-28 19:18:00-03:00,1.36,PUERTO SANTA ELENA
2024-08-29 01:28:00-03:00,4.02,PUERTO SANTA ELENA
2024-08-29 07:55:00-03:00,1.05,PUERTO SANTA ELENA
2024-08-29 14:23:00-03:00,3.91,PUERTO SANTA ELENA
2024-08-29 20:31:00-03:00,1.57,PUERTO SANTA ELENA
2024-08-30 02:39:00-03:00,3.86,PUERTO SANTA ELENA
2024-08-30 09:09:00-03:00,1.12,PUERTO SANTA ELENA
2024-08-30 15:42:00-03:00,3.88,PUERTO SANTA ELENA
2024-08-30 21:50:00-03:00,1.63,PUERTO SANTA ELENA
2024-08-31 03:54:00-03:00,3.83,PUERTO SANTA ELENA
2024-08-31 10:23:00-03:00,1.07,PUERTO SANTA ELENA
2024-08-31 16:55:00-03:00,3.98,PUERTO SANTA ELENA
2024-08-31 23:02:00-03:00,1.55,PUERTO SANTA ELENA
