datetime,height,port
2024-11-01 05:49:00-03:00,1.74,PUERTO VANCOUVER (Isla de los Estados)
2024-11-01 12:27:00-03:00,0.38,PUERTO VANCOUVER (Isla de los Estados)
2024-11-01 18:50:00-03:00,1.59,PUERTO VANCOUVER (Isla de los Estados)
2024-11-02 00:20:00-03:00,0.82,PUERTO VANCOUVER (Isla de los Estados)
2024-11-02 06:16:00-03:00,1.8,PUERTO VANCOUVER (Isla de los Estados)
2024-11-02 13:02:00-03:00,0.31,PUERTO VANCOUVER (Isla de los Estados)
2024-11-02 19:28:00-03:00,1.57,PUERTO VANCOUVER (Isla de los Estados)
2024-11-03 00:48:00-03:00,0.86,PUERTO VANCOUVER (Isla de los Estados)
2024-11-03 06:45:00-03:00,1.86,PUERTO VANCOUVER (Isla de los Estados)
2024-11-03 13:38:00-03:00,0.26,PUERTO VANCOUVER (Isla de los Estados)
2024-11-03 20:06:00-03:00,1.54,PUERTO VANCOUVER (Isla de los Estados)
2024-11-04 01:18:00-03:00,0.88,PUERTO VANCOUVER (Isla de los Estados)
2024-11-04 07:18:00-03:00,1.9,PUERTO VANCOUVER (Isla de los Estados)
2024-11-04 14:16:00-03:00,0.24,PUERTO VANCOUVER (Isla de los Estados)
2024-11-04 20:46:00-03:00,1.52,PUERTO VANCOUVER (Isla de los Estados)
2024-11-05 01:52:00-03:00,0.9,PUERTO VANCOUVER (Isla de los Estados)
2024-11-05 07:55:00-03:00,1.91,PUERTO VANCOUVER (Isla de los Estados)
2024-11-05 14:57:00-03:00,0.24,PUERTO VANCOUVER (Isla de los Estados)
2024-11-05 21:28:00-03:00,1.49,PUERTO VANCOUVER (Isla de los Estados)
2024-11-06 02:32:00-03:00,0.91,PUERTO VANCOUVER (Isla de los Estados)
2024-11-06 08:38:00-03:00,1.89,PUERTO VANCOUVER (Isla de los Estados)
2024-11-06 15:43:00-03:00,0.27,PUERTO VANCOUVER (Isla de los Estados)
2024-11-06 22:16:00-03:00,1.47,PUERTO VANCOUVER (Isla de los Estados)
2024-11-07 03:21:00-03:00,0.92,PUERTO VANCOUVER (Isla de los Estados)
2024-11-07 09:27:00-03:00,1.84,PUERTO VANCOUVER (Isla de los Estados)
2024-11-07 16:33:00-03:00,0.33,PUERTO VANCOUVER (Isla de los Estados)
2024-11-07 23:09:00-03:00,1.47,PUERTO VANCOUVER (Isla de los Estados)
2024-11-08 04:20:00-03:00,0.93,PUERTO VANCOUVER (Isla de los Estados)
2024-11-08 10:25:00-03:00,1.77,PUERTO VANCOUVER (Isla de los Estados)
2024-11-08 17:29:00-03:00,0.39,PUERTO VANCOUVER (Isla de los Estados)
2024-11-09 00:07:00-03:00,1.49,PUERTO VANCOUVER (Isla de los Estados)
2024-11-09 05:32:00-03:00,0.91,PUERTO VANCOUVER (Isla de los Estados)
2024-11-09 11:33:00-03:00,1.7,PUERTO VANCOUVER (Isla de los Estados)
2024-11-09 18:29:00-03:00,0.44,PUERTO VANCOUVER (Isla de los Estados)
2024-11-10 01:07:00-03:00,1.55,PUERTO VANCOUVER (Isla de los Estados)
2024-11-10 06:50:00-03:00,0.85,PUERTO VANCOUVER (Isla de los Estados)
2024-11-10 12:51:00-03:00,1.66,PUERTO VANCOUVER (Isla de los Estados)
2024-11-10 19:31:00-03:00,0.49,PUERTO VANCOUVER (Isla de los Estados)
2024-11-11 02:04:00-03:00,1.62,PUERTO VANCOUVER (Isla de los Estados)
