datetime,height,port
2024-02-01 04:35:00-03:00,0.7,PUERTO VANCOUVER (Isla de los Estados)
2024-02-01 10:37:00-03:00,1.51,PUERTO VANCOUVER (Isla de los Estados)
2024-02-01 16:37:00-03:00,0.71,PUERTO VANCOUVER (Isla de los Estados)
2024-02-01 22:57:00-03:00,1.65,PUERTO VANCOUVER (Isla de los Estados)
2024-02-02 05:28:00-03:00,0.66,PUERTO VANCOUVER (Isla de los Estados)
2024-02-02 11:31:00-03:00,1.42,PUERTO VANCOUVER (Isla de los Estados)
2024-02-02 17:12:00-03:00,0.8,PUERTO VANCOUVER (Isla de los Estados)
2024-02-02 23:37:00-03:00,1.68,PUERTO VANCOUVER (Isla de los Estados)
2024-02-03 06:28:00-03:00,0.62,PUERTO VANCOUVER (Isla de los Estados)
2024-02-03 12:36:00-03:00,1.34,PUERTO VANCOUVER (Isla de los Estados)
2024-02-03 17:56:00-03:00,0.87,PUERTO VANCOUVER (Isla de los Estados)
2024-02-04 00:26:00-03:00,1.72,PUERTO VANCOUVER (Isla de los Estados)
2024-02-04 07:34:00-03:00,0.57,PUERTO VANCOUVER (Isla de los Estados)
2024-02-04 13:52:00-03:00,1.3,PUERTO VANCOUVER (Isla de los Estados)
2024-02-04 18:51:00-03:00,0.93,PUERTO VANCOUVER (Isla de los Estados)
2024-02-05 01:22:00-03:00,1.76,PUERTO VANCOUVER (Isla de los Estados)
2024-02-05 08:41:00-03:00,0.5,PUERTO VANCOUVER (Isla de los Estados)
2024-02-05 15:10:00-03:00,1.31,PUERTO VANCOUVER (Isla de los Estados)
2024-02-05 19:58:00-03:00,0.96,PUERTO VANCOUVER (Isla de los Estados)
2024-02-06 02:25:00-03:00,1.8,PUERTO VANCOUVER (Isla de los Estados)
2024-02-06 09:44:00-03:00,0.41,PUERTO VANCOUVER (Isla de los Estados)
2024-02-06 16:17:00-03:00,1.37,PUERTO VANCOUVER (Isla de los Estados)
2024-02-06 21:09:00-03:00,0.95,PUERTO VANCOUVER (Isla de los Estados)
2024-02-07 03:28:00-03:00,1.86,PUERTO VANCOUVER (Isla de los Estados)
2024-02-07 10:41:00-03:00,0.31,PUERTO VANCOUVER (Isla de los Estados)
2024-02-07 17:12:00-03:00,1.45,PUERTO VANCOUVER (Isla de los Estados)
2024-02-07 22:16:00-03:00,0.89,PUERTO VANCOUVER (Isla de los Estados)
2024-02-08 04:28:00-03:00,1.93,PUERTO VANCOUVER (Isla de los Estados)
2024-02-08 11:31:00-03:00,0.23,PUERTO VANCOUVER (Isla de los Estados)
2024-02-08 17:59:00-03:00,1.54,PUERTO VANCOUVER (Isla de los Estados)
2024-02-08 23:15:00-03:00,0.81,PUERTO VANCOUVER (Isla de los Estados)
2024-02-09 05:23:00-03:00,1.99,PUERTO VANCOUVER (Isla de los Estados)
2024-02-09 12:18:00-03:00,0.17,PUERTO VANCOUVER (Isla de los Estados)
2024-02-09 18:42:00-03:00,1.63,PUERTO VANCOUVER (Isla de los Estados)
2024-02-10 00:09:00-03:00,0.71,PUERTO VANCOUVER (Isla de los Estados)
2024-02-10 06:16:00-03:00,2.03,PUERTO VANCOUVER (Isla de los Estados)
2024-02-10 13:02:00-03:00,0.14,PUERTO VANCOUVER (Isla de los Estados)
2024-02-10 19:22:00-03:00,1.71,PUERTO VANCOUVER (Isla de los Estados)
2024-02-11 01:00:00-03:00,0.61,PUERTO VANCOUVER (Isla de los Estados)
2024-02-11 07:07:00-03:00,2.04,PUERTO VANCOUVER (Isla de los Estados)
2024-02-11 13:45:00-03:00,0.15,PUERTO VANCOUVER (Isla de los Estados)
2024-02-11 20:02:00-03:00,1.78,PUERTO VANCOUVER (Isla de los Estados)
2024-02-12 01:49:00-03:00,0.53,PUERTO VANCOUVER (Isla de los Estados)
2024-02-12 07:57:00-03:00,2.02,PUERTO VANCOUVER (Isla de los Estados)
2024-02-12 14:27:00-03:00,0.2,PUERTO VANCOUVER (Isla de los Estados)
2024-02-12 20:42:00-03:00,1.83,PUERTO VANCOUVER (Isla de los Estados)
2024-02-13 02:38:00-03:00,0.47,PUERTO VANCOUVER (Isla de los Estados)
2024-02-13 08:47:00-03:00,1.96,PUERTO VANCOUVER (Isla de los Estados)
2024-02-13 15:09:00-03:00,0.29,PUERTO VANCOUVER (Isla de los Estados)
2024-02-13 21:23:00-03:00,1.85,PUERTO VANCOUVER (Isla de los Estados)
2024-02-14 03:29:00-03:00,0.44,PUERTO VANCOUVER (Isla de los Estados)
2024-02-14 09:38:00-03:00,1.86,PUERTO VANCOUVER (Isla de los Estados)
2024-02-14 15:52:00-03:00,0.41,PUERTO VANCOUVER (Isla de los Estados)
2024-02-14 22:06:00-03:00,1.85,PUERTO VANCOUVER (Isla de los Estados)
2024-02-15 04:22:00-03:00,0.43,PUERTO VANCOUVER (Isla de los Estados)
2024-02-15 10:33:00-03:00,1.74,PUERTO VANCOUVER (Isla de los Estados)
2024-02-15 16:36:00-03:00,0.54,PUERTO VANCOUVER (Isla de los Estados)
2024-02-15 22:50:00-03:00,1.83,PUERTO VANCOUVER (Isla de los Estados)
2024-02-16 05:20:00-03:00,0.44,PUERTO VANCOUVER (Isla de los Estados)
2024-02-16 11:35:00-03:00,1.61,PUERTO VANCOUVER (Isla de los Estados)
2024-02-16 17:24:00-03:00,0.69,PUERTO VANCOUVER (Isla de los Estados)
2024-02-16 23:39:00-03:00,1.8,PUERTO VANCOUVER (Isla de los Estados)
2024-02-17 06:24:00-03:00,0.45,PUERTO VANCOUVER (Isla de los Estados)
2024-02-17 12:46:00-03:00,1.5,PUERTO VANCOUVER (Isla de los Estados)
