datetime,height,port
2024-03-01 04:02:00-03:00,0.52,PUERTO VANCOUVER (Isla de los Estados)
2024-03-01 10:14:00-03:00,1.51,PUERTO VANCOUVER (Isla de los Estados)
2024-03-01 15:53:00-03:00,0.77,PUERTO VANCOUVER (Isla de los Estados)
2024-03-01 22:06:00-03:00,1.75,PUERTO VANCOUVER (Isla de los Estados)
2024-03-02 04:51:00-03:00,0.51,PUERTO VANCOUVER (Isla de los Estados)
2024-03-02 11:06:00-03:00,1.43,PUERTO VANCOUVER (Isla de los Estados)
2024-03-02 16:30:00-03:00,0.84,PUERTO VANCOUVER (Isla de los Estados)
2024-03-02 22:49:00-03:00,1.76,PUERTO VANCOUVER (Isla de los Estados)
2024-03-03 05:50:00-03:00,0.51,PUERTO VANCOUVER (Isla de los Estados)
2024-03-03 12:09:00-03:00,1.35,PUERTO VANCOUVER (Isla de los Estados)
2024-03-03 17:17:00-03:00,0.9,PUERTO VANCOUVER (Isla de los Estados)
2024-03-03 23:43:00-03:00,1.76,PUERTO VANCOUVER (Isla de los Estados)
2024-03-04 06:57:00-03:00,0.5,PUERTO VANCOUVER (Isla de los Estados)
2024-03-04 13:25:00-03:00,1.32,PUERTO VANCOUVER (Isla de los Estados)
2024-03-04 18:21:00-03:00,0.96,PUERTO VANCOUVER (Isla de los Estados)
2024-03-05 00:47:00-03:00,1.76,PUERTO VANCOUVER (Isla de los Estados)
2024-03-05 08:08:00-03:00,0.47,PUERTO VANCOUVER (Isla de los Estados)
2024-03-05 14:43:00-03:00,1.34,PUERTO VANCOUVER (Isla de los Estados)
2024-03-05 19:40:00-03:00,0.97,PUERTO VANCOUVER (Isla de los Estados)
2024-03-06 02:00:00-03:00,1.77,PUERTO VANCOUVER (Isla de los Estados)
2024-03-06 09:16:00-03:00,0.42,PUERTO VANCOUVER (Isla de los Estados)
2024-03-06 15:50:00-03:00,1.42,PUERTO VANCOUVER (Isla de los Estados)
2024-03-06 21:00:00-03:00,0.92,PUERTO VANCOUVER (Isla de los Estados)
2024-03-07 03:13:00-03:00,1.82,PUERTO VANCOUVER (Isla de los Estados)
2024-03-07 10:15:00-03:00,0.35,PUERTO VANCOUVER (Isla de los Estados)
2024-03-07 16:44:00-03:00,1.52,PUERTO VANCOUVER (Isla de los Estados)
2024-03-07 22:08:00-03:00,0.81,PUERTO VANCOUVER (Isla de los Estados)
2024-03-08 04:18:00-03:00,1.88,PUERTO VANCOUVER (Isla de los Estados)
2024-03-08 11:07:00-03:00,0.29,PUERTO VANCOUVER (Isla de los Estados)
2024-03-08 17:30:00-03:00,1.62,PUERTO VANCOUVER (Isla de los Estados)
2024-03-08 23:07:00-03:00,0.68,PUERTO VANCOUVER (Isla de los Estados)
2024-03-09 05:16:00-03:00,1.95,PUERTO VANCOUVER (Isla de los Estados)
2024-03-09 11:54:00-03:00,0.25,PUERTO VANCOUVER (Isla de los Estados)
2024-03-09 18:11:00-03:00,1.73,PUERTO VANCOUVER (Isla de los Estados)
2024-03-09 23:59:00-03:00,0.55,PUERTO VANCOUVER (Isla de los Estados)
2024-03-10 06:09:00-03:00,1.99,PUERTO VANCOUVER (Isla de los Estados)
2024-03-10 12:38:00-03:00,0.25,PUERTO VANCOUVER (Isla de los Estados)
2024-03-10 18:51:00-03:00,1.81,PUERTO VANCOUVER (Isla de los Estados)
2024-03-11 00:48:00-03:00,0.43,PUERTO VANCOUVER (Isla de los Estados)
2024-03-11 06:59:00-03:00,2.0,PUERTO VANCOUVER (Isla de los Estados)
2024-03-11 13:20:00-03:00,0.28,PUERTO VANCOUVER (Isla de los Estados)
2024-03-11 19:30:00-03:00,1.87,PUERTO VANCOUVER (Isla de los Estados)
2024-03-12 01:35:00-03:00,0.34,PUERTO VANCOUVER (Isla de los Estados)
2024-03-12 07:48:00-03:00,1.98,PUERTO VANCOUVER (Isla de los Estados)
2024-03-12 14:01:00-03:00,0.34,PUERTO VANCOUVER (Isla de los Estados)
2024-03-12 20:09:00-03:00,1.91,PUERTO VANCOUVER (Isla de los Estados)
2024-03-13 02:21:00-03:00,0.29,PUERTO VANCOUVER (Isla de los Estados)
2024-03-13 08:37:00-03:00,1.91,PUERTO VANCOUVER (Isla de los Estados)
2024-03-13 14:42:00-03:00,0.44,PUERTO VANCOUVER (Isla de los Estados)
2024-03-13 20:48:00-03:00,1.91,PUERTO VANCOUVER (Isla de los Estados)
2024-03-14 03:09:00-03:00,0.28,PUERTO VANCOUVER (Isla de los Estados)
2024-03-14 09:27:00-03:00,1.81,PUERTO VANCOUVER (Isla de los Estados)
2024-03-14 15:23:00-03:00,0.56,PUERTO VANCOUVER (Isla de los Estados)
2024-03-14 21:28:00-03:00,1.89,PUERTO VANCOUVER (Isla de los Estados)
2024-03-15 04:00:00-03:00,0.3,PUERTO VANCOUVER (Isla de los Estados)
2024-03-15 10:21:00-03:00,1.69,PUERTO VANCOUVER (Isla de los Estados)
2024-03-15 16:06:00-03:00,0.7,PUERTO VANCOUVER (Isla de los Estados)
2024-03-15 22:11:00-03:00,1.84,PUERTO VANCOUVER (Isla de los Estados)
2024-03-16 04:55:00-03:00,0.34,PUERTO VANCOUVER (Isla de los Estados)
2024-03-16 11:22:00-03:00,1.57,PUERTO VANCOUVER (Isla de los Estados)
2024-03-16 16:54:00-03:00,0.83,PUERTO VANCOUVER (Isla de los Estados)
2024-03-16 22:59:00-03:00,1.78,PUERTO VANCOUVER (Isla de los Estados)
2024-03-17 05:56:00-03:00,0.4,PUERTO VANCOUVER (Isla de los Estados)
2024-03-17 12:33:00-03:00,1.47,PUERTO VANCOUVER (Isla de los Estados)
2024-03-17 17:50:00-03:00,0.95,PUERTO VANCOUVER (Isla de los Estados)
2024-03-17 23:54:00-03:00,1.71,PUERTO VANCOUVER (Isla de los Estados)
2024-03-18 07:06:00-03:00,0.44,PUERTO VANCOUVER (Isla de los Estados)
2024-03-18 13:56:00-03:00,1.42,PUERTO VANCOUVER (Isla de los Estados)
2024-03-18 18:59:00-03:00,1.03,PUERTO VANCOUVER (Isla de los Estados)
2024-03-19 01:00:00-03:00,1.65,PUERTO VANCOUVER (Isla de los Estados)
2024-03-19 08:19:00-03:00,0.46,PUERTO VANCOUVER (Isla de los Estados)
2024-03-19 15:16:00-03:00,1.42,PUERTO VANCOUVER (Isla de los Estados)
2024-03-19 20:20:00-03:00,1.05,PUERTO VANCOUVER (Isla de los Estados)
2024-03-20 02:13:00-03:00,1.63,PUERTO VANCOUVER (Isla de los Estados)
