datetime,height,port
2024-04-01 05:21:00-03:00,0.41,PUERTO VANCOUVER (Isla de los Estados)
2024-04-01 11:51:00-03:00,1.4,PUERTO VANCOUVER (Isla de los Estados)
2024-04-01 16:57:00-03:00,0.93,PUERTO VANCOUVER (Isla de los Estados)
2024-04-01 23:13:00-03:00,1.78,PUERTO VANCOUVER (Isla de los Estados)
2024-04-02 06:26:00-03:00,0.44,PUERTO VANCOUVER (Isla de los Estados)
2024-04-02 13:03:00-03:00,1.39,PUERTO VANCOUVER (Isla de los Estados)
2024-04-02 18:10:00-03:00,0.96,PUERTO VANCOUVER (Isla de los Estados)
2024-04-03 00:24:00-03:00,1.73,PUERTO VANCOUVER (Isla de los Estados)
2024-04-03 07:36:00-03:00,0.45,PUERTO VANCOUVER (Isla de los Estados)
2024-04-03 14:15:00-03:00,1.44,PUERTO VANCOUVER (Isla de los Estados)
2024-04-03 19:34:00-03:00,0.93,PUERTO VANCOUVER (Isla de los Estados)
2024-04-04 01:43:00-03:00,1.73,PUERTO VANCOUVER (Isla de los Estados)
2024-04-04 08:44:00-03:00,0.43,PUERTO VANCOUVER (Isla de los Estados)
2024-04-04 15:18:00-03:00,1.52,PUERTO VANCOUVER (Isla de los Estados)
2024-04-04 20:53:00-03:00,0.83,PUERTO VANCOUVER (Isla de los Estados)
2024-04-05 02:59:00-03:00,1.76,PUERTO VANCOUVER (Isla de los Estados)
2024-04-05 09:45:00-03:00,0.4,PUERTO VANCOUVER (Isla de los Estados)
2024-04-05 16:10:00-03:00,1.62,PUERTO VANCOUVER (Isla de los Estados)
2024-04-05 21:59:00-03:00,0.69,PUERTO VANCOUVER (Isla de los Estados)
2024-04-06 04:07:00-03:00,1.82,PUERTO VANCOUVER (Isla de los Estados)
2024-04-06 10:38:00-03:00,0.38,PUERTO VANCOUVER (Isla de los Estados)
2024-04-06 16:55:00-03:00,1.73,PUERTO VANCOUVER (Isla de los Estados)
2024-04-06 22:55:00-03:00,0.53,PUERTO VANCOUVER (Isla de los Estados)
2024-04-07 05:05:00-03:00,1.87,PUERTO VANCOUVER (Isla de los Estados)
2024-04-07 11:26:00-03:00,0.37,PUERTO VANCOUVER (Isla de los Estados)
2024-04-07 17:37:00-03:00,1.83,PUERTO VANCOUVER (Isla de los Estados)
2024-04-07 23:45:00-03:00,0.39,PUERTO VANCOUVER (Isla de los Estados)
2024-04-08 05:59:00-03:00,1.91,PUERTO VANCOUVER (Isla de los Estados)
2024-04-08 12:10:00-03:00,0.39,PUERTO VANCOUVER (Isla de los Estados)
2024-04-08 18:17:00-03:00,1.9,PUERTO VANCOUVER (Isla de los Estados)
2024-04-09 00:33:00-03:00,0.27,PUERTO VANCOUVER (Isla de los Estados)
2024-04-09 06:49:00-03:00,1.92,PUERTO VANCOUVER (Isla de los Estados)
