datetime,height,port
2024-06-01 01:08:00-03:00,1.65,PUERTO VANCOUVER (Isla de los Estados)
2024-06-01 07:31:00-03:00,0.5,PUERTO VANCOUVER (Isla de los Estados)
2024-06-01 14:00:00-03:00,1.74,PUERTO VANCOUVER (Isla de los Estados)
2024-06-01 20:18:00-03:00,0.6,PUERTO VANCOUVER (Isla de los Estados)
2024-06-02 02:23:00-03:00,1.63,PUERTO VANCOUVER (Isla de los Estados)
2024-06-02 08:30:00-03:00,0.56,PUERTO VANCOUVER (Isla de los Estados)
2024-06-02 14:52:00-03:00,1.81,PUERTO VANCOUVER (Isla de los Estados)
2024-06-02 21:22:00-03:00,0.46,PUERTO VANCOUVER (Isla de los Estados)
2024-06-03 03:34:00-03:00,1.64,PUERTO VANCOUVER (Isla de los Estados)
2024-06-03 09:27:00-03:00,0.62,PUERTO VANCOUVER (Isla de los Estados)
2024-06-03 15:42:00-03:00,1.88,PUERTO VANCOUVER (Isla de los Estados)
2024-06-03 22:20:00-03:00,0.33,PUERTO VANCOUVER (Isla de los Estados)
2024-06-04 04:39:00-03:00,1.66,PUERTO VANCOUVER (Isla de los Estados)
2024-06-04 10:20:00-03:00,0.67,PUERTO VANCOUVER (Isla de los Estados)
2024-06-04 16:29:00-03:00,1.94,PUERTO VANCOUVER (Isla de los Estados)
2024-06-04 23:13:00-03:00,0.21,PUERTO VANCOUVER (Isla de los Estados)
2024-06-05 05:38:00-03:00,1.68,PUERTO VANCOUVER (Isla de los Estados)
2024-06-05 11:11:00-03:00,0.73,PUERTO VANCOUVER (Isla de los Estados)
2024-06-05 17:14:00-03:00,1.98,PUERTO VANCOUVER (Isla de los Estados)
2024-06-06 00:03:00-03:00,0.12,PUERTO VANCOUVER (Isla de los Estados)
2024-06-06 06:33:00-03:00,1.69,PUERTO VANCOUVER (Isla de los Estados)
2024-06-06 11:59:00-03:00,0.78,PUERTO VANCOUVER (Isla de los Estados)
2024-06-06 17:58:00-03:00,2.0,PUERTO VANCOUVER (Isla de los Estados)
2024-06-07 00:51:00-03:00,0.07,PUERTO VANCOUVER (Isla de los Estados)
2024-06-07 07:25:00-03:00,1.68,PUERTO VANCOUVER (Isla de los Estados)
2024-06-07 12:45:00-03:00,0.83,PUERTO VANCOUVER (Isla de los Estados)
2024-06-07 18:41:00-03:00,1.99,PUERTO VANCOUVER (Isla de los Estados)
2024-06-08 01:37:00-03:00,0.06,PUERTO VANCOUVER (Isla de los Estados)
2024-06-08 08:15:00-03:00,1.66,PUERTO VANCOUVER (Isla de los Estados)
2024-06-08 13:30:00-03:00,0.88,PUERTO VANCOUVER (Isla de los Estados)
2024-06-08 19:23:00-03:00,1.96,PUERTO VANCOUVER (Isla de los Estados)
2024-06-09 02:23:00-03:00,0.09,PUERTO VANCOUVER (Isla de los Estados)
2024-06-09 09:04:00-03:00,1.62,PUERTO VANCOUVER (Isla de los Estados)
2024-06-09 14:15:00-03:00,0.93,PUERTO VANCOUVER (Isla de los Estados)
2024-06-09 20:06:00-03:00,1.9,PUERTO VANCOUVER (Isla de los Estados)
2024-06-10 03:08:00-03:00,0.16,PUERTO VANCOUVER (Isla de los Estados)
2024-06-10 09:52:00-03:00,1.58,PUERTO VANCOUVER (Isla de los Estados)
2024-06-10 15:01:00-03:00,0.96,PUERTO VANCOUVER (Isla de los Estados)
2024-06-10 20:50:00-03:00,1.82,PUERTO VANCOUVER (Isla de los Estados)
2024-06-11 03:53:00-03:00,0.25,PUERTO VANCOUVER (Isla de los Estados)
2024-06-11 10:38:00-03:00,1.54,PUERTO VANCOUVER (Isla de los Estados)
2024-06-11 15:50:00-03:00,0.99,PUERTO VANCOUVER (Isla de los Estados)
2024-06-11 21:36:00-03:00,1.72,PUERTO VANCOUVER (Isla de los Estados)
2024-06-12 04:37:00-03:00,0.37,PUERTO VANCOUVER (Isla de los Estados)
2024-06-12 11:24:00-03:00,1.51,PUERTO VANCOUVER (Isla de los Estados)
2024-06-12 16:43:00-03:00,0.99,PUERTO VANCOUVER (Isla de los Estados)
2024-06-12 22:27:00-03:00,1.62,PUERTO VANCOUVER (Isla de los Estados)
2024-06-13 05:22:00-03:00,0.49,PUERTO VANCOUVER (Isla de los Estados)
2024-06-13 12:07:00-03:00,1.5,PUERTO VANCOUVER (Isla de los Estados)
2024-06-13 17:42:00-03:00,0.97,PUERTO VANCOUVER (Isla de los Estados)
2024-06-13 23:24:00-03:00,1.52,PUERTO VANCOUVER (Isla de los Estados)
2024-06-14 06:07:00-03:00,0.61,PUERTO VANCOUVER (Isla de los Estados)
2024-06-14 12:49:00-03:00,1.5,PUERTO VANCOUVER (Isla de los Estados)
2024-06-14 18:45:00-03:00,0.91,PUERTO VANCOUVER (Isla de los Estados)
2024-06-15 00:29:00-03:00,1.43,PUERTO VANCOUVER (Isla de los Estados)
2024-06-15 06:52:00-03:00,0.72,PUERTO VANCOUVER (Isla de los Estados)
2024-06-15 13:28:00-03:00,1.53,PUERTO VANCOUVER (Isla de los Estados)
2024-06-15 19:47:00-03:00,0.83,PUERTO VANCOUVER (Isla de los Estados)
2024-06-16 01:41:00-03:00,1.37,PUERTO VANCOUVER (Isla de los Estados)
2024-06-16 07:37:00-03:00,0.81,PUERTO VANCOUVER (Isla de los Estados)
2024-06-16 14:05:00-03:00,1.57,PUERTO VANCOUVER (Isla de los Estados)
2024-06-16 20:46:00-03:00,0.72,PUERTO VANCOUVER (Isla de los Estados)
2024-06-17 02:52:00-03:00,1.35,PUERTO VANCOUVER (Isla de los Estados)
2024-06-17 08:22:00-03:00,0.88,PUERTO VANCOUVER (Isla de los Estados)
2024-06-17 14:43:00-03:00,1.64,PUERTO VANCOUVER (Isla de los Estados)
2024-06-17 21:38:00-03:00,0.6,PUERTO VANCOUVER (Isla de los Estados)
2024-06-18 03:56:00-03:00,1.36,PUERTO VANCOUVER (Isla de los Estados)
2024-06-18 09:06:00-03:00,0.92,PUERTO VANCOUVER (Isla de los Estados)
2024-06-18 15:22:00-03:00,1.72,PUERTO VANCOUVER (Isla de los Estados)
2024-06-18 22:25:00-03:00,0.48,PUERTO VANCOUVER (Isla de los Estados)
2024-06-19 04:51:00-03:00,1.38,PUERTO VANCOUVER (Isla de los Estados)
2024-06-19 09:50:00-03:00,0.94,PUERTO VANCOUVER (Isla de los Estados)
2024-06-19 16:02:00-03:00,1.8,PUERTO VANCOUVER (Isla de los Estados)
2024-06-19 23:10:00-03:00,0.36,PUERTO VANCOUVER (Isla de los Estados)
2024-06-20 05:39:00-03:00,1.42,PUERTO VANCOUVER (Isla de los Estados)
2024-06-20 10:35:00-03:00,0.94,PUERTO VANCOUVER (Isla de los Estados)
2024-06-20 16:44:00-03:00,1.88,PUERTO VANCOUVER (Isla de los Estados)
2024-06-20 23:52:00-03:00,0.26,PUERTO VANCOUVER (Isla de los Estados)
2024-06-21 06:24:00-03:00,1.46,PUERTO VANCOUVER (Isla de los Estados)
2024-06-21 11:20:00-03:00,0.92,PUERTO VANCOUVER (Isla de los Estados)
2024-06-21 17:27:00-03:00,1.95,PUERTO VANCOUVER (Isla de los Estados)
2024-06-22 00:34:00-03:00,0.18,PUERTO VANCOUVER (Isla de los Estados)
2024-06-22 07:06:00-03:00,1.5,PUERTO VANCOUVER (Isla de los Estados)
2024-06-22 12:06:00-03:00,0.89,PUERTO VANCOUVER (Isla de los Estados)
2024-06-22 18:12:00-03:00,2.0,PUERTO VANCOUVER (Isla de los Estados)
2024-06-23 01:17:00-03:00,0.13,PUERTO VANCOUVER (Isla de los Estados)
2024-06-23 07:47:00-03:00,1.55,PUERTO VANCOUVER (Isla de los Estados)
2024-06-23 12:54:00-03:00,0.86,PUERTO VANCOUVER (Isla de los Estados)
2024-06-23 18:59:00-03:00,2.02,PUERTO VANCOUVER (Isla de los Estados)
2024-06-24 02:00:00-03:00,0.12,PUERTO VANCOUVER (Isla de los Estados)
2024-06-24 08:29:00-03:00,1.59,PUERTO VANCOUVER (Isla de los Estados)
2024-06-24 13:44:00-03:00,0.82,PUERTO VANCOUVER (Isla de los Estados)
2024-06-24 19:48:00-03:00,2.01,PUERTO VANCOUVER (Isla de los Estados)
2024-06-25 02:43:00-03:00,0.13,PUERTO VANCOUVER (Isla de los Estados)
2024-06-25 09:12:00-03:00,1.63,PUERTO VANCOUVER (Isla de los Estados)
2024-06-25 14:36:00-03:00,0.78,PUERTO VANCOUVER (Isla de los Estados)
2024-06-25 20:39:00-03:00,1.96,PUERTO VANCOUVER (Isla de los Estados)
2024-06-26 03:29:00-03:00,0.18,PUERTO VANCOUVER (Isla de los Estados)
2024-06-26 09:57:00-03:00,1.67,PUERTO VANCOUVER (Isla de los Estados)
2024-06-26 15:32:00-03:00,0.74,PUERTO VANCOUVER (Isla de los Estados)
2024-06-26 21:33:00-03:00,1.89,PUERTO VANCOUVER (Isla de los Estados)
2024-06-27 04:16:00-03:00,0.26,PUERTO VANCOUVER (Isla de los Estados)
2024-06-27 10:44:00-03:00,1.71,PUERTO VANCOUVER (Isla de los Estados)
2024-06-27 16:32:00-03:00,0.7,PUERTO VANCOUVER (Isla de los Estados)
2024-06-27 22:32:00-03:00,1.8,PUERTO VANCOUVER (Isla de los Estados)
2024-06-28 05:05:00-03:00,0.35,PUERTO VANCOUVER (Isla de los Estados)
2024-06-28 11:34:00-03:00,1.74,PUERTO VANCOUVER (Isla de los Estados)
2024-06-28 17:36:00-03:00,0.65,PUERTO VANCOUVER (Isla de los Estados)
2024-06-28 23:37:00-03:00,1.7,PUERTO VANCOUVER (Isla de los Estados)
2024-06-29 05:58:00-03:00,0.46,PUERTO VANCOUVER (Isla de los Estados)
2024-06-29 12:25:00-03:00,1.77,PUERTO VANCOUVER (Isla de los Estados)
2024-06-29 18:43:00-03:00,0.59,PUERTO VANCOUVER (Isla de los Estados)
2024-06-30 00:47:00-03:00,1.61,PUERTO VANCOUVER (Isla de los Estados)
2024-06-30 06:53:00-03:00,0.57,PUERTO VANCOUVER (Isla de los Estados)
2024-06-30 13:19:00-03:00,1.81,PUERTO VANCOUVER (Isla de los Estados)
2024-06-30 19:52:00-03:00,0.51,PUERTO VANCOUVER (Isla de los Estados)
