datetime,height,port
2024-01-01 01:46:00-03:00,10.05,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-01 08:09:00-03:00,3.73,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-01 13:48:00-03:00,9.8,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-01 20:34:00-03:00,3.18,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-02 02:22:00-03:00,9.7,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-02 08:38:00-03:00,4.05,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-02 14:27:00-03:00,9.43,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-02 21:05:00-03:00,3.65,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-03 03:01:00-03:00,9.43,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-03 09:14:00-03:00,4.35,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-03 15:10:00-03:00,9.15,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-03 21:43:00-03:00,4.07,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-04 03:43:00-03:00,9.27,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-04 09:56:00-03:00,4.6,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-04 15:59:00-03:00,8.97,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-04 22:28:00-03:00,4.42,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-05 04:32:00-03:00,9.25,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-05 10:45:00-03:00,4.73,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-05 16:57:00-03:00,8.95,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-05 23:19:00-03:00,4.62,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-06 05:25:00-03:00,9.4,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-06 11:40:00-03:00,4.66,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-06 17:59:00-03:00,9.16,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-07 00:14:00-03:00,4.61,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-07 06:21:00-03:00,9.72,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-07 12:40:00-03:00,4.35,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-07 19:00:00-03:00,9.59,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-08 01:13:00-03:00,4.38,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-08 07:18:00-03:00,10.17,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-08 13:41:00-03:00,3.82,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-08 20:00:00-03:00,10.17,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-09 02:13:00-03:00,3.96,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-09 08:15:00-03:00,10.7,PUNTA LOYOLA (Muelle Presidente Illia)
2024-01-09 14:45:00-03:00,3.15,PUNTA LOYOLA (Muelle Presidente Illia)
