datetime,height,port
2024-11-01 04:15:00-03:00,3.06,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-01 10:05:00-03:00,11.09,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-01 16:28:00-03:00,2.98,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-01 22:30:00-03:00,10.75,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-02 04:46:00-03:00,3.17,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-02 10:38:00-03:00,11.16,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-02 17:02:00-03:00,2.88,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-02 23:05:00-03:00,10.81,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-03 05:22:00-03:00,3.29,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-03 11:13:00-03:00,11.18,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-03 17:41:00-03:00,2.8,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-03 23:43:00-03:00,10.82,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-04 06:02:00-03:00,3.41,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-04 11:50:00-03:00,11.12,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-04 18:22:00-03:00,2.77,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-05 00:22:00-03:00,10.76,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-05 06:44:00-03:00,3.53,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-05 12:28:00-03:00,10.97,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-05 19:06:00-03:00,2.8,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-06 01:04:00-03:00,10.61,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-06 07:29:00-03:00,3.68,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-06 13:08:00-03:00,10.75,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-06 19:52:00-03:00,2.92,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-07 01:49:00-03:00,10.37,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-07 08:16:00-03:00,3.86,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-07 13:51:00-03:00,10.44,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-07 20:45:00-03:00,3.11,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-08 02:41:00-03:00,10.06,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-08 09:10:00-03:00,4.05,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-08 14:42:00-03:00,10.07,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-08 21:48:00-03:00,3.31,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-09 03:45:00-03:00,9.8,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-09 10:16:00-03:00,4.15,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-09 15:53:00-03:00,9.76,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-09 23:03:00-03:00,3.33,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-10 05:02:00-03:00,9.79,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-10 11:31:00-03:00,4.02,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-10 17:24:00-03:00,9.8,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-11 00:14:00-03:00,3.07,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-11 06:14:00-03:00,10.17,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-11 12:39:00-03:00,3.59,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-11 18:39:00-03:00,10.29,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-12 01:16:00-03:00,2.64,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-12 07:14:00-03:00,10.77,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-12 13:39:00-03:00,3.03,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-12 19:41:00-03:00,10.94,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-13 02:11:00-03:00,2.23,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-13 08:07:00-03:00,11.4,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-13 14:35:00-03:00,2.48,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-13 20:34:00-03:00,11.53,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-14 03:04:00-03:00,1.97,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-14 08:56:00-03:00,11.93,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-14 15:28:00-03:00,2.04,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-14 21:24:00-03:00,11.94,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-15 03:54:00-03:00,1.89,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-15 09:41:00-03:00,12.27,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-15 16:20:00-03:00,1.75,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-15 22:12:00-03:00,12.12,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-16 04:44:00-03:00,2.0,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-16 10:25:00-03:00,12.39,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-16 17:11:00-03:00,1.62,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-16 22:59:00-03:00,12.08,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-17 05:34:00-03:00,2.24,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-17 11:08:00-03:00,12.29,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-17 18:03:00-03:00,1.61,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-17 23:45:00-03:00,11.85,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-18 06:23:00-03:00,2.55,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-18 11:50:00-03:00,12.01,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-18 18:53:00-03:00,1.74,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-19 00:31:00-03:00,11.48,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-19 07:11:00-03:00,2.9,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-19 12:31:00-03:00,11.57,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-19 19:43:00-03:00,1.98,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-20 01:18:00-03:00,11.02,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-20 07:59:00-03:00,3.27,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-20 13:15:00-03:00,11.03,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-20 20:33:00-03:00,2.33,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-21 02:08:00-03:00,10.53,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-21 08:48:00-03:00,3.65,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-21 14:02:00-03:00,10.43,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-21 21:25:00-03:00,2.74,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-22 03:04:00-03:00,10.06,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-22 09:40:00-03:00,4.01,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-22 14:57:00-03:00,9.83,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-22 22:21:00-03:00,3.14,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-23 04:12:00-03:00,9.72,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-23 10:38:00-03:00,4.28,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-23 16:11:00-03:00,9.36,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-23 23:19:00-03:00,3.47,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-24 05:22:00-03:00,9.59,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-24 11:39:00-03:00,4.42,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-24 17:39:00-03:00,9.21,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-25 00:14:00-03:00,3.68,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-25 06:20:00-03:00,9.65,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-25 12:36:00-03:00,4.42,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-25 18:43:00-03:00,9.3,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-26 01:03:00-03:00,3.8,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-26 07:04:00-03:00,9.81,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-26 13:23:00-03:00,4.31,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-26 19:29:00-03:00,9.5,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-27 01:42:00-03:00,3.87,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-27 07:40:00-03:00,10.04,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-27 13:59:00-03:00,4.13,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-27 20:06:00-03:00,9.74,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-28 02:15:00-03:00,3.87,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-28 08:13:00-03:00,10.31,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-28 14:30:00-03:00,3.87,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-28 20:40:00-03:00,10.02,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-29 02:47:00-03:00,3.8,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-29 08:48:00-03:00,10.6,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-29 15:05:00-03:00,3.55,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-29 21:17:00-03:00,10.32,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-30 03:24:00-03:00,3.69,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-30 09:25:00-03:00,10.86,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-30 15:45:00-03:00,3.21,PUNTA LOYOLA (Muelle Presidente Illia)
2024-11-30 21:56:00-03:00,10.6,PUNTA LOYOLA (Muelle Presidente Illia)
