datetime,height,port
2024-12-01 04:06:00-03:00,3.56,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-01 10:03:00-03:00,11.07,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-01 16:29:00-03:00,2.88,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-01 22:37:00-03:00,10.83,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-02 04:51:00-03:00,3.41,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-02 10:44:00-03:00,11.21,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-02 17:16:00-03:00,2.58,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-02 23:19:00-03:00,10.99,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-03 05:39:00-03:00,3.26,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-03 11:26:00-03:00,11.25,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-03 18:06:00-03:00,2.34,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-04 00:04:00-03:00,11.05,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-04 06:29:00-03:00,3.12,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-04 12:10:00-03:00,11.21,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-04 18:58:00-03:00,2.19,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-05 00:50:00-03:00,11.0,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-05 07:19:00-03:00,3.05,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-05 12:55:00-03:00,11.08,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-05 19:50:00-03:00,2.16,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-06 01:39:00-03:00,10.83,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-06 08:10:00-03:00,3.08,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-06 13:45:00-03:00,10.85,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-06 20:44:00-03:00,2.28,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-07 02:32:00-03:00,10.59,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-07 09:05:00-03:00,3.23,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-07 14:42:00-03:00,10.56,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-07 21:42:00-03:00,2.51,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-08 03:32:00-03:00,10.37,PUNTA LOYOLA (Muelle Presidente Illia)
2024-12-08 10:03:00-03:00,3.42,PUNTA LOYOLA (Muelle Presidente Illia)
