datetime,height,port
2024-03-01 01:45:00-03:00,10.76,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-01 08:08:00-03:00,3.23,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-01 14:06:00-03:00,10.4,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-01 20:32:00-03:00,3.67,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-02 02:18:00-03:00,10.57,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-02 08:45:00-03:00,3.55,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-02 14:45:00-03:00,10.12,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-02 21:12:00-03:00,4.2,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-03 02:54:00-03:00,10.28,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-03 09:27:00-03:00,3.92,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-03 15:34:00-03:00,9.74,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-03 21:59:00-03:00,4.7,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-04 03:41:00-03:00,9.89,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-04 10:21:00-03:00,4.26,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-04 16:38:00-03:00,9.38,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-04 23:00:00-03:00,5.04,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-05 04:48:00-03:00,9.49,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-05 11:38:00-03:00,4.41,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-05 18:02:00-03:00,9.3,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-06 00:26:00-03:00,4.99,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-06 06:18:00-03:00,9.41,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-06 13:20:00-03:00,3.98,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-06 19:31:00-03:00,9.78,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-07 01:57:00-03:00,4.28,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-07 07:49:00-03:00,9.94,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-07 14:39:00-03:00,2.97,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-07 20:39:00-03:00,10.63,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-08 03:05:00-03:00,3.2,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-08 08:57:00-03:00,10.85,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-08 15:38:00-03:00,1.85,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-08 21:33:00-03:00,11.5,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-09 04:00:00-03:00,2.14,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-09 09:52:00-03:00,11.76,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-09 16:30:00-03:00,0.92,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-09 22:21:00-03:00,12.23,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-10 04:50:00-03:00,1.3,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-10 10:41:00-03:00,12.47,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-10 17:18:00-03:00,0.31,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-10 23:06:00-03:00,12.72,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-11 05:37:00-03:00,0.77,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-11 11:26:00-03:00,12.89,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-11 18:03:00-03:00,0.11,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-11 23:48:00-03:00,12.96,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-12 06:21:00-03:00,0.6,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-12 12:10:00-03:00,12.99,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-12 18:47:00-03:00,0.32,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-13 00:29:00-03:00,12.94,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-13 07:04:00-03:00,0.77,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-13 12:51:00-03:00,12.77,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-13 19:28:00-03:00,0.9,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-14 01:08:00-03:00,12.68,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-14 07:45:00-03:00,1.24,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-14 13:32:00-03:00,12.3,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-14 20:08:00-03:00,1.75,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-15 01:45:00-03:00,12.22,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-15 08:25:00-03:00,1.92,PUNTA LOYOLA (Muelle Presidente Illia)
2024-03-15 14:14:00-03:00,11.62,PUNTA LOYOLA (Muelle Presidente Illia)
