datetime,height,port
2024-05-01 03:08:00-03:00,10.16,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-01 10:18:00-03:00,3.28,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-01 16:18:00-03:00,9.87,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-01 22:51:00-03:00,4.28,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-02 04:26:00-03:00,9.7,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-02 11:40:00-03:00,3.35,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-02 17:41:00-03:00,9.84,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-03 00:11:00-03:00,4.11,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-03 06:04:00-03:00,9.73,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-03 12:52:00-03:00,3.03,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-03 18:53:00-03:00,10.25,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-04 01:19:00-03:00,3.6,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-04 07:18:00-03:00,10.26,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-04 13:53:00-03:00,2.55,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-04 19:52:00-03:00,10.86,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-05 02:18:00-03:00,2.96,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-05 08:17:00-03:00,10.93,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-05 14:48:00-03:00,2.11,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-05 20:43:00-03:00,11.48,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-06 03:12:00-03:00,2.36,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-06 09:09:00-03:00,11.51,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-06 15:39:00-03:00,1.82,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-06 21:29:00-03:00,12.0,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-07 04:04:00-03:00,1.88,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-07 09:57:00-03:00,11.92,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-07 16:28:00-03:00,1.74,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-07 22:13:00-03:00,12.33,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-08 04:54:00-03:00,1.56,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-08 10:43:00-03:00,12.12,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-08 17:16:00-03:00,1.84,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-08 22:55:00-03:00,12.47,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-09 05:42:00-03:00,1.42,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-09 11:27:00-03:00,12.1,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-09 18:02:00-03:00,2.09,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-09 23:34:00-03:00,12.39,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-10 06:29:00-03:00,1.44,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-10 12:10:00-03:00,11.9,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-10 18:47:00-03:00,2.45,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-11 00:13:00-03:00,12.12,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-11 07:14:00-03:00,1.63,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-11 12:53:00-03:00,11.54,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-11 19:30:00-03:00,2.89,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-12 00:51:00-03:00,11.68,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-12 07:58:00-03:00,1.97,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-12 13:36:00-03:00,11.07,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-12 20:11:00-03:00,3.37,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-13 01:31:00-03:00,11.1,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-13 08:41:00-03:00,2.44,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-13 14:21:00-03:00,10.52,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-13 20:49:00-03:00,3.86,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-14 02:13:00-03:00,10.42,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-14 09:26:00-03:00,2.98,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-14 15:12:00-03:00,9.96,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-14 21:30:00-03:00,4.32,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-15 03:02:00-03:00,9.71,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-15 10:19:00-03:00,3.51,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-15 16:15:00-03:00,9.5,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-15 22:25:00-03:00,4.7,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-16 04:04:00-03:00,9.09,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-16 11:22:00-03:00,3.93,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-16 17:31:00-03:00,9.26,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-16 23:37:00-03:00,4.91,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-17 05:29:00-03:00,8.75,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-17 12:20:00-03:00,4.16,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-17 18:30:00-03:00,9.26,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-18 00:37:00-03:00,4.9,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-18 06:43:00-03:00,8.77,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-18 13:07:00-03:00,4.23,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-18 19:12:00-03:00,9.42,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-19 01:22:00-03:00,4.72,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-19 07:31:00-03:00,9.01,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-19 13:45:00-03:00,4.17,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-19 19:49:00-03:00,9.72,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-20 02:01:00-03:00,4.4,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-20 08:12:00-03:00,9.37,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-20 14:22:00-03:00,4.02,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-20 20:26:00-03:00,10.12,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-21 02:41:00-03:00,3.98,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-21 08:52:00-03:00,9.81,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-21 15:02:00-03:00,3.8,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-21 21:04:00-03:00,10.56,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-22 03:23:00-03:00,3.51,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-22 09:33:00-03:00,10.28,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-22 15:45:00-03:00,3.57,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-22 21:44:00-03:00,10.98,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-23 04:08:00-03:00,3.04,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-23 10:15:00-03:00,10.72,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-23 16:31:00-03:00,3.34,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-23 22:25:00-03:00,11.31,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-24 04:55:00-03:00,2.6,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-24 10:59:00-03:00,11.07,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-24 17:19:00-03:00,3.13,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-24 23:08:00-03:00,11.53,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-25 05:45:00-03:00,2.21,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-25 11:44:00-03:00,11.3,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-25 18:09:00-03:00,2.96,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-25 23:52:00-03:00,11.62,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-26 06:36:00-03:00,1.94,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-26 12:30:00-03:00,11.38,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-26 18:59:00-03:00,2.85,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-27 00:37:00-03:00,11.55,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-27 07:27:00-03:00,1.81,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-27 13:18:00-03:00,11.29,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-27 19:49:00-03:00,2.86,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-28 01:24:00-03:00,11.33,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-28 08:20:00-03:00,1.87,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-28 14:10:00-03:00,11.05,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-28 20:42:00-03:00,3.0,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-29 02:15:00-03:00,10.99,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-29 09:16:00-03:00,2.09,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-29 15:06:00-03:00,10.74,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-29 21:38:00-03:00,3.23,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-30 03:15:00-03:00,10.59,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-30 10:16:00-03:00,2.38,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-30 16:09:00-03:00,10.47,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-30 22:40:00-03:00,3.46,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-31 04:26:00-03:00,10.29,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-31 11:19:00-03:00,2.64,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-31 17:16:00-03:00,10.39,PUNTA LOYOLA (Muelle Presidente Illia)
2024-05-31 23:45:00-03:00,3.56,PUNTA LOYOLA (Muelle Presidente Illia)
